"C.A.T"	"C.A"	"Season"	"Condition"	"A.expo"	"Sample"	"mmet"	"microlitres.standar"	"miligrams"	"microlitres"	"inyection.microlitres"	"microlitres.standar.1"	"Area.standar.porc"	"We.needle.grams"	"microlitres.metabolites"	"metabolite"	"measurement"	"standar.add"	"target.mg"	"X3"	"miligrams.in.grneedle"	"miligrams.in.hundredgr"
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH1-15"	3	82.34	10	1000	2	10	82.34	1.03	490	"beta.pinene"	0.79	0.0016468	1.58e-05	0.003871	0.375825242718447	375.825242718447
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH2-15"	5	25.06	10	1000	2	10	25.06	1.058	490	"beta.pinene"	0	0.0005012	0	0	0	0
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH3-15"	6	44.33	10	1000	2	10	44.33	1.08	490	"beta.pinene"	7.44	0.0008866	0.0001488	0.036456	3.37555555555556	3375.55555555556
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH4-15"	7	26.03	10	1000	2	10	26.03	1.082	490	"beta.pinene"	6.86	0.0005206	0.0001372	0.033614	3.10665434380776	3106.65434380776
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH5-15"	8	28.85	10	1000	2	10	28.85	1.053	490	"beta.pinene"	7.27	0.000577	0.0001454	0.035623	3.38300094966762	3383.00094966762
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH1-16"	9	53.88	10	1000	2	10	53.88	1.075	490	"beta.pinene"	0	0.0010776	0	0	0	0
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH2-16"	10	47.46	10	1000	2	10	47.46	1.012	490	"beta.pinene"	4.81	0.0009492	9.62e-05	0.023569	2.32895256916996	2328.95256916996
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH3-16"	11	76.12	10	1000	2	10	76.12	1.068	490	"beta.pinene"	0	0.0015224	0	0	0	0
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH4-16"	12	68.18	10	1000	2	10	68.18	0.794	490	"beta.pinene"	1.04	0.0013636	2.08e-05	0.005096	0.641813602015113	641.813602015113
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH5-16"	13	56.81	10	1000	2	10	56.81	1.017	490	"beta.pinene"	1.3	0.0011362	2.6e-05	0.00637	0.626352015732547	626.352015732547
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD1-15"	14	70.26	10	1000	2	10	70.26	1.069	490	"beta.pinene"	0	0.0014052	0	0	0	0
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD2-15"	15	124.58	10	1000	2	10	124.58	1.085	490	"beta.pinene"	0	0.0024916	0	0	0	0
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD3-15"	16	67.68	10	1000	2	10	67.68	1.07	490	"beta.pinene"	1.03	0.0013536	2.06e-05	0.005047	0.471682242990654	471.682242990654
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD4-15"	17	77.92	10	1000	2	10	77.92	1.026	490	"beta.pinene"	0	0.0015584	0	0	0	0
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD5-15"	46	25.66	1	1000	2	50	25.66	0.88	450	"beta.pinene"	4.37	5.132e-05	8.74e-06	0.0019665	0.223465909090909	223.465909090909
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD1-16"	18	20.99	1	1000	2	50	20.99	1.017	450	"beta.pinene"	2.33	4.198e-05	4.66e-06	0.0010485	0.103097345132743	103.097345132743
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD2-16"	19	28.36	1	1000	2	50	28.36	1.02	450	"beta.pinene"	2.69	5.672e-05	5.38e-06	0.0012105	0.118676470588235	118.676470588235
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD3-16"	20	23.68	1	1000	2	50	23.68	1.081	450	"beta.pinene"	0	4.736e-05	0	0	0	0
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD4-16"	21	30.78	1	1000	2	50	30.78	1.061	450	"beta.pinene"	0	6.156e-05	0	0	0	0
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD5-16"	22	27.42	1	1000	2	50	27.42	1.058	450	"beta.pinene"	2.01	5.484e-05	4.02e-06	0.0009045	0.0854914933837429	85.4914933837429
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH1-15"	33	28.38	1	1000	2	50	28.38	0.865	450	"beta.pinene"	2.25	5.676e-05	4.5e-06	0.0010125	0.117052023121387	117.052023121387
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH2-15"	34	54.42	1	1000	2	50	54.42	0.904	450	"beta.pinene"	0	0.00010884	0	0	0	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH3-15"	35	25.79	1	1000	2	50	25.79	0.865	450	"beta.pinene"	6.99	5.158e-05	1.398e-05	0.0031455	0.36364161849711	363.64161849711
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH4-15"	36	34.31	1	1000	2	50	34.31	0.861	450	"beta.pinene"	2.24	6.862e-05	4.48e-06	0.001008	0.117073170731707	117.073170731707
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH5-15"	45	21.13	1	1000	2	50	21.13	0.862	450	"beta.pinene"	0	4.226e-05	0	0	0	0
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH1-16"	39	22.96	1	1000	2	50	22.96	0.85	450	"beta.pinene"	3.66	4.592e-05	7.32e-06	0.001647	0.193764705882353	193.764705882353
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH2-16"	40	33.69	1	1000	2	50	33.69	0.873	450	"beta.pinene"	7.18	6.738e-05	1.436e-05	0.003231	0.370103092783505	370.103092783505
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH3-16"	41	24.46	1	1000	2	50	24.46	0.875	450	"beta.pinene"	5.22	4.892e-05	1.044e-05	0.002349	0.268457142857143	268.457142857143
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH4-16"	42	28.35	1	1000	2	50	28.35	0.917	450	"beta.pinene"	2.78	5.67e-05	5.56e-06	0.001251	0.136423118865867	136.423118865867
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH5-16"	43	12.33	1	1000	2	50	12.33	0.862	450	"beta.pinene"	7.61	2.466e-05	1.522e-05	0.0034245	0.397273781902552	397.273781902552
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD1-15"	23	9.81	1	1000	2	50	9.81	0.897	450	"beta.pinene"	0	1.962e-05	0	0	0	0
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD2-15"	24	15.69	1	1000	2	50	15.69	0.91	450	"beta.pinene"	2.03	3.138e-05	4.06e-06	0.0009135	0.100384615384615	100.384615384615
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD3-15"	44	27.02	1	1000	2	50	27.02	0.881	450	"beta.pinene"	0	5.404e-05	0	0	0	0
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD4-15"	26	41.29	1	1000	2	50	41.29	0.901	450	"beta.pinene"	1.79	8.258e-05	3.58e-06	0.0008055	0.0894006659267481	89.4006659267481
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD5-15"	27	32.75	1	1000	2	50	32.75	0.865	450	"beta.pinene"	1.69	6.55e-05	3.38e-06	0.0007605	0.0879190751445087	87.9190751445087
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD1-16"	29	19.73	1	1000	2	50	19.73	0.896	450	"beta.pinene"	4.37	3.946e-05	8.74e-06	0.0019665	0.219475446428571	219.475446428571
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD2-16"	30	22.09	1	1000	2	50	22.09	0.897	450	"beta.pinene"	6.3	4.418e-05	1.26e-05	0.002835	0.316053511705686	316.053511705686
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD3-16"	31	28.3	1	1000	2	50	28.3	0.897	450	"beta.pinene"	0	5.66e-05	0	0	0	0
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD4-16"	32	27.42	1	1000	2	50	27.42	0.912	450	"beta.pinene"	4.09	5.484e-05	8.18e-06	0.0018405	0.201809210526316	201.809210526316
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD5-16"	38	31.64	1	1000	2	50	31.64	0.892	450	"beta.pinene"	1.27	6.328e-05	2.54e-06	0.0005715	0.0640695067264574	64.0695067264574
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH1-15"	3	82.34	10	1000	2	10	82.34	1.03	490	"L.alfa.bornyl.acetate"	0.47	0.0016468	9.4e-06	0.002303	0.223592233009709	223.592233009709
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH2-15"	5	25.06	10	1000	2	10	25.06	1.058	490	"L.alfa.bornyl.acetate"	8	0.0005012	0.00016	0.0392	3.70510396975425	3705.10396975425
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH3-15"	6	44.33	10	1000	2	10	44.33	1.08	490	"L.alfa.bornyl.acetate"	4.66	0.0008866	9.32e-05	0.022834	2.11425925925926	2114.25925925926
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH4-15"	7	26.03	10	1000	2	10	26.03	1.082	490	"L.alfa.bornyl.acetate"	3.01	0.0005206	6.02e-05	0.014749	1.36312384473198	1363.12384473198
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH5-15"	8	28.85	10	1000	2	10	28.85	1.053	490	"L.alfa.bornyl.acetate"	6.4	0.000577	0.000128	0.03136	2.97815764482431	2978.15764482431
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH1-16"	9	53.88	10	1000	2	10	53.88	1.075	490	"L.alfa.bornyl.acetate"	5.64	0.0010776	0.0001128	0.027636	2.57079069767442	2570.79069767442
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH2-16"	10	47.46	10	1000	2	10	47.46	1.012	490	"L.alfa.bornyl.acetate"	6.83	0.0009492	0.0001366	0.033467	3.30701581027668	3307.01581027668
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH3-16"	11	76.12	10	1000	2	10	76.12	1.068	490	"L.alfa.bornyl.acetate"	10.77	0.0015224	0.0002154	0.052773	4.94129213483146	4941.29213483146
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH4-16"	12	68.18	10	1000	2	10	68.18	0.794	490	"L.alfa.bornyl.acetate"	2.09	0.0013636	4.18e-05	0.010241	1.28979848866499	1289.79848866499
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH5-16"	13	56.81	10	1000	2	10	56.81	1.017	490	"L.alfa.bornyl.acetate"	3.82	0.0011362	7.64e-05	0.018718	1.84051130776795	1840.51130776795
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD1-15"	14	70.26	10	1000	2	10	70.26	1.069	490	"L.alfa.bornyl.acetate"	1.08	0.0014052	2.16e-05	0.005292	0.495042095416277	495.042095416277
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD2-15"	15	124.58	10	1000	2	10	124.58	1.085	490	"L.alfa.bornyl.acetate"	0	0.0024916	0	0	0	0
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD3-15"	16	67.68	10	1000	2	10	67.68	1.07	490	"L.alfa.bornyl.acetate"	0	0.0013536	0	0	0	0
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD4-15"	17	77.92	10	1000	2	10	77.92	1.026	490	"L.alfa.bornyl.acetate"	2.44	0.0015584	4.88e-05	0.011956	1.16530214424951	1165.30214424951
"damaged-2015-MC"	"damaged-2015"	"MC"	"damaged"	2015	"MCD5-15"	46	25.66	1	1000	2	50	25.66	0.88	450	"L.alfa.bornyl.acetate"	3.95	5.132e-05	7.9e-06	0.0017775	0.201988636363636	201.988636363636
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD1-16"	18	20.99	1	1000	2	50	20.99	1.017	450	"L.alfa.bornyl.acetate"	0	4.198e-05	0	0	0	0
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD2-16"	19	28.36	1	1000	2	50	28.36	1.02	450	"L.alfa.bornyl.acetate"	7.97	5.672e-05	1.594e-05	0.0035865	0.351617647058823	351.617647058823
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD3-16"	20	23.68	1	1000	2	50	23.68	1.081	450	"L.alfa.bornyl.acetate"	10.53	4.736e-05	2.106e-05	0.0047385	0.438344125809436	438.344125809436
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD4-16"	21	30.78	1	1000	2	50	30.78	1.061	450	"L.alfa.bornyl.acetate"	0	6.156e-05	0	0	0	0
"damaged-2016-MC"	"damaged-2016"	"MC"	"damaged"	2016	"MCD5-16"	22	27.42	1	1000	2	50	27.42	1.058	450	"L.alfa.bornyl.acetate"	0	5.484e-05	0	0	0	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH1-15"	33	28.38	1	1000	2	50	28.38	0.865	450	"L.alfa.bornyl.acetate"	0	5.676e-05	0	0	0	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH2-15"	34	54.42	1	1000	2	50	54.42	0.904	450	"L.alfa.bornyl.acetate"	5.68	0.00010884	1.136e-05	0.002556	0.282743362831858	282.743362831858
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH3-15"	35	25.79	1	1000	2	50	25.79	0.865	450	"L.alfa.bornyl.acetate"	0	5.158e-05	0	0	0	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH4-15"	36	34.31	1	1000	2	50	34.31	0.861	450	"L.alfa.bornyl.acetate"	0	6.862e-05	0	0	0	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH5-15"	45	21.13	1	1000	2	50	21.13	0.862	450	"L.alfa.bornyl.acetate"	6.73	4.226e-05	1.346e-05	0.0030285	0.351334106728538	351.334106728538
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH1-16"	39	22.96	1	1000	2	50	22.96	0.85	450	"L.alfa.bornyl.acetate"	0	4.592e-05	0	0	0	0
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH2-16"	40	33.69	1	1000	2	50	33.69	0.873	450	"L.alfa.bornyl.acetate"	7.63	6.738e-05	1.526e-05	0.0034335	0.393298969072165	393.298969072165
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH3-16"	41	24.46	1	1000	2	50	24.46	0.875	450	"L.alfa.bornyl.acetate"	8.25	4.892e-05	1.65e-05	0.0037125	0.424285714285714	424.285714285714
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH4-16"	42	28.35	1	1000	2	50	28.35	0.917	450	"L.alfa.bornyl.acetate"	3.29	5.67e-05	6.58e-06	0.0014805	0.161450381679389	161.450381679389
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH5-16"	43	12.33	1	1000	2	50	12.33	0.862	450	"L.alfa.bornyl.acetate"	6.74	2.466e-05	1.348e-05	0.003033	0.351856148491879	351.856148491879
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD1-15"	23	9.81	1	1000	2	50	9.81	0.897	450	"L.alfa.bornyl.acetate"	0	1.962e-05	0	0	0	0
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD2-15"	24	15.69	1	1000	2	50	15.69	0.91	450	"L.alfa.bornyl.acetate"	2.9	3.138e-05	5.8e-06	0.001305	0.143406593406593	143.406593406593
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD3-15"	44	27.02	1	1000	2	50	27.02	0.881	450	"L.alfa.bornyl.acetate"	8.55	5.404e-05	1.71e-05	0.0038475	0.436719636776391	436.719636776391
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD4-15"	26	41.29	1	1000	2	50	41.29	0.901	450	"L.alfa.bornyl.acetate"	6.52	8.258e-05	1.304e-05	0.002934	0.325638179800222	325.638179800222
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD5-15"	27	32.75	1	1000	2	50	32.75	0.865	450	"L.alfa.bornyl.acetate"	7.07	6.55e-05	1.414e-05	0.0031815	0.367803468208093	367.803468208093
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD1-16"	29	19.73	1	1000	2	50	19.73	0.896	450	"L.alfa.bornyl.acetate"	2.84	3.946e-05	5.68e-06	0.001278	0.142633928571429	142.633928571429
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD2-16"	30	22.09	1	1000	2	50	22.09	0.897	450	"L.alfa.bornyl.acetate"	3.66	4.418e-05	7.32e-06	0.001647	0.183612040133779	183.612040133779
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD3-16"	31	28.3	1	1000	2	50	28.3	0.897	450	"L.alfa.bornyl.acetate"	8.61	5.66e-05	1.722e-05	0.0038745	0.431939799331104	431.939799331104
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD4-16"	32	27.42	1	1000	2	50	27.42	0.912	450	"L.alfa.bornyl.acetate"	13.92	5.484e-05	2.784e-05	0.006264	0.686842105263158	686.842105263158
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD5-16"	38	31.64	1	1000	2	50	31.64	0.892	450	"L.alfa.bornyl.acetate"	7.55	6.328e-05	1.51e-05	0.0033975	0.380885650224215	380.885650224215
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH1-15"	3	82.34	10	1000	2	10	82.34	1.03	490	"beta.Caryophyllene.oxide"	3.61	0.0016468	7.22e-05	0.017689	1.7173786407767	1717.3786407767
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH2-15"	5	25.06	10	1000	2	10	25.06	1.058	490	"beta.Caryophyllene.oxide"	10.14	0.0005012	0.0002028	0.049686	4.69621928166352	4696.21928166352
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH3-15"	6	44.33	10	1000	2	10	44.33	1.08	490	"beta.Caryophyllene.oxide"	12.21	0.0008866	0.0002442	0.059829	5.53972222222222	5539.72222222222
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH4-15"	7	26.03	10	1000	2	10	26.03	1.082	490	"beta.Caryophyllene.oxide"	12.12	0.0005206	0.0002424	0.059388	5.48872458410351	5488.72458410351
"tolerant-2015-MC"	"tolerant-2015"	"MC"	"tolerant"	2015	"MCH5-15"	8	28.85	10	1000	2	10	28.85	1.053	490	"beta.Caryophyllene.oxide"	10.97	0.000577	0.0002194	0.053753	5.10474833808167	5104.74833808167
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH1-16"	9	53.88	10	1000	2	10	53.88	1.075	490	"beta.Caryophyllene.oxide"	13.91	0.0010776	0.0002782	0.068159	6.34037209302326	6340.37209302326
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH2-16"	10	47.46	10	1000	2	10	47.46	1.012	490	"beta.Caryophyllene.oxide"	9.32	0.0009492	0.0001864	0.045668	4.51264822134387	4512.64822134387
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH3-16"	11	76.12	10	1000	2	10	76.12	1.068	490	"beta.Caryophyllene.oxide"	6.62	0.0015224	0.0001324	0.032438	3.037265917603	3037.265917603
"tolerant-2016-MC"	"tolerant-2016"	"MC"	"tolerant"	2016	"MCH4-16"	12	68.18	10	1000	2	10	68.18	0.794	490	"beta.Caryophyllene.oxide"	4.58	0.0013636	9.16e-05	0.022442	2.8264483627204	2826.4483627204
