"C-A-T"	"C-A"	"Season"	"Condition"	"A.exposition"	"Sample"	"n.GC-MS"	"beta.pinene"	"L.alfa.bornyl.acetate"	"beta.Caryophyllene.oxide"	"alfa.Caryophyllene"	"beta.Cubebene"	"alfa.Cubenene"	"delta.Cadinene"	"alfa.Muurolene"
"tolerant-2015-SS"	"tolerant-2015"	"SS"	"tolerant"	2015	"SSH1-15"	3	0.375825242718447	0.223592233009709	1.7173786407767	0	0.285436893203883	0.252135922330097	0.518543689320388	0.166504854368932
"tolerant-2015-SS"	"tolerant-2015"	"SS"	"tolerant"	2015	"SSH2-15"	5	0	3.70510396975425	4.69621928166352	0.796597353497164	1.25047258979206	1.5468809073724	0	0.791965973534972
"tolerant-2015-SS"	"tolerant-2015"	"SS"	"tolerant"	2015	"SSH3-15"	6	3.37555555555556	2.11425925925926	5.53972222222222	0.716851851851852	0.358425925925926	0.784907407407407	1.75583333333333	0
"tolerant-2015-SS"	"tolerant-2015"	"SS"	"tolerant"	2015	"SSH4-15"	7	3.10665434380776	1.36312384473198	5.48872458410351	0.98724584103512	1.19556377079482	0.461922365988909	4.04861367837338	0.552495378927911
"tolerant-2015-SS"	"tolerant-2015"	"SS"	"tolerant"	2015	"SSH5-15"	8	3.38300094966762	2.97815764482431	5.10474833808167	0.888793922127255	1.54957264957265	1.7031339031339	2.45232668566002	0.939981006647673
"tolerant-2016-SS"	"tolerant-2016"	"SS"	"tolerant"	2016	"SSH1-16"	9	0	2.57079069767442	6.34037209302326	0.770325581395349	0.606232558139535	0.433023255813954	1.11674418604651	0
"tolerant-2016-SS"	"tolerant-2016"	"SS"	"tolerant"	2016	"SSH2-16"	10	2.32895256916996	3.30701581027668	4.51264822134387	0	0.992588932806324	0.73596837944664	1.36541501976285	0.653656126482213
"tolerant-2016-SS"	"tolerant-2016"	"SS"	"tolerant"	2016	"SSH3-16"	11	0	4.94129213483146	3.037265917603	0	0	0	0.325749063670412	0
"tolerant-2016-SS"	"tolerant-2016"	"SS"	"tolerant"	2016	"SSH4-16"	12	0.641813602015113	1.28979848866499	2.8264483627204	0	0.604785894206549	0.191309823677582	1.30214105793451	0.222166246851385
"tolerant-2016-SS"	"tolerant-2016"	"SS"	"tolerant"	2016	"SSH5-16"	13	0.626352015732547	1.84051130776795	2.41868239921337	0.443264503441495	0.621533923303835	0.486627335299902	1.14670599803343	0.45771878072763
"damaged-2015-SS"	"damaged-2015"	"SS"	"damaged"	2015	"SSD1-15"	14	0	0.495042095416277	2.2689429373246	0.330028063610851	0.201683816651076	0.137511693171188	0.870907390084191	0
"damaged-2015-SS"	"damaged-2015"	"SS"	"damaged"	2015	"SSD2-15"	15	0	0	0.930322580645161	0	0.636774193548387	0.28	0.668387096774194	0.252903225806452
"damaged-2015-SS"	"damaged-2015"	"SS"	"damaged"	2015	"SSD3-15"	16	0.471682242990654	0	2.35841121495327	0	0.251869158878505	0.151121495327103	0.975420560747664	0.238130841121495
"damaged-2015-SS"	"damaged-2015"	"SS"	"damaged"	2015	"SSD4-15"	17	0	1.16530214424951	2.78430799220273	0.315204678362573	0	0	0.148050682261209	0
"damaged-2015-SS"	"damaged-2015"	"SS"	"damaged"	2015	"SSD5-15"	46	0.223465909090909	0.201988636363636	0.478636363636364	0.127840909090909	0.073125	0.0603409090909091	0.174886363636364	0.103806818181818
"damaged-2016-SS"	"damaged-2016"	"SS"	"damaged"	2016	"SSD1-16"	18	0.103097345132743	0	0	0.111061946902655	0	0.063716814159292	0.290265486725664	0.0486725663716814
"damaged-2016-SS"	"damaged-2016"	"SS"	"damaged"	2016	"SSD2-16"	19	0.118676470588235	0.351617647058823	0.236470588235294	0.0754411764705882	0.0930882352941176	0.0997058823529412	0.262941176470588	0.0608823529411765
"damaged-2016-SS"	"damaged-2016"	"SS"	"damaged"	2016	"SSD3-16"	20	0	0.438344125809436	0.497039777983349	0.0711840888066605	0.17900092506938	0.0470397779833487	0.26059204440333	0.0524514338575393
"damaged-2016-SS"	"damaged-2016"	"SS"	"damaged"	2016	"SSD4-16"	21	0	0	0.711687087653158	0.0822808671065033	0	0	0.0292648444863336	0
"damaged-2016-SS"	"damaged-2016"	"SS"	"damaged"	2016	"SSD5-16"	22	0.0854914933837429	0	0.400661625708885	0.116115311909263	0.216493383742911	0.0757088846880907	0.182041587901701	0.080812854442344
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH1-15"	33	0.117052023121387	0	0.985838150289017	0.116011560693642	0	0.0515028901734104	0.753294797687861	0.0691907514450867
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH2-15"	34	0	0.282743362831858	0.850719026548673	0.110508849557522	0	0	0.0756637168141593	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH3-15"	35	0.36364161849711	0	0.573815028901734	0.0853179190751445	0.093121387283237	0.137341040462428	0.12485549132948	0.0863583815028902
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH4-15"	36	0.117073170731707	0	0	0	0.0993031358885017	0.0339721254355401	0.671080139372822	0
"tolerant-2015-Conti"	"tolerant-2015"	"Conti"	"tolerant"	2015	"ContiH5-15"	45	0	0.351334106728538	0.490197215777262	0.0882250580046404	0.121113689095128	0.0798723897911833	0.140429234338747	0.115371229698376
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH1-16"	39	0.193764705882353	0	0.966176470588235	0.124411764705882	0.0772941176470588	0.0958235294117647	0.150352941176471	0.063
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH2-16"	40	0.370103092783505	0.393298969072165	0.814948453608247	0.100515463917526	0	0	0.0654639175257732	0
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH3-16"	41	0.268457142857143	0.424285714285714	0.577542857142857	0.0894857142857143	0.117771428571429	0.0822857142857143	0.150685714285714	0.0869142857142857
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH4-16"	42	0.136423118865867	0.161450381679389	0.573664122137404	0.0834242093784079	0.0902944383860414	0.0387677208287895	0.265485278080698	0.0500545256270447
"tolerant-2016-Conti"	"tolerant-2016"	"Conti"	"tolerant"	2016	"ContiH5-16"	43	0.397273781902552	0.351856148491879	0.548665893271462	0	0.114849187935035	0.0736078886310905	0.151914153132251	0.101798143851508
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD1-15"	23	0	0	0.831270903010034	0	0	0	0.426421404682274	0.125919732441472
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD2-15"	24	0.100384615384615	0.143406593406593	0.539010989010989	0.137967032967033	0.0435164835164835	0.107307692307692	0.251208791208791	0.114725274725275
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD3-15"	44	0	0.436719636776391	0.509761634506243	0.068955732122588	0.0515891032917139	0.03422247446084	1.49812712826334	0
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD4-15"	26	0.0894006659267481	0.325638179800222	0.771143174250832	0	0	0	0.0634295227524972	0
"damaged-2015-Conti"	"damaged-2015"	"Conti"	"damaged"	2015	"ContiD5-15"	27	0.0879190751445087	0.367803468208093	0.26271676300578	0	0.143583815028902	0.0525433526011561	0.201849710982659	0.0785549132947977
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD1-16"	29	0.219475446428571	0.142633928571429	0.763392857142857	0.111997767857143	0.04921875	0.0236049107142857	0.263169642857143	0
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD2-16"	30	0.316053511705686	0.183612040133779	0.472073578595318	0.122909698996656	0.0938127090301003	0.126421404682274	0.17257525083612	0.0807692307692307
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD3-16"	31	0	0.431939799331104	0.557357859531773	0.0832775919732441	0.166053511705686	0	0.670234113712375	0.0506688963210702
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD4-16"	32	0.201809210526316	0.686842105263158	0.716940789473684	0.0883223684210526	0	0	0.028125	0
"damaged-2016-Conti"	"damaged-2016"	"Conti"	"damaged"	2016	"ContiD5-16"	38	0.0640695067264574	0.380885650224215	0.246188340807175	0	0	0.0428811659192825	0.17152466367713	0
