"logFC"	"logCPM"	"PValue"	"FDR"
"AB_013716_T.1"	5.18086530748839	2.56640293659267	6.35305608477309e-19	2.3629556801705e-14
"AB_029098_T.1"	9.52942317244985	2.82351584464434	9.4415484885703e-10	1.75584477241942e-05
"AB_040651_T.1"	1.90717260325317	8.01280490691269	2.23709760362704e-09	2.7735536089768e-05
"AB_023350_T.1"	-4.740147971761	4.69093526944428	3.74430499796063e-09	3.16048906791992e-05
"AB_023572_T.1"	-12.0733971389496	7.18657239056493	4.24865444415755e-09	3.16048906791992e-05
"AB_033732_T.1"	-11.1717908004222	8.47905455696162	1.2816281112052e-07	0.000794481266136103
"AB_010334_T.1"	2.64956937156816	5.14051085798141	1.8453556987361e-07	0.000980516569411295
"AB_029697_T.1"	-4.68635133354658	2.40801604119323	3.30676512214668e-07	0.00143249784031881
"AB_029384_T.1"	-5.80807133068096	-0.328580357037112	3.4662796587808e-07	0.00143249784031881
"AB_015092_T.1"	2.29607663666955	6.40566525797702	1.3080391843533e-06	0.00436344596051784
"AB_025650_T.1"	-8.68736381858304	4.89066819789233	1.32906111336506e-06	0.00436344596051784
"AB_030668_T.1"	-7.60542809442423	1.28543443005967	1.40779027601802e-06	0.00436344596051784
"AB_000550_T.1"	-3.98458887604228	0.608511662107703	1.54277343537276e-06	0.00441399347348111
"AB_037280_T.1"	5.80886913806758	-1.67933706770784	1.92169715737151e-06	0.00487600916153782
"AB_041774_T.1"	3.13275300397856	1.12740998385791	1.96644989576457e-06	0.00487600916153782
"AB_008062_T.1"	4.91659640539924	0.111438936043081	2.44772098957859e-06	0.00543464303436474
"AB_024146_T.1"	-3.44068938382628	3.75701369200941	2.48397407066195e-06	0.00543464303436474
"AB_027701_T.1"	-9.37941517113038	0.203520910471273	2.81316427735993e-06	0.00581293511845141
"AB_028496_T.1"	1.86173113857442	4.99980651177931	3.9497024649691e-06	0.00773185439379267
"AB_030413_T.1"	7.25887730255748	0.592444087550974	5.69152541082788e-06	0.0105845298065166
"AB_036025_T.1"	-3.57113726351628	2.11765291871447	8.20023995331029e-06	0.0137022482851385
"AB_022144_T.1"	5.50434389767448	-1.30672937641152	8.2710624642498e-06	0.0137022482851385
"AB_009199_T.1"	2.28845647722713	3.36745417308104	8.4731868193307e-06	0.0137022482851385
"AB_040148_T.1"	-3.60327112383668	0.0566605842307886	9.3798770420974e-06	0.0145364644459904
"AB_008258_T.1"	-3.48546197949848	-0.202729284154356	1.08498879073622e-05	0.0161420292330573
"AB_031446_T.1"	-3.10278334734155	2.53399681926091	1.57629664937475e-05	0.0212749081056612
"AB_015960_T.1"	2.94653698828809	2.52289674860383	1.60353586921307e-05	0.0212749081056612
"AB_024145_T.1"	-2.61024875140158	2.25569348514961	1.6485530248545e-05	0.0212749081056612
"AB_025627_T.1"	10.0771043669432	2.97736374577159	1.65879533006446e-05	0.0212749081056612
"AB_027681_T.1"	2.83715707992237	2.43705090729331	1.75786514518954e-05	0.0217940120700599
"AB_036607_T.1"	-2.288166417249	3.253948605389	2.53767033888573e-05	0.0301047903182257
"AB_026979_T.1"	3.38574164922953	2.14474615959703	2.59007713658984e-05	0.0301047903182257
"AB_009910_T.1"	-2.59055466882601	3.66687046564808	2.79296071907357e-05	0.0314792063591583
"AB_040645_T.1"	2.74193785198873	2.03615349197916	3.30979244304228e-05	0.0362071823901513
