"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_000588_T.1"	-7.95049726661845	1.70965907995473e-07	0.00294254964079815	6.76709048285674	2.53127620187693	TRUE
"AB_045531_T.1"	-4.51370268594413	1.87975989725186e-07	0.00294254964079815	6.72589761986286	2.53127620187693	TRUE
"AB_036475_T.1"	-1.42531546105697	4.21328267369447e-07	0.00396059104533965	6.37537940260887	2.40223999877761	TRUE
"AB_005940_T.1"	-5.36762994278407	1.23140209227282e-06	0.00771699167859171	5.90960011283503	2.11255196805945	TRUE
"AB_015092_T.1"	-1.6227866941638	1.81627744274863e-06	0.00853673101559889	5.74081781074251	2.06870840257523	TRUE
"AB_045013_T.1"	-7.64868013700801	2.40653598577479e-06	0.0100542399556798	5.61860763978069	1.99765075406079	TRUE
"AB_014935_T.1"	-6.04913540692874	3.76552289085289e-06	0.0128715842017236	5.42417470795086	1.89036799794986	TRUE
"AB_039085_T.1"	-5.91972916298533	6.76757360446524e-06	0.0212056279251248	5.1695670121235	1.6735488630119	TRUE
"AB_033107_T.1"	-4.2728465186821	8.23342476372473e-06	0.0238142311185241	5.08441947868745	1.62316343583506	TRUE
"AB_030539_T.1"	-7.07411518540772	1.02302772119472e-05	0.0274763323890304	4.99011259796058	1.5610412384796	TRUE
"AB_044701_T.1"	-4.20356144175662	1.47827934178121e-05	0.0370565210202101	4.83024349210413	1.43113535600059	TRUE
