"logFC"	"logCPM"	"PValue"	"FDR"
"AB_043005_T.1"	3.53933204973283	3.64168921551741	1.28705047653687e-12	4.75796820166152e-08
"AB_000610_T.1"	3.03036906790976	2.69876180775825	2.66644997841414e-09	4.9286661401007e-05
"AB_001483_T.1"	-2.020426314623	5.27856553228682	1.29137834415844e-08	0.000159132248756164
"AB_022453_T.1"	6.29264875521022	4.08507063648624	1.71203624940342e-07	0.00158226390169865
"AB_013716_T.1"	3.90958955738902	1.28319809000454	2.17669669552971e-07	0.00160936246880684
"AB_000071_T.1"	-6.13211480766013	1.52566426542111	2.73087018233863e-07	0.00168258014834491
"AB_030668_T.1"	-10.4080937145189	1.23003382386622	3.61598948714717e-07	0.00190965570515509
"AB_021997_T.1"	2.94455410941188	3.80212004075294	7.72766561212276e-07	0.00357095427936193
"AB_028624_T.1"	1.8039988917858	4.65019632196628	9.46587294793895e-07	0.00388815990154897
"AB_028089_T.1"	-1.89411350609081	4.14381884927357	1.40568535868878e-06	0.00519653763400067
"AB_024101_T.1"	3.25316882983127	1.15549971778422	1.74769463889298e-06	0.00587352503732687
"AB_000596_T.1"	2.98856521727649	1.03441185450675	2.85992254513519e-06	0.00881046805404649
"AB_015079_T.1"	1.71486467282995	6.85725328787355	4.23885581021802e-06	0.0119452215416184
"AB_013152_T.1"	1.79956057837485	3.95985372144149	4.72605151103654e-06	0.0119452215416184
"AB_040533_T.1"	5.85853008832346	-1.6833322243623	4.84684925135998e-06	0.0119452215416184
"AB_031334_T.1"	1.71674948753398	4.49507367807606	5.61113120202051e-06	0.0129645186422684
"AB_010244_T.1"	7.25434624529588	0.544547948662689	6.66395509737994e-06	0.0144913583552907
"AB_022205_T.1"	5.56442533570011	2.7716748362308	7.58607893461789e-06	0.0155801203363863
"AB_020437_T.1"	1.70817368958675	4.34914434569054	9.65959866819467e-06	0.0179521051726334
"AB_029470_T.1"	-3.55239184123826	3.33801673072059	9.71224040934504e-06	0.0179521051726334
"AB_033713_T.1"	6.39099935274477	4.68398971211436	1.08875076454154e-05	0.0181471015129517
"AB_022256_T.1"	4.84619201296031	1.32393886341793	1.09581462170283e-05	0.0181471015129517
"AB_018867_T.1"	-1.45650820916646	4.65106306005782	1.12903953364502e-05	0.0181471015129517
"AB_000811_T.1"	-1.92186600191199	4.510020602737	1.77533592770441e-05	0.0273460910730736
"AB_039330_T.1"	1.58347322722116	5.86159218741629	2.22106424516657e-05	0.032843321206127
"AB_013119_T.1"	1.40756286175093	9.32154515125181	2.65425336013171e-05	0.037739399314365
"AB_028487_T.1"	-1.97705830687829	3.16569470382877	3.206447293758e-05	0.0439022013169058
