"logFC"	"logCPM"	"PValue"	"FDR"
"AB_000588_T.1"	7.95049726661845	-0.656119145242538	1.70965907995473e-07	0.00294254964079815
"AB_045531_T.1"	4.51370268594413	1.11321642642373	1.87975989725186e-07	0.00294254964079815
"AB_038616_T.1"	-5.07067068177673	2.21228375325502	2.34771652945253e-07	0.00294254964079815
"AB_036475_T.1"	1.42531546105697	5.91294036198254	4.21328267369447e-07	0.00396059104533965
"AB_035458_T.1"	-2.7631008332445	2.43884381652376	6.25971273758546e-07	0.00470742917291902
"AB_005940_T.1"	5.36762994278407	0.911879086023116	1.23140209227282e-06	0.00771699167859171
"AB_029013_T.1"	-1.3807643734758	5.73766719257847	1.55639013468547e-06	0.0083602607791869
"AB_015092_T.1"	1.6227866941638	5.16516338990309	1.81627744274863e-06	0.00853673101559889
"AB_045013_T.1"	7.64868013700801	1.07292817752123	2.40653598577479e-06	0.0100542399556798
"AB_029334_T.1"	-1.18209002659921	6.47118258022492	3.55733235028675e-06	0.0128715842017236
"AB_014935_T.1"	6.04913540692874	5.83429760795114	3.76552289085289e-06	0.0128715842017236
"AB_039085_T.1"	5.91972916298533	-2.20993827186889	6.76757360446524e-06	0.0212056279251248
"AB_033107_T.1"	4.2728465186821	5.70435887863625	8.23342476372473e-06	0.0238142311185241
"AB_030539_T.1"	7.07411518540772	-0.109358514972063	1.02302772119472e-05	0.0274763323890304
"AB_044701_T.1"	4.20356144175662	1.73191978009715	1.47827934178121e-05	0.0370565210202101
