"FoldChange"	"pValue"	"color"
"AB_032835_T.1"	1.28195273059594	0.0460989645357364	"Col_1"
"AB_017722_T.1"	1.90605840786043	0.0456924401756454	"Col_1"
"AB_023066_T.1"	1.36155082058076	0.0456075322660498	"Col_1"
"AB_035607_T.1"	1.38396360475824	0.0433184312848316	"Col_1"
"AB_031538_T.1"	3.85584002599845	0.0427692539961598	"Col_1"
"AB_040654_T.1"	1.11688211804241	0.0427692539961598	"Col_1"
"AB_029946_T.1"	1.74650822581045	0.0426976171438986	"Col_1"
"AB_039927_T.1"	2.16347021425611	0.0426976171438986	"Col_1"
"AB_001572_T.1"	1.7534771466963	0.0424056905887203	"Col_1"
"AB_010799_T.1"	1.11246448059414	0.0424056905887203	"Col_1"
"AB_011165_T.1"	1.67550466026386	0.0414350920271877	"Col_1"
"AB_045833_T.1"	1.44321624872133	0.0406744454154282	"Col_1"
"AB_022645_T.1"	2.33112047261174	0.0384897065810489	"Col_1"
"AB_025762_T.1"	2.54071699299505	0.0384016406847701	"Col_1"
"AB_046021_T.1"	2.79497311466743	0.0347970644754329	"Col_1"
"AB_001126_T.1"	1.08930275517465	0.0343176000909393	"Col_1"
"AB_032473_T.1"	2.07837253996847	0.0343176000909393	"Col_1"
"AB_045135_T.1"	1.4094959262468	0.0343176000909393	"Col_1"
"AB_027802_T.1"	1.10209668852979	0.0342635231659205	"Col_1"
"AB_032623_T.1"	1.56972047943428	0.0342635231659205	"Col_1"
"AB_022287_T.1"	1.52363095285567	0.0337625926030266	"Col_1"
"AB_032552_T.1"	1.05069743650206	0.0321564043503678	"Col_1"
"AB_012643_T.1"	2.01449944368683	0.032126381981526	"Col_1"
"AB_015926_T.1"	1.29101637417977	0.0297343455438424	"Col_1"
"AB_026811_T.1"	1.06012013240289	0.0293765177711126	"Col_1"
"AB_028785_T.1"	2.1651127504628	0.0293765177711126	"Col_1"
"AB_043804_T.1"	1.41614032985391	0.0293765177711126	"Col_1"
"AB_030668_T.1"	5.08670503774219	0.0283872516215963	"Col_1"
"AB_001050_T.1"	1.22835328237058	0.0281879727141201	"Col_1"
"AB_002564_T.1"	1.79151546545104	0.0281879727141201	"Col_1"
"AB_006747_T.1"	2.94342505916471	0.0281879727141201	"Col_1"
"AB_026365_T.1"	2.44104396795511	0.0281879727141201	"Col_1"
"AB_038693_T.1"	1.5266611404383	0.0281879727141201	"Col_1"
"AB_041295_T.1"	1.35071549180576	0.0281879727141201	"Col_1"
"AB_019678_T.1"	1.16446760023367	0.0274031945903665	"Col_1"
"AB_042368_T.1"	1.09153116394509	0.0274031945903665	"Col_1"
"AB_000785_T.1"	1.67485993585539	0.0270674516509138	"Col_1"
"AB_015794_T.1"	1.98304742247682	0.0270674516509138	"Col_1"
"AB_039862_T.1"	1.38821703455265	0.0270674516509138	"Col_1"
"AB_045044_T.1"	1.5047048907275	0.0270674516509138	"Col_1"
"AB_045242_T.1"	1.68560858113249	0.0270674516509138	"Col_1"
"AB_036881_T.1"	2.55172411393804	0.027030852165047	"Col_1"
"AB_045021_T.1"	1.39909958253987	0.0265936106080181	"Col_1"
"AB_030191_T.1"	2.00262917838961	0.0265586176349123	"Col_1"
"AB_040551_T.1"	1.1665356885486	0.0264152696325359	"Col_1"
"AB_003336_T.1"	1.19936711343003	0.0263705282117554	"Col_1"
"AB_041269_T.1"	2.21441574909802	0.0253682768570994	"Col_1"
"AB_045120_T.1"	1.31738264218382	0.0253682768570994	"Col_1"
"AB_036025_T.1"	1.70091501200357	0.0250562902454334	"Col_1"
"AB_029585_T.1"	1.05609447545389	0.0242787001037301	"Col_1"
"AB_044183_T.1"	1.09593839280824	0.024014164218515	"Col_1"
"AB_028201_T.1"	2.4375970536322	0.0234042952324692	"Col_1"
"AB_027971_T.1"	1.97717733424619	0.0231997173592682	"Col_1"
"AB_040428_T.1"	1.17268395365067	0.0231997173592682	"Col_1"
"AB_042994_T.1"	1.19210375701116	0.0231997173592682	"Col_1"
"AB_034407_T.1"	1.14487773972901	0.0223812624636081	"Col_1"
"AB_022536_T.1"	1.35110523857785	0.0220618350131756	"Col_1"
"AB_000550_T.1"	2.05179904176863	0.0217547395034246	"Col_1"
"AB_000998_T.1"	1.40546081209698	0.0217547395034246	"Col_1"
"AB_017741_T.1"	1.04007918562651	0.0217547395034246	"Col_1"
