"FoldChange"	"pValue"	"color"
"AB_002593_T.1"	-1.58475436927159	0.0482923205556868	"Col_2"
"AB_005230_T.1"	-1.73725481142327	0.0482923205556868	"Col_2"
"AB_044703_T.1"	-1.91482668611112	0.0482923205556868	"Col_2"
"AB_026249_T.1"	-1.47034232550381	0.0460989645357364	"Col_2"
"AB_041769_T.1"	-1.11597682687475	0.0460989645357364	"Col_2"
"AB_005639_T.1"	-1.3130471305922	0.0456924401756454	"Col_2"
"AB_019417_T.1"	-1.1764578657214	0.0456924401756454	"Col_2"
"AB_037292_T.1"	-2.17557278280905	0.0456924401756454	"Col_2"
"AB_028674_T.1"	-2.17726861624462	0.0435447025134253	"Col_2"
"AB_019617_T.1"	-1.11200646804023	0.0433184312848316	"Col_2"
"AB_024939_T.1"	-2.00403865774934	0.0433184312848316	"Col_2"
"AB_020812_T.1"	-1.07068690021744	0.0426976171438986	"Col_2"
"AB_000896_T.1"	-2.36545784859909	0.0424056905887203	"Col_2"
"AB_001672_T.1"	-1.2313128126616	0.0424056905887203	"Col_2"
"AB_003004_T.1"	-1.39710925513102	0.0424056905887203	"Col_2"
"AB_002154_T.1"	-1.52662719837458	0.0414350920271877	"Col_2"
"AB_018055_T.1"	-1.33914656327836	0.0411301195768122	"Col_2"
"AB_023247_T.1"	-2.15524352084125	0.0406744454154282	"Col_2"
"AB_004307_T.1"	-2.45409672823937	0.0398825511429573	"Col_2"
"AB_022412_T.1"	-1.09486822542542	0.0384897065810489	"Col_2"
"AB_025299_T.1"	-3.05212095923628	0.0384897065810489	"Col_2"
"AB_036674_T.1"	-1.78760025549795	0.0381809061917676	"Col_2"
"AB_015491_T.1"	-1.09456751752118	0.037945027000099	"Col_2"
"AB_023944_T.1"	-1.51413656382341	0.037945027000099	"Col_2"
"AB_005147_T.1"	-1.22531371710891	0.0343176000909393	"Col_2"
"AB_009275_T.1"	-1.08196916694574	0.0343176000909393	"Col_2"
"AB_038173_T.1"	-2.11908308493935	0.0343176000909393	"Col_2"
"AB_039567_T.1"	-2.73175432559285	0.0342635231659205	"Col_2"
"AB_014915_T.1"	-3.35090411970555	0.0317094705834339	"Col_2"
"AB_017052_T.1"	-1.29272839537907	0.0281879727141201	"Col_2"
"AB_029263_T.1"	-1.06593951753795	0.0281879727141201	"Col_2"
"AB_010260_T.1"	-1.06430684903615	0.0274031945903665	"Col_2"
"AB_042822_T.1"	-1.18983184300861	0.0274031945903665	"Col_2"
"AB_004588_T.1"	-1.12536084524151	0.0270674516509138	"Col_2"
"AB_012147_T.1"	-1.41175099989803	0.0270674516509138	"Col_2"
"AB_014330_T.1"	-1.68589771600732	0.0270674516509138	"Col_2"
"AB_016311_T.1"	-1.19246269568392	0.0270674516509138	"Col_2"
"AB_020394_T.1"	-3.00820680905805	0.0270674516509138	"Col_2"
"AB_020665_T.1"	-1.10962423800341	0.0270674516509138	"Col_2"
"AB_021477_T.1"	-1.00640953410617	0.0270674516509138	"Col_2"
"AB_021905_T.1"	-4.55992096142308	0.0270674516509138	"Col_2"
"AB_033877_T.1"	-1.110848694871	0.0270674516509138	"Col_2"
"AB_035886_T.1"	-1.91752476394838	0.0270674516509138	"Col_2"
"AB_038487_T.1"	-1.47207712791557	0.0270674516509138	"Col_2"
"AB_039322_T.1"	-1.13641753103114	0.0270674516509138	"Col_2"
"AB_042874_T.1"	-3.42023243325396	0.0270674516509138	"Col_2"
"AB_045467_T.1"	-1.35379291466749	0.0270674516509138	"Col_2"
"AB_009158_T.1"	-1.25138040675773	0.0253682768570994	"Col_2"
"AB_030152_T.1"	-1.03046986215654	0.0253682768570994	"Col_2"
"AB_043715_T.1"	-1.36721377244387	0.0253682768570994	"Col_2"
"AB_045118_T.1"	-1.47296796034201	0.0245688777045839	"Col_2"
"AB_005890_T.1"	-1.24459949695742	0.024014164218515	"Col_2"
"AB_037908_T.1"	-1.5984264262642	0.0231997173592682	"Col_2"
"AB_045502_T.1"	-1.63372287528541	0.0231997173592682	"Col_2"
"AB_027371_T.1"	-1.10896053243192	0.0223812624636081	"Col_2"
"AB_001774_T.1"	-1.00520257444707	0.0217547395034246	"Col_2"
"AB_027908_T.1"	-2.2006498588577	0.0217547395034246	"Col_2"
"AB_029211_T.1"	-1.62007615154762	0.0217547395034246	"Col_2"
"AB_036275_T.1"	-1.02994464223982	0.0217547395034246	"Col_2"
"AB_040651_T.1"	-1.10268944554876	0.0217547395034246	"Col_2"
"AB_045821_T.1"	-1.4819098028525	0.0217547395034246	"Col_2"
"AB_023569_T.1"	-1.03871494831003	0.0205930480140203	"Col_2"
"AB_023421_T.1"	-1.58786585901696	0.020547879574548	"Col_2"
"AB_017512_T.1"	-3.91771839733538	0.0203150861561475	"Col_2"
"AB_024396_T.1"	-1.59263363469659	0.0199813208472504	"Col_2"
"AB_008042_T.1"	-1.4059105680793	0.0199107237565718	"Col_2"
"AB_008816_T.1"	-1.0565312407197	0.0199107237565718	"Col_2"
"AB_007575_T.1"	-1.29443426673209	0.0174615350606236	"Col_2"
"AB_009310_T.1"	-1.9161277745602	0.0174615350606236	"Col_2"
"AB_010283_T.1"	-2.79764605669707	0.0174615350606236	"Col_2"
"AB_014542_T.1"	-2.42904636013122	0.0174615350606236	"Col_2"
"AB_015618_T.1"	-1.13133367268444	0.0174615350606236	"Col_2"
"AB_018541_T.1"	-1.63258951587093	0.0174615350606236	"Col_2"
