"FoldChange"	"pValue"	"color"
"AB_039505_T.1"	1.97905549591213	0.0490725087737215	"Col_1"
"AB_016545_T.1"	1.67457480084064	0.0479582646362951	"Col_1"
"AB_002871_T.1"	1.84771338166243	0.0423377509084783	"Col_1"
"AB_008535_T.1"	3.36373477464858	0.0423377509084783	"Col_1"
"AB_010794_T.1"	5.8917280582559	0.036326763260532	"Col_1"
"AB_008062_T.1"	3.32617626772285	0.036326763260532	"Col_1"
"AB_026950_T.1"	1.0884151530092	0.036326763260532	"Col_1"
"AB_014151_T.1"	2.60583314373418	0.0357363078447847	"Col_1"
"AB_045933_T.1"	2.61194611305791	0.032220583148279	"Col_1"
"AB_023385_T.1"	1.0247093806122	0.032220583148279	"Col_1"
"AB_020479_T.1"	1.638790797073	0.032220583148279	"Col_1"
"AB_041715_T.1"	2.17698854351338	0.032220583148279	"Col_1"
"AB_028574_T.1"	1.28042944375957	0.0289244850825582	"Col_1"
"AB_024369_T.1"	2.67901963506777	0.0289244850825582	"Col_1"
"AB_044422_T.1"	2.97895757632606	0.02288999798895	"Col_1"
"AB_019151_T.1"	1.48689015001365	0.02288999798895	"Col_1"
"AB_039161_T.1"	4.52960941419493	0.02288999798895	"Col_1"
"AB_034171_T.1"	2.9178868770155	0.0186538337108846	"Col_1"
"AB_035933_T.1"	4.39220810271281	0.0186538337108846	"Col_1"
"AB_011024_T.1"	1.23804672282238	0.0186538337108846	"Col_1"
"AB_028901_T.1"	1.23254169207069	0.0186538337108846	"Col_1"
"AB_015946_T.1"	1.46461855371766	0.0186538337108846	"Col_1"
"AB_027733_T.1"	1.86058559477571	0.0186538337108846	"Col_1"
"AB_022901_T.1"	2.17313244153518	0.0186538337108846	"Col_1"
"AB_034011_T.1"	1.18367706008052	0.0179010086528682	"Col_1"
"AB_043786_T.1"	1.97515514741746	0.0167094700854959	"Col_1"
"AB_024110_T.1"	1.66725432860541	0.0167094700854959	"Col_1"
"AB_044991_T.1"	1.5387751109348	0.0136465981979004	"Col_1"
"AB_042636_T.1"	2.54160278157467	0.0125450733023137	"Col_1"
"AB_013956_T.1"	3.57909183725309	0.0118546175882922	"Col_1"
"AB_026984_T.1"	1.81577286077432	0.0118546175882922	"Col_1"
"AB_015209_T.1"	1.2740084776566	0.0118546175882922	"Col_1"
"AB_040233_T.1"	3.02968132617309	0.0118546175882922	"Col_1"
"AB_036574_T.1"	4.88532522831937	0.0117680722962652	"Col_1"
"AB_011891_T.1"	1.34537410265165	0.0117680722962652	"Col_1"
"AB_029981_T.1"	1.6051373509096	0.0117680722962652	"Col_1"
"AB_043867_T.1"	1.7490260512741	0.0117680722962652	"Col_1"
"AB_026420_T.1"	4.50962557417989	0.0117680722962652	"Col_1"
"AB_022817_T.1"	1.61597805718566	0.0117524923855979	"Col_1"
"AB_032188_T.1"	2.37520297679516	0.00947384888165128	"Col_1"
"AB_030194_T.1"	1.05652492663119	0.00834133341621779	"Col_1"
"AB_025401_T.1"	1.83698383067897	0.00798709479587282	"Col_1"
"AB_022144_T.1"	4.44279497216382	0.00499810792319502	"Col_1"
"AB_004848_T.1"	1.4404517248636	0.00139603400661553	"Col_1"
"AB_035078_T.1"	1.74888085428795	0.00139603400661553	"Col_1"
"AB_034353_T.1"	1.48325173736651	0.00139603400661553	"Col_1"
"AB_040125_T.1"	1.32463594593309	0.00139603400661553	"Col_1"
"AB_017578_T.1"	1.08606290571301	0	"Col_1"
"AB_041071_T.1"	2.39628752960632	0	"Col_1"
"AB_001538_T.1"	2.81354654802275	0	"Col_1"
"AB_035979_T.1"	1.11396440381332	0	"Col_1"
"AB_013193_T.1"	1.93314358506989	0	"Col_1"
"AB_011648_T.1"	4.16202828156403	0	"Col_1"
"AB_030275_T.1"	4.21347518975346	0	"Col_1"
"AB_002393_T.1"	1.03013455794343	0	"Col_1"
"AB_009310_T.1"	1.93089729622509	0	"Col_1"
"AB_041238_T.1"	2.56774584805264	0	"Col_1"
"AB_035498_T.1"	1.21872438492344	0	"Col_1"
"AB_034347_T.1"	1.48658349280822	0	"Col_1"
"AB_023048_T.1"	2.91626518257861	0	"Col_1"
"AB_029846_T.1"	3.84757416591408	0	"Col_1"
"AB_004827_T.1"	3.25992971214345	0	"Col_1"
"AB_045336_T.1"	4.35479283728998	0	"Col_1"
"AB_025425_T.1"	1.48546330718668	0	"Col_1"
"AB_022301_T.1"	1.32941253804674	0	"Col_1"
"AB_034636_T.1"	1.73632881316071	0	"Col_1"
"AB_043307_T.1"	2.59120901103086	0	"Col_1"
"AB_024251_T.1"	3.08512420216649	0	"Col_1"
"AB_024913_T.1"	1.04622618488619	0	"Col_1"
"AB_014915_T.1"	3.15082278286702	0	"Col_1"
"AB_021905_T.1"	4.43073845714527	0	"Col_1"
"AB_002563_T.1"	2.78763033259686	0	"Col_1"
"AB_042733_T.1"	2.59555302033316	0	"Col_1"
"AB_031941_T.1"	1.09062626328036	0	"Col_1"
"AB_035565_T.1"	3.05353746993683	0	"Col_1"
"AB_044204_T.1"	4.35655519269989	0	"Col_1"
"AB_036451_T.1"	4.10915750582983	0	"Col_1"
"AB_008465_T.1"	2.17123936865891	0	"Col_1"
"AB_022959_T.1"	4.07517070558642	0	"Col_1"
"AB_006160_T.1"	2.92204348971419	0	"Col_1"
"AB_005307_T.1"	1.37508926061226	0	"Col_1"
"AB_001180_T.1"	4.40602627339358	0	"Col_1"
"AB_020381_T.1"	1.65223044128567	0	"Col_1"
