"FoldChange"	"pValue"	"color"
"AB_001980_T.1"	-1.13702880225063	0.0479582646362951	"Col_2"
"AB_043269_T.1"	-1.10879954731196	0.0423377509084783	"Col_2"
"AB_017560_T.1"	-1.08872631841042	0.0423377509084783	"Col_2"
"AB_037654_T.1"	-1.44660057949375	0.036326763260532	"Col_2"
"AB_004908_T.1"	-1.99901749380237	0.0357363078447847	"Col_2"
"AB_010833_T.1"	-1.15257105301682	0.032220583148279	"Col_2"
"AB_029976_T.1"	-2.37052818844991	0.032220583148279	"Col_2"
"AB_012963_T.1"	-1.1458010630898	0.032220583148279	"Col_2"
"AB_045428_T.1"	-1.78337782752536	0.032220583148279	"Col_2"
"AB_035741_T.1"	-2.48997172867448	0.0306656885413281	"Col_2"
"AB_027644_T.1"	-2.50497530023146	0.0289244850825582	"Col_2"
"AB_029627_T.1"	-2.6832359172392	0.02288999798895	"Col_2"
"AB_044111_T.1"	-1.12107842033516	0.02288999798895	"Col_2"
"AB_030881_T.1"	-2.35851861725779	0.02288999798895	"Col_2"
"AB_037675_T.1"	-1.82925960770683	0.0207691873084587	"Col_2"
"AB_023555_T.1"	-3.65880185963497	0.0192456496174941	"Col_2"
"AB_001941_T.1"	-1.25389866641934	0.0190561479243073	"Col_2"
"AB_027801_T.1"	-1.46384317847881	0.0186538337108846	"Col_2"
"AB_008078_T.1"	-1.57291416189773	0.0186538337108846	"Col_2"
"AB_043352_T.1"	-2.34980165063373	0.0186538337108846	"Col_2"
"AB_043838_T.1"	-1.04970490512383	0.0186538337108846	"Col_2"
"AB_025305_T.1"	-2.7867058069377	0.0186538337108846	"Col_2"
"AB_021162_T.1"	-1.3941093676108	0.0186538337108846	"Col_2"
"AB_036398_T.1"	-1.21005733667872	0.0186538337108846	"Col_2"
"AB_002249_T.1"	-1.02433198923085	0.0186538337108846	"Col_2"
"AB_022402_T.1"	-1.36152771884367	0.0186538337108846	"Col_2"
"AB_022836_T.1"	-1.36529169183885	0.0179010086528682	"Col_2"
"AB_021810_T.1"	-1.40478762616767	0.0167094700854959	"Col_2"
"AB_013007_T.1"	-1.45529968801851	0.0167094700854959	"Col_2"
"AB_030191_T.1"	-2.00856746339326	0.0118546175882922	"Col_2"
"AB_036938_T.1"	-1.47940466774211	0.0118546175882922	"Col_2"
"AB_031911_T.1"	-2.1301469997636	0.0118546175882922	"Col_2"
"AB_019768_T.1"	-1.62732159955082	0.0117524923855979	"Col_2"
"AB_012417_T.1"	-2.2351504050971	0.00814145764618173	"Col_2"
"AB_028271_T.1"	-3.19077968324428	0.00798709479587282	"Col_2"
"AB_028995_T.1"	-2.02753599781879	0.00499810792319502	"Col_2"
"AB_008258_T.1"	-1.59352511201835	0.00191453396746747	"Col_2"
"AB_031641_T.1"	-3.37570809845198	0.00139603400661553	"Col_2"
"AB_015775_T.1"	-1.82281934733266	0.00139603400661553	"Col_2"
"AB_017421_T.1"	-3.13676367309864	0.00139603400661553	"Col_2"
"AB_014865_T.1"	-2.06051783518529	0.00139603400661553	"Col_2"
"AB_038039_T.1"	-3.19153742024414	0	"Col_2"
"AB_015866_T.1"	-3.15048273572658	0	"Col_2"
"AB_024330_T.1"	-2.54945344231604	0	"Col_2"
"AB_024101_T.1"	-2.09760067043707	0	"Col_2"
"AB_016675_T.1"	-1.56687204884585	0	"Col_2"
"AB_041085_T.1"	-1.459730239541	0	"Col_2"
"AB_025762_T.1"	-2.52716515058413	0	"Col_2"
"AB_029559_T.1"	-1.10021499119251	0	"Col_2"
"AB_039909_T.1"	-2.8399363497882	0	"Col_2"
"AB_015482_T.1"	-3.27823829656279	0	"Col_2"
"AB_000214_T.1"	-1.33632715010025	0	"Col_2"
"AB_002953_T.1"	-2.86317498185768	0	"Col_2"
"AB_038944_T.1"	-1.7215370562816	0	"Col_2"
"AB_043203_T.1"	-2.4447471433624	0	"Col_2"
"AB_041660_T.1"	-2.78465590910286	0	"Col_2"
"AB_030460_T.1"	-1.02474851395532	0	"Col_2"
"AB_040455_T.1"	-1.81787920137529	0	"Col_2"
"AB_002360_T.1"	-1.90282549551816	0	"Col_2"
"AB_011532_T.1"	-1.01620018735766	0	"Col_2"
"AB_030551_T.1"	-1.77520118049781	0	"Col_2"
"AB_036885_T.1"	-1.59898202279402	0	"Col_2"
"AB_035415_T.1"	-2.74029291847484	0	"Col_2"
"AB_011099_T.1"	-1.52419220305202	0	"Col_2"
"AB_028910_T.1"	-1.16626154568125	0	"Col_2"
"AB_043522_T.1"	-1.39373569679683	0	"Col_2"
"AB_009314_T.1"	-2.14364091800334	0	"Col_2"
"AB_002977_T.1"	-1.7569941253772	0	"Col_2"
"AB_022360_T.1"	-1.89579317758032	0	"Col_2"
"AB_028384_T.1"	-1.33494650894025	0	"Col_2"
"AB_025837_T.1"	-1.20947063365074	0	"Col_2"
"AB_016172_T.1"	-1.68353266633812	0	"Col_2"
"AB_025158_T.1"	-1.4233174423164	0	"Col_2"
"AB_014128_T.1"	-1.41198008493239	0	"Col_2"
"AB_019266_T.1"	-1.08702893338746	0	"Col_2"
"AB_024366_T.1"	-1.19381488105157	0	"Col_2"
"AB_045483_T.1"	-1.49472305445196	0	"Col_2"
"AB_019633_T.1"	-2.93954305915333	0	"Col_2"
"AB_008075_T.1"	-1.7611287092041	0	"Col_2"
"AB_021024_T.1"	-2.46420360919013	0	"Col_2"
"AB_026620_T.1"	-1.10037366855555	0	"Col_2"
"AB_032659_T.1"	-2.15007816446638	0	"Col_2"
"AB_031538_T.1"	-3.6523689618027	0	"Col_2"
"AB_003265_T.1"	-3.30062726254498	0	"Col_2"
"AB_006612_T.1"	-1.28751352068924	0	"Col_2"
"AB_037487_T.1"	-2.4150955302472	0	"Col_2"
"AB_045422_T.1"	-1.98174971714629	0	"Col_2"
"AB_045556_T.1"	-2.05314935195663	0	"Col_2"
"AB_031205_T.1"	-1.56040295071385	0	"Col_2"
"AB_031589_T.1"	-1.73471335159593	0	"Col_2"
"AB_038343_T.1"	-1.34191869276168	0	"Col_2"
"AB_041495_T.1"	-1.40627226811004	0	"Col_2"
"AB_041315_T.1"	-2.33178902407242	0	"Col_2"
"AB_030562_T.1"	-1.76304267791374	0	"Col_2"
"AB_010759_T.1"	-1.71467147364213	0	"Col_2"
"AB_033514_T.1"	-1.37430972505945	0	"Col_2"
"AB_021811_T.1"	-1.96399930829255	0	"Col_2"
"AB_025054_T.1"	-1.41995327886731	0	"Col_2"
"AB_016379_T.1"	-1.13855200083851	0	"Col_2"
"AB_040911_T.1"	-1.91936957570512	0	"Col_2"
"AB_031218_T.1"	-1.20212149722895	0	"Col_2"
"AB_025250_T.1"	-3.391901609525	0	"Col_2"
"AB_042153_T.1"	-1.6274031760372	0	"Col_2"
"AB_020832_T.1"	-1.88935361990773	0	"Col_2"
"AB_013559_T.1"	-1.1685953607975	0	"Col_2"
"AB_039607_T.1"	-1.05255904291543	0	"Col_2"
"AB_044792_T.1"	-1.12754563763631	0	"Col_2"
"AB_040258_T.1"	-1.79455304762232	0	"Col_2"
"AB_032451_T.1"	-1.387184891317	0	"Col_2"
"AB_009511_T.1"	-1.74118840819228	0	"Col_2"
"AB_028153_T.1"	-1.97951881136834	0	"Col_2"
"AB_019387_T.1"	-1.64644165843324	0	"Col_2"
"AB_018004_T.1"	-1.27254486285913	0	"Col_2"
"AB_024134_T.1"	-1.06768754667144	0	"Col_2"
"AB_044184_T.1"	-2.15104237168131	0	"Col_2"
"AB_021959_T.1"	-1.59845869245004	0	"Col_2"
"AB_030137_T.1"	-1.6015818799675	0	"Col_2"
"AB_041018_T.1"	-1.45960792724616	0	"Col_2"
"AB_010128_T.1"	-1.34322508227327	0	"Col_2"
"AB_042934_T.1"	-1.36878164137155	0	"Col_2"
"AB_039897_T.1"	-2.22896951830509	0	"Col_2"
"AB_022645_T.1"	-2.26997031793813	0	"Col_2"
"AB_023350_T.1"	-2.11605614884851	0	"Col_2"
"AB_023284_T.1"	-1.19565204367822	0	"Col_2"
"AB_022800_T.1"	-1.79304328495909	0	"Col_2"
"AB_006747_T.1"	-2.78026928847517	0	"Col_2"
"AB_026380_T.1"	-1.16565009463481	0	"Col_2"
"AB_021533_T.1"	-4.74047688066394	0	"Col_2"
"AB_010642_T.1"	-1.16906417538176	0	"Col_2"
"AB_028895_T.1"	-1.65692672729155	0	"Col_2"
"AB_036881_T.1"	-2.53288614472348	0	"Col_2"
"AB_045496_T.1"	-1.98954850370584	0	"Col_2"
"AB_026365_T.1"	-2.3669456548363	0	"Col_2"
"AB_032473_T.1"	-2.02129286846061	0	"Col_2"
"AB_037845_T.1"	-1.36004169063469	0	"Col_2"
"AB_033119_T.1"	-2.58203640973703	0	"Col_2"
"AB_041500_T.1"	-2.4946392804058	0	"Col_2"
"AB_032654_T.1"	-3.64103530268575	0	"Col_2"
