"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_001483_T.1"	2.00067444826186	4.298466845275e-10	2.98219032791489e-06	9.36668641869184	5.52546464266524	TRUE
"AB_018867_T.1"	1.43988043312864	1.83572077496731e-09	1.06132196604735e-05	8.73619337711795	4.97415284713897	TRUE
"AB_028089_T.1"	1.87526841370363	1.5164035311404e-08	5.84472467685881e-05	7.81918521293394	4.23323594201064	TRUE
"AB_040057_T.1"	1.53156921529011	1.85859842537491e-08	6.44729207778302e-05	7.73081443512497	4.19062265476235	TRUE
"AB_043324_T.1"	2.15882451549906	4.5950639833754e-08	9.96238590745684e-05	7.3377084369583	4.0016366392516	TRUE
"AB_000071_T.1"	6.19075148201113	1.87042398018838e-07	0.00038166551440444	6.72805993817714	3.41831707919279	TRUE
"AB_028487_T.1"	1.96120828474161	1.00407682871076e-06	0.0013625654679475	5.99823305511076	2.86564262175937	TRUE
"AB_039076_T.1"	1.3885778959582	1.0532223505442e-06	0.0013625654679475	5.97747993325851	2.86564262175937	TRUE
"AB_001045_T.1"	1.61957284968298	1.23244758346154e-06	0.00152687050795348	5.90923154239353	2.81619779337312	TRUE
"AB_027935_T.1"	1.46966182740419	1.96133415049938e-06	0.0021947329144088	5.70744840972061	2.65861832319226	TRUE
"AB_022751_T.1"	1.03597240007939	2.54214005643871e-06	0.00251955132622292	5.59480052614122	2.59867679012887	TRUE
"AB_028260_T.1"	2.18039096724265	2.79035769317773e-06	0.0026160734599633	5.5543401213801	2.58235006508448	TRUE
"AB_029882_T.1"	1.50244343457695	1.43752367261949e-05	0.0103214814371857	4.84238499477512	1.98625796416028	TRUE
"AB_029470_T.1"	3.54613441346188	1.50419082527545e-05	0.0103276638138809	4.82269706460402	1.9859979076658	TRUE
"AB_031247_T.1"	1.18093009448038	2.76304229402276e-05	0.0154429922169221	4.55861246726586	1.81126854743327	TRUE
"AB_000811_T.1"	1.90210333790023	3.50211510973795e-05	0.0178654222120147	4.45566958335182	1.74798671569544	TRUE
"AB_005841_T.1"	1.31826126801549	6.03960793052737e-05	0.025851279057692	4.21899125328866	1.58751796421587	TRUE
"AB_037487_T.1"	4.01414370832583	9.3736711504916e-05	0.0361292531710448	4.02809028657771	1.44214101565441	TRUE
"AB_015209_T.1"	1.38516831668238	0.000105352858653676	0.0397237534112759	3.97735367571157	1.4009497226945	TRUE
"AB_007113_T.1"	2.08987858533332	0.000116507843652049	0.0421485748088288	3.93364483566685	1.3752171058109	TRUE
"AB_043753_T.1"	1.70226845919363	0.000117734330778372	0.0421485748088288	3.92909688045648	1.3752171058109	TRUE
