"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_023350_T.1"	4.73291481561918	4.51296768904316e-09	3.77735395572912e-05	8.34553777583516	4.4228123178419	TRUE
"AB_029697_T.1"	4.67670041787878	1.00226830689665e-07	0.00066929960655091	6.99901600241435	3.17437943029729	TRUE
"AB_023572_T.1"	12.1160067941014	3.1500261358691e-07	0.00150661250041282	6.50168584284004	2.82199843353307	TRUE
"AB_000550_T.1"	3.98835519532599	4.61839409567564e-07	0.00171804260359134	6.33550901072706	2.76496607084516	TRUE
"AB_021957_T.1"	2.17062301110708	4.26259663714138e-07	0.00171804260359134	6.37032576201669	2.76496607084516	TRUE
"AB_021959_T.1"	2.46694614977902	6.2704159779395e-07	0.00190848660855831	6.20270364721853	2.71931088305553	TRUE
"AB_033732_T.1"	11.153316978949	9.42199749837099e-07	0.00262873730204551	6.02585701540704	2.58025281213344	TRUE
"AB_024145_T.1"	2.60006907990371	1.71089658672619e-06	0.00318226765131072	5.76677624012077	2.49726329590286	TRUE
"AB_040148_T.1"	3.61811966164967	1.39522119102812e-06	0.00318226765131072	5.85535693616962	2.49726329590286	TRUE
"AB_008258_T.1"	3.49894969894979	3.26494703309586e-06	0.00530363400315077	5.48612385984703	2.27542645366368	TRUE
"AB_014598_T.1"	1.79756592742312	3.32665215251393e-06	0.00530363400315077	5.47799260825099	2.27542645366368	TRUE
"AB_024146_T.1"	3.43036388572269	4.64027680312078e-06	0.00706165760765835	5.33345611201358	2.15109334351457	TRUE
"AB_029384_T.1"	5.97464210033456	5.9452215040233e-06	0.00826246963878517	5.22583196002208	2.08289012335893	TRUE
"AB_036025_T.1"	3.56556748886102	6.16970552477985e-06	0.00826246963878517	5.20973556400811	2.08289012335893	TRUE
"AB_020308_T.1"	2.28403437408943	7.89682375589075e-06	0.00927952688899413	5.10254755461683	2.03247416545538	TRUE
"AB_031446_T.1"	3.09098145521755	1.25648369787297e-05	0.0120191640585106	4.90084314174689	1.92012573677594	TRUE
"AB_036607_T.1"	2.26819033024746	1.31314782736636e-05	0.0122122747945071	4.88168638053987	1.91320343198594	TRUE
"AB_036969_T.1"	3.19303008123293	2.29722478383676e-05	0.0192277714407137	4.63879650693663	1.71607104894337	TRUE
"AB_045038_T.1"	2.22975921103495	5.1266852249267e-05	0.0397461255964308	4.29016334713422	1.40070519943766	TRUE
"AB_009910_T.1"	2.57010590559887	5.58902058203918e-05	0.0415823131303715	4.25266429105513	1.38109135550925	TRUE
