"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_015079_T.1"	-2.09486904502452	6.04379814590784e-11	1.34435438863751e-06	10.2186900488966	5.87148623073029	TRUE
"AB_023740_T.1"	-3.03298620029017	8.91540810821347e-11	1.34435438863751e-06	10.0498587719403	5.87148623073029	TRUE
"AB_016050_T.1"	-1.66977472647788	6.30957940000814e-09	6.34280985151485e-05	8.19999959009718	4.19771830794286	TRUE
"AB_002157_T.1"	-4.33419216709498	1.66124977066172e-07	0.000834999509726935	6.77956506600428	3.07831377951394	TRUE
"AB_029211_T.1"	-3.22153421386354	1.45525934809009e-07	0.000834999509726935	6.83705960227438	3.07831377951394	TRUE
"AB_028063_T.1"	-3.68876530362271	3.22523464061385e-07	0.00138952323273761	6.49143868431028	2.85713418745056	TRUE
"AB_025706_T.1"	-2.19102225596212	4.46681739339721e-07	0.00168387848687591	6.35000180142584	2.77368925154381	TRUE
"AB_024237_T.1"	-1.59886880174865	7.29170732405867e-07	0.00199912099526329	6.1371707714621	2.69916091974634	TRUE
"AB_010587_T.1"	-2.0344385578967	1.40113415666107e-06	0.00325041568435265	5.85352027962629	2.48806109505914	TRUE
"AB_016551_T.1"	-1.3774290511375	1.79802318076113e-06	0.00387319879181387	5.74520471348613	2.41193021229039	TRUE
"AB_022196_T.1"	-1.38223501006289	3.43360916844029e-06	0.00690338568678814	5.46424914005731	2.16093786223901	TRUE
"AB_014152_T.1"	-3.2650713900421	4.22828858581992e-06	0.00796979544819733	5.37383537922837	2.09855282501031	TRUE
"AB_007825_T.1"	-1.77615228158204	1.11416027501779e-05	0.017684655565256	4.95305233021343	1.75240339429228	TRUE
"AB_012029_T.1"	-1.85504653991423	1.94366035051238e-05	0.0275513434087249	4.71137962458763	1.55985722001467	TRUE
"AB_021387_T.1"	-1.82657453596586	2.00984665757659e-05	0.0275513434087249	4.69683707606645	1.55985722001467	TRUE
"AB_029680_T.1"	-1.05831194749889	2.28700345340159e-05	0.0299875870207327	4.64073317960308	1.52305847874669	TRUE
"AB_020300_T.1"	-1.80564291981615	2.78590419719959e-05	0.0336069195116581	4.55503382234958	1.47357129414764	TRUE
"AB_014844_T.1"	-2.92526577317278	3.86200326188373e-05	0.0447962670661113	4.41318736374733	1.34875817484416	TRUE
