"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_000610_T.1"	-3.05466966553313	3.47764157747186e-16	6.03179543404607e-12	15.4587151805126	11.2195533958139	TRUE
"AB_043005_T.1"	-3.55638723265008	2.63076268879784e-16	6.03179543404607e-12	15.5799183262183	11.2195533958139	TRUE
"AB_002607_T.1"	-1.98083557814962	1.11595212870736e-10	1.29037544642432e-06	9.95235443504374	5.88928390940078	TRUE
"AB_000596_T.1"	-3.01244517437003	2.73664224628431e-10	2.37328457203391e-06	9.56278197300264	5.62465018396798	TRUE
"AB_013152_T.1"	-1.81855573566602	3.22141908240212e-09	1.59639723642067e-05	8.49195277305816	4.7968590327098	TRUE
"AB_013716_T.1"	-3.94760032631571	9.50816932893551e-09	4.12286107314305e-05	8.02190309261829	4.38480129924761	TRUE
"AB_021533_T.1"	-21.8891173037502	2.18470577732827e-08	6.62772024556487e-05	7.66060704285221	4.17863583132868	TRUE
"AB_024101_T.1"	-3.28233773451533	2.29273380457143e-08	6.62772024556487e-05	7.63964636564368	4.17863583132868	TRUE
"AB_002327_T.1"	-1.43660904811262	2.65639129999947e-08	7.08827367736012e-05	7.57570795079745	4.14945952274166	TRUE
"AB_032550_T.1"	-1.11181356665093	2.89105231780124e-08	7.16340813230052e-05	7.53894404906722	4.14488030438284	TRUE
"AB_028624_T.1"	-1.82067949277609	3.47981472634059e-08	8.04741953613525e-05	7.45844387831489	4.09434335700795	TRUE
"AB_031334_T.1"	-1.73556607806	2.25508524636716e-07	0.000434592511729057	6.64683703634606	3.36191776108675	TRUE
"AB_020437_T.1"	-1.72650355969823	4.10790022690733e-07	0.000749994478795729	6.38638011313459	3.1249419337248	TRUE
"AB_038019_T.1"	-1.60026795333443	6.25043062498349e-07	0.00108410593975026	6.20409006079807	2.96492827609942	TRUE
"AB_041144_T.1"	-2.06473835783145	6.83102319525695e-07	0.0011283874458108	6.16551423998286	2.94754175435416	TRUE
"AB_000214_T.1"	-1.99252920158029	9.10926199678164e-07	0.0013625654679475	6.04051680674911	2.86564262175937	TRUE
"AB_010580_T.1"	-1.34868210343591	1.06054563794236e-06	0.0013625654679475	5.97447063796301	2.86564262175937	TRUE
"AB_021997_T.1"	-2.97076573033491	9.43588826305642e-07	0.0013625654679475	6.02521721054029	2.86564262175937	TRUE
"AB_030950_T.1"	-2.09945181997456	9.29433533585153e-07	0.0013625654679475	6.03178166240561	2.86564262175937	TRUE
"AB_013119_T.1"	-1.42896325128248	1.64992640412619e-06	0.00193602155531074	5.78253542729805	2.71308981164519	TRUE
"AB_040890_T.1"	-1.32585168859146	1.67432461758258e-06	0.00193602155531074	5.77616033728815	2.71308981164519	TRUE
"AB_042882_T.1"	-1.39358317375002	2.06746181712243e-06	0.0022411932179425	5.68456250246038	2.64952070041766	TRUE
"AB_002059_T.1"	-2.14912372909345	2.28599537687228e-06	0.00236569009435711	5.64092465224384	2.62604214860323	TRUE
"AB_015079_T.1"	-1.73123066467153	3.07136602880184e-06	0.00280375305718702	5.51266842360375	2.55226023985794	TRUE
"AB_042809_T.1"	-2.19742303454796	3.95921463374531e-06	0.00352156913923054	5.402390953988	2.45326378065187	TRUE
"AB_009458_T.1"	-1.75927847977101	4.81489115877109e-06	0.00417559398516526	5.31741352571066	2.379281736676	TRUE
"AB_009859_T.1"	-1.34512586858919	6.24141465928175e-06	0.00528069349062987	5.20471696334834	2.27730903970546	TRUE
"AB_023406_T.1"	-1.77430342661362	6.96642727834961e-06	0.00575377132996832	5.15698989207436	2.24004740210964	TRUE
"AB_022256_T.1"	-4.93267468307431	9.61419884400002e-06	0.00741126541554481	5.01708689989419	2.13010763330691	TRUE
"AB_002147_T.1"	-2.62825779045586	1.12698490123367e-05	0.00849869113889016	4.94808190236989	2.07064795368884	TRUE
"AB_036027_T.1"	-1.22069193567668	1.25557810331463e-05	0.0092669678352939	4.90115626679531	2.0330623443684	TRUE
"AB_039330_T.1"	-1.60384660522842	1.45796243887716e-05	0.0103214814371857	4.83625366449439	1.98625796416028	TRUE
"AB_014931_T.1"	-1.02573085333971	1.51838004701181e-05	0.0103276638138809	4.81861951193048	1.9859979076658	TRUE
"AB_024723_T.1"	-1.53419147948492	1.57402188208131e-05	0.0105002394360613	4.80298923436507	1.97880079763724	TRUE
"AB_025735_T.1"	-1.09832311883808	1.76774651553789e-05	0.0113558071995359	4.75258001013498	1.94478198959532	TRUE
"AB_027823_T.1"	-1.11422246068892	1.80147189354187e-05	0.0113620470027407	4.74437250932542	1.94454341845704	TRUE
"AB_003275_T.1"	-1.41213740830157	1.94470545871365e-05	0.0118427029216255	4.71114616675058	1.92654916501359	TRUE
"AB_012401_T.1"	-1.06324542085489	1.94596000614792e-05	0.0118427029216255	4.71086608970372	1.92654916501359	TRUE
"AB_028910_T.1"	-1.89752119502943	2.03679717659891e-05	0.0119753317388203	4.69105221570749	1.92171244698701	TRUE
"AB_001259_T.1"	-1.44918238086194	2.84563409167553e-05	0.0154429922169221	4.54582094479379	1.81126854743327	TRUE
"AB_011806_T.1"	-1.91035490073047	2.8936968321368e-05	0.0154429922169221	4.53854697115304	1.81126854743327	TRUE
"AB_018137_T.1"	-1.25381945698247	2.67953090068563e-05	0.0154429922169221	4.57194123025318	1.81126854743327	TRUE
"AB_041519_T.1"	-1.10647125087867	2.88617701381103e-05	0.0154429922169221	4.53967703645672	1.81126854743327	TRUE
"AB_010818_T.1"	-1.10263793628588	3.22468303063709e-05	0.0169486408560257	4.49151296779168	1.77086512297092	TRUE
"AB_019390_T.1"	-2.79139672801262	3.29746490437537e-05	0.0170725015026682	4.48181981804611	1.76770284038431	TRUE
"AB_022453_T.1"	-6.32916012373854	3.58042474388748e-05	0.0180001962232917	4.44606545017604	1.74472276055068	TRUE
"AB_002175_T.1"	-1.35615463727802	3.90150353683965e-05	0.0190618670689339	4.40876799504622	1.71983456340267	TRUE
"AB_025629_T.1"	-4.93622712020923	3.98865590887552e-05	0.0192170117809699	4.39917342754632	1.71631414361496	TRUE
"AB_004287_T.1"	-1.27495492307379	4.1233312916172e-05	0.0194197970716319	4.38475177013652	1.7117553125913	TRUE
"AB_040533_T.1"	-6.17469076388433	4.3134282152514e-05	0.0199504681811808	4.36517742516282	1.70004690819189	TRUE
"AB_041464_T.1"	-1.7811902628506	4.40349937035411e-05	0.020099077586607	4.35620206141949	1.69682387333766	TRUE
"AB_019246_T.1"	-1.91049385861033	5.58978834996217e-05	0.0242380210089797	4.25260463579581	1.61550284242513	TRUE
"AB_046084_T.1"	-1.65194237431683	6.11088495699139e-05	0.025851279057692	4.21389589219477	1.58751796421587	TRUE
"AB_004808_T.1"	-1.40698749852192	8.04252722853852e-05	0.0322971698846134	4.09460746008916	1.49083553207588	TRUE
"AB_034551_T.1"	-4.01231402655291	8.10012908980186e-05	0.0322971698846134	4.09150805981988	1.49083553207588	TRUE
"AB_023991_T.1"	-1.22555576907519	8.83535986241436e-05	0.034437055985089	4.05377575707086	1.46297398335315	TRUE
"AB_027644_T.1"	-4.01264193003414	8.75347267945262e-05	0.034437055985089	4.05781961939777	1.46297398335315	TRUE
"AB_020572_T.1"	-1.45501762442885	9.60804484255337e-05	0.0366256557739928	4.01736497866635	1.43621459062482	TRUE
"AB_001073_T.1"	-1.4368877696114	0.000113877244323228	0.0421485748088288	3.94356305074265	1.3752171058109	TRUE
"AB_002228_T.1"	-1.41498856195556	0.000114324509309178	0.0421485748088288	3.94186065397329	1.3752171058109	TRUE
"AB_010990_T.1"	-6.81506229813389	0.000117859026102119	0.0421485748088288	3.92863715190728	1.3752171058109	TRUE
"AB_016713_T.1"	-2.24421942026379	0.000126383992223595	0.0445519951564655	3.89830793024048	1.35113284233325	TRUE
"AB_044238_T.1"	-1.39152972873367	0.000127148304087465	0.0445519951564655	3.89568942809832	1.35113284233325	TRUE
