"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_043005_T.1"	-3.53933204973283	1.28705047653687e-12	4.75796820166152e-08	11.8904044202661	7.32257846475547	TRUE
"AB_000610_T.1"	-3.03036906790976	2.66644997841414e-09	4.9286661401007e-05	8.57406655910373	4.30727059925706	TRUE
"AB_022453_T.1"	-6.29264875521022	1.71203624940342e-07	0.00158226390169865	6.76648704412778	2.8007210799451	TRUE
"AB_013716_T.1"	-3.90958955738902	2.17669669552971e-07	0.00160936246880684	6.6622020820451	2.79334613087047	TRUE
"AB_021997_T.1"	-2.94455410941188	7.72766561212276e-07	0.00357095427936193	6.1119516787706	2.44721571025189	TRUE
"AB_028624_T.1"	-1.8039988917858	9.46587294793895e-07	0.00388815990154897	6.02383932898057	2.41025588290924	TRUE
"AB_024101_T.1"	-3.25316882983127	1.74769463889298e-06	0.00587352503732687	5.75753444597429	2.23110117562186	TRUE
"AB_000596_T.1"	-2.98856521727649	2.85992254513519e-06	0.00881046805404649	5.54364572864574	2.05500101918272	TRUE
"AB_015079_T.1"	-1.71486467282995	4.23885581021802e-06	0.0119452215416184	5.37275135623001	1.92280579121254	TRUE
"AB_013152_T.1"	-1.79956057837485	4.72605151103654e-06	0.0119452215416184	5.32550154913678	1.92280579121254	TRUE
"AB_040533_T.1"	-5.85853008832346	4.84684925135998e-06	0.0119452215416184	5.31454048766751	1.92280579121254	TRUE
"AB_031334_T.1"	-1.71674948753398	5.61113120202051e-06	0.0129645186422684	5.25094957630682	1.88724360345209	TRUE
"AB_010244_T.1"	-7.25434624529588	6.66395509737994e-06	0.0144913583552907	5.17626793792567	1.8388909037933	TRUE
"AB_022205_T.1"	-5.56442533570011	7.58607893461789e-06	0.0155801203363863	5.11998264269167	1.80742919228433	TRUE
"AB_020437_T.1"	-1.70817368958675	9.65959866819467e-06	0.0179521051726334	5.01504091704302	1.74588461609681	TRUE
"AB_033713_T.1"	-6.39099935274477	1.08875076454154e-05	0.0181471015129517	4.96307152701431	1.74119273136915	TRUE
"AB_022256_T.1"	-4.84619201296031	1.09581462170283e-05	0.0181471015129517	4.96026290897296	1.74119273136915	TRUE
"AB_039330_T.1"	-1.58347322722116	2.22106424516657e-05	0.032843321206127	4.65343887912924	1.48355293229063	TRUE
"AB_013119_T.1"	-1.40756286175093	2.65425336013171e-05	0.037739399314365	4.57605762417866	1.42320501663883	TRUE
