"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ID.baseMean"	"ID.log2FoldChange"	"ID.lfcSE"	"ID.stat"	"ID.pvalue"	"ID.padj"
"AB_000610_T.1"	217.69635499427	-3.05502682676146	0.374526416549499	-8.15703964197596	3.43335728338554e-16	1.13814137319903e-11	217.69635499427	-3.05502682676146	0.374526416549499	-8.15703964197596	3.43335728338554e-16	1.13814137319903e-11
"AB_043005_T.1"	417.851558976839	-3.55003914198806	0.439447490485754	-8.0784148706002	6.56140535684902e-16	1.13814137319903e-11	417.851558976839	-3.55003914198806	0.439447490485754	-8.0784148706002	6.56140535684902e-16	1.13814137319903e-11
"AB_002607_T.1"	123.466284967674	-2.00092115519144	0.304973684969997	-6.56096330209044	5.34612780843132e-11	6.18226219766998e-07	123.466284967674	-2.00092115519144	0.304973684969997	-6.56096330209044	5.34612780843132e-11	6.18226219766998e-07
"AB_001483_T.1"	1200.51347164647	2.02048084152294	0.319705907879161	6.31981077524103	2.61883778847384e-10	2.27131801394336e-06	1200.51347164647	2.02048084152294	0.319705907879161	6.31981077524103	2.61883778847384e-10	2.27131801394336e-06
"AB_002327_T.1"	165.016099953904	-1.55846669242395	0.256014229051087	-6.08742216477727	1.14743127042006e-09	7.96133712668253e-06	165.016099953904	-1.55846669242395	0.256014229051087	-6.08742216477727	1.14743127042006e-09	7.96133712668253e-06
"AB_000596_T.1"	62.8287440676641	-2.88425324570333	0.482869685018106	-5.97315038651718	2.32715190865984e-09	1.34555923358712e-05	62.8287440676641	-2.88425324570333	0.482869685018106	-5.97315038651718	2.32715190865984e-09	1.34555923358712e-05
"AB_013152_T.1"	524.433386154245	-1.83256793658825	0.311192347073789	-5.88885926604651	3.8887041289754e-09	1.92724176632021e-05	524.433386154245	-1.83256793658825	0.311192347073789	-5.88885926604651	3.8887041289754e-09	1.92724176632021e-05
"AB_008960_T.1"	131.824483871336	5.16944622562608	0.89373837525706	5.78407100863184	7.29141400565164e-09	3.16192168355084e-05	131.824483871336	5.16944622562608	0.89373837525706	5.78407100863184	7.29141400565164e-09	3.16192168355084e-05
"AB_040057_T.1"	217.6415840478	1.49837088848418	0.265455357705428	5.64453059616486	1.6563252545347e-08	6.38458174781307e-05	217.6415840478	1.49837088848418	0.265455357705428	5.64453059616486	1.6563252545347e-08	6.38458174781307e-05
"AB_021533_T.1"	13.7347569652	-21.8896398177077	3.91107470248987	-5.59683500899952	2.18300274121009e-08	7.57327310980604e-05	13.7347569652	-21.8896398177077	3.91107470248987	-5.59683500899952	2.18300274121009e-08	7.57327310980604e-05
"AB_028089_T.1"	541.509153206274	1.88842594785731	0.341105830838537	5.53618782538841	3.09126057842332e-08	8.93683433222183e-05	541.509153206274	1.88842594785731	0.341105830838537	5.53618782538841	3.09126057842332e-08	8.93683433222183e-05
"AB_032550_T.1"	696.071457086009	-1.11559171117531	0.201050566063589	-5.54881159012735	2.87617922597034e-08	8.93683433222183e-05	696.071457086009	-1.11559171117531	0.201050566063589	-5.54881159012735	2.87617922597034e-08	8.93683433222183e-05
"AB_043324_T.1"	105.416831471218	2.1079419042394	0.382472256938958	5.51135897047776	3.560736736137e-08	9.50223683462038e-05	105.416831471218	2.1079419042394	0.382472256938958	5.51135897047776	3.560736736137e-08	9.50223683462038e-05
"AB_028624_T.1"	829.040350865757	-1.79884423734266	0.334389505503465	-5.37948771638116	7.46980910759627e-08	0.000185101869686236	829.040350865757	-1.79884423734266	0.334389505503465	-5.37948771638116	7.46980910759627e-08	0.000185101869686236
"AB_010244_T.1"	48.8500426094842	-7.27786725207429	1.39211886649602	-5.2279064864574	1.714401782507e-07	0.00037172516649208	48.8500426094842	-7.27786725207429	1.39211886649602	-5.2279064864574	1.714401782507e-07	0.00037172516649208
"AB_013716_T.1"	65.834452043506	-3.55046018570682	0.679007045997162	-5.22890035771684	1.7052123276834e-07	0.00037172516649208	65.834452043506	-3.55046018570682	0.679007045997162	-5.22890035771684	1.7052123276834e-07	0.00037172516649208
"AB_031334_T.1"	754.650068118528	-1.73720136872174	0.334429072049958	-5.19452856796563	2.05239256998679e-07	0.000418832959046952	754.650068118528	-1.73720136872174	0.334429072049958	-5.19452856796563	2.05239256998679e-07	0.000418832959046952
"AB_000071_T.1"	94.1931204174911	6.18988990621793	1.20894868334034	5.12006009147981	3.05438314307976e-07	0.000529813299998615	94.1931204174911	6.18988990621793	1.20894868334034	5.12006009147981	3.05438314307976e-07	0.000529813299998615
"AB_018867_T.1"	1192.50345175255	1.43053114359302	0.279036156271578	5.12668738957515	2.94884541976291e-07	0.000529813299998615	1192.50345175255	1.43053114359302	0.279036156271578	5.12668738957515	2.94884541976291e-07	0.000529813299998615
"AB_041144_T.1"	51.1639238335351	-2.14134877230145	0.417659079340823	-5.12702555318819	2.94355577896577e-07	0.000529813299998615	51.1639238335351	-2.14134877230145	0.417659079340823	-5.12702555318819	2.94355577896577e-07	0.000529813299998615
"AB_020437_T.1"	685.532360666023	-1.73057473387994	0.340831928954246	-5.0775018032781	3.82429878508467e-07	0.000631774159295987	685.532360666023	-1.73057473387994	0.340831928954246	-5.0775018032781	3.82429878508467e-07	0.000631774159295987
"AB_000214_T.1"	144.203310364657	-1.96306770275194	0.388593090307954	-5.05173085089146	4.37824357887629e-07	0.000690409210174438	144.203310364657	-1.96306770275194	0.388593090307954	-5.05173085089146	4.37824357887629e-07	0.000690409210174438
"AB_021997_T.1"	466.839495112138	-3.00004005889947	0.597469099886878	-5.02124722344216	5.13370319768843e-07	0.000774341005800899	466.839495112138	-3.00004005889947	0.597469099886878	-5.02124722344216	5.13370319768843e-07	0.000774341005800899
"AB_038019_T.1"	453.530034147967	-1.62081308528322	0.325831343623217	-4.97439278634128	6.5452476615599e-07	0.000946115549478484	453.530034147967	-1.62081308528322	0.325831343623217	-4.97439278634128	6.5452476615599e-07	0.000946115549478484
"AB_002147_T.1"	101.982280886733	-2.92712371813716	0.592183102658272	-4.94293691427109	7.69543911526678e-07	0.0010268083607186	101.982280886733	-2.92712371813716	0.592183102658272	-4.94293691427109	7.69543911526678e-07	0.0010268083607186
"AB_030950_T.1"	192.805100372245	-2.11170227490076	0.426824871166305	-4.94746772635461	7.5185164783911e-07	0.0010268083607186	192.805100372245	-2.11170227490076	0.426824871166305	-4.94746772635461	7.5185164783911e-07	0.0010268083607186
"AB_026545_T.1"	11771.9116654897	-0.862191417888404	0.17570021060975	-4.90717350250324	9.23982904149001e-07	0.00118721536706434	11771.9116654897	-0.862191417888404	0.17570021060975	-4.90717350250324	9.23982904149001e-07	0.00118721536706434
"AB_010580_T.1"	795.447336206492	-1.34888786563587	0.276241013846934	-4.88301084205874	1.04478123947808e-06	0.00129448395571334	795.447336206492	-1.34888786563587	0.276241013846934	-4.88301084205874	1.04478123947808e-06	0.00129448395571334
