"logFC"	"logCPM"	"PValue"	"FDR"
"AB_015079_T.1"	-2.09147873882274	6.43315256779273	2.15311411164344e-09	8.09377125707885e-05
"AB_023740_T.1"	-2.90830900004901	3.13868084032709	6.7457449491397e-08	0.00126789649191555
"AB_028063_T.1"	-3.71137569106943	3.18414505296139	8.39827978625744e-07	0.00911175707926952
"AB_008838_T.1"	1.72329513171608	5.94722111423596	9.69567936928469e-07	0.00911175707926952
"AB_002157_T.1"	-4.22360883264718	1.17411713337202	1.71657914780987e-06	0.0129055853490642
"AB_029211_T.1"	-3.25748591763699	1.50502297374845	2.67369084177103e-06	0.0167511187388358
"AB_014152_T.1"	-3.28050262241694	1.87825215941723	1.21524804360812e-05	0.0652605560103896
"AB_007400_T.1"	-7.10199909917595	-1.52199620569869	1.58527516374522e-05	0.0744900983504331
"AB_021908_T.1"	1.39960872086278	7.50158458557966	3.10534368879534e-05	0.12277139076848
"AB_022549_T.1"	-3.13895154911298	7.1550502290546	3.59723842779936e-05	0.12277139076848
"AB_043247_T.1"	-3.9360971553334	3.62444605510878	3.77617743496376e-05	0.12277139076848
"AB_025706_T.1"	-2.48918952387212	1.84684671474134	3.91917397574355e-05	0.12277139076848
"AB_013066_T.1"	-5.10100284780125	6.17372889172336	5.20262946458127e-05	0.144406586344078
"AB_001427_T.1"	1.45364251700785	4.66146389393815	5.37812829884038e-05	0.144406586344078
"AB_001045_T.1"	2.1347825466812	4.57828891339024	6.53960788316788e-05	0.163886933290776
"AB_001483_T.1"	1.91331552484816	6.36433223888996	8.84240885354232e-05	0.204265611533485
"AB_026876_T.1"	-3.04642467607413	4.16110015034201	9.23762442092322e-05	0.204265611533485
"AB_027748_T.1"	-2.29206982270888	4.29330924081396	0.000100545278163686	0.209977641747285
"AB_014844_T.1"	-3.24024419604717	-0.00469667812454196	0.000106710645725711	0.211124204393432
"AB_006793_T.1"	-1.75639299641564	4.63783059129049	0.000151511009882228	0.27957993767794
"AB_007669_T.1"	-3.2002856509176	1.37537598361871	0.000156185754335792	0.27957993767794
"AB_012029_T.1"	-1.86607040108024	3.1648075596916	0.000210701046774318	0.347257255451945
"AB_045446_T.1"	1.2500830136957	4.50147382173558	0.000238446206942794	0.347257255451945
"AB_000936_T.1"	-2.13974562081599	2.23157339835599	0.000245039170297272	0.347257255451945
"AB_013098_T.1"	1.39438898539616	4.70072243487786	0.000247011428910212	0.347257255451945
"AB_019636_T.1"	-1.5646457350124	4.43734629784338	0.000247397096937639	0.347257255451945
"AB_014893_T.1"	-2.78189510365798	2.26273935703008	0.000249419964810793	0.347257255451945
"AB_027908_T.1"	-3.43894792751762	0.00315097092347258	0.000259728854872849	0.348695263697331
"AB_028089_T.1"	1.65224205846509	5.16887311238088	0.000275591874057689	0.357233590955262
"AB_024194_T.1"	-4.40366201971536	2.2563196421988	0.000286605393288904	0.359126111304106
"AB_016050_T.1"	-1.61241090801666	3.09762441085526	0.000300426601777481	0.364301173787655
"AB_010587_T.1"	-2.01803087175266	1.9187762191893	0.000327034353807428	0.383345808521037
"AB_007825_T.1"	-1.7601110758237	3.07301053235931	0.000336527671016845	0.383345808521037
"AB_043065_T.1"	-3.76004408359691	-0.842352886281463	0.000350551925870401	0.384030175463944
"AB_046143_T.1"	1.23702144137854	7.94287308434824	0.000357560483659335	0.384030175463944
"AB_043152_T.1"	-4.35524601113854	4.2879793855341	0.000388132406505184	0.40396252626534
"AB_021750_T.1"	-2.69616323291973	4.9046185855783	0.00039761148870255	0.40396252626534
"AB_036396_T.1"	-4.40889313038171	-1.52952304665512	0.000486402639719352	0.477680522467724
"AB_022196_T.1"	-1.39017247695029	3.93220792209385	0.00049558512346682	0.477680522467724
"AB_020300_T.1"	-1.75944998839439	2.82000070004049	0.000559659081984123	0.525658456549487
"AB_043578_T.1"	1.10297176437436	8.29378958873748	0.00058650978564557	0.525658456549487
"AB_046154_T.1"	-3.63215254590371	-1.38166254424014	0.000587312260250551	0.525658456549487
"AB_010566_T.1"	-1.9465015587525	5.91391814578878	0.000621418093351362	0.530877999270134
"AB_009406_T.1"	-2.91933101438624	2.5598038783089	0.000631790889268271	0.530877999270134
"AB_011557_T.1"	-6.01690517888338	-2.33440729066341	0.000635511424733475	0.530877999270134
"AB_000852_T.1"	-2.0118735437389	2.09190629534984	0.000734094919054884	0.599899176134612
"AB_020214_T.1"	-1.56278362147788	4.95555701586911	0.000886880464307825	0.707555184945054
"AB_028848_T.1"	3.25458024623385	1.30134166338691	0.000933170160465168	0.707555184945054
"AB_027439_T.1"	-1.34145403896416	4.71179447837195	0.000947975743430764	0.707555184945054
"AB_034923_T.1"	-5.87909888314774	-2.42303724508399	0.000961128821440453	0.707555184945054
"AB_029283_T.1"	-2.58926847610333	4.15470471839637	0.000972125409748278	0.707555184945054
"AB_010452_T.1"	-2.44322508054058	3.24118023302751	0.000978768045998852	0.707555184945054
"AB_012643_T.1"	-5.82512263205699	-2.46088286737122	0.00101201395165864	0.717785216166036
"AB_014151_T.1"	-2.90557341856321	0.731418905084387	0.00104879395812837	0.730096549629693
"AB_013597_T.1"	-1.27146603303539	5.44063850262495	0.00109855896999527	0.74317110846321
"AB_000962_T.1"	-6.09135702284755	-2.2739780684613	0.0011260711722519	0.74317110846321
"AB_022033_T.1"	-4.77943670344461	1.40999518966838	0.00114736830280896	0.74317110846321
"AB_038415_T.1"	-1.97537915201547	1.63705085159815	0.00116148816142387	0.74317110846321
"AB_001582_T.1"	2.93909099066613	-1.11723320554258	0.00118188712088893	0.74317110846321
"AB_011240_T.1"	-5.83493475703249	-2.45661585713551	0.00118619527301196	0.74317110846321
"AB_020427_T.1"	-2.14448294736275	1.20738065978423	0.00121128719664357	0.746450770639813
"AB_021751_T.1"	-6.34357607198399	0.270497629934946	0.00126113824482642	0.753743647019786
"AB_001324_T.1"	-2.79781662206608	2.22283714900078	0.00126881958913159	0.753743647019786
