"logFC"	"logCPM"	"PValue"	"FDR"
"AB_015079_T.1"	-2.09993838697148	6.43394571819565	2.09867372577201e-09	9.07361585337529e-05
"AB_023740_T.1"	-2.91015263732015	3.14166096104412	9.68612958327946e-08	0.00209389906266544
"AB_008838_T.1"	1.71790469296134	5.94301336338755	1.10313611698411e-06	0.0132519464075802
"AB_028063_T.1"	-3.71243466801977	3.19143189086982	1.22603875633909e-06	0.0132519464075802
"AB_002157_T.1"	-4.24363940758508	1.17992690880137	2.36986370182272e-06	0.0204922114296611
"AB_029211_T.1"	-3.25940046615699	1.51018642782094	5.09451566789528e-06	0.0367102308169088
"AB_014152_T.1"	-3.29366366444143	1.88072275105492	1.3915965968178e-05	0.085950969804882
"AB_007400_T.1"	-7.1034468252937	-1.52050472344252	2.71326779953897e-05	0.146635166641334
"AB_021908_T.1"	1.39594722437083	7.50059735550789	3.74815944632887e-05	0.154282385343795
"AB_022549_T.1"	-3.14712607284878	7.16163521637783	3.81892208750798e-05	0.154282385343795
"AB_043247_T.1"	-3.94564867102279	3.63345771887799	3.92530643872267e-05	0.154282385343795
"AB_025706_T.1"	-2.49214397731473	1.84990733837836	4.81923929156469e-05	0.173633175642333
"AB_013066_T.1"	-5.11524961470099	6.18459728881743	5.38638069409534e-05	0.179138591776317
"AB_001427_T.1"	1.44876168416221	4.65871953756897	6.61204090537604e-05	0.202555074525523
"AB_001045_T.1"	2.1226319893519	4.57047114099874	7.02746875883624e-05	0.202555074525523
"AB_001483_T.1"	1.90143401150951	6.35724293308522	9.89125577691286e-05	0.264579016213519
"AB_026876_T.1"	-3.04620266803721	4.16895604254402	0.00010957403433483	0.264579016213519
"AB_027748_T.1"	-2.30025450802161	4.29778750424613	0.000110152013226398	0.264579016213519
"AB_043546_T.1"	5.44125496637872	-0.629789860556449	0.000142147439838954	0.323460240075642
"AB_014844_T.1"	-3.23973644313635	-0.0080362840883859	0.000155371745702078	0.335874871271466
"AB_006793_T.1"	-1.75312646194291	4.63814349641723	0.000183681828828238	0.378165898542327
"AB_007669_T.1"	-3.20679240399583	1.37782096753967	0.00020658021417677	0.405977070906029
"AB_012029_T.1"	-1.87525997356187	3.166311261122	0.000221028847198622	0.415486182984019
"AB_014893_T.1"	-2.79366279906196	2.26696751958236	0.000256319342291591	0.438097687804008
"AB_019636_T.1"	-1.57335152503315	4.44076676526853	0.000275376795944092	0.438097687804008
"AB_013098_T.1"	1.39337379087715	4.69913491600587	0.000280257634021076	0.438097687804008
"AB_000936_T.1"	-2.14325417515248	2.23526897612088	0.000290510168163606	0.438097687804008
"AB_045446_T.1"	1.24674046198288	4.50126218811177	0.000295580932397907	0.438097687804008
"AB_028089_T.1"	1.64322578063919	5.16287331429108	0.00030328699643868	0.438097687804008
"AB_024194_T.1"	-4.41614484287758	2.26603833079531	0.000303988218668214	0.438097687804008
"AB_016050_T.1"	-1.61414702326262	3.0978714141156	0.000352926213560473	0.482717669377742
"AB_043152_T.1"	-4.38403561951036	4.29556193795025	0.000370387004752111	0.482717669377742
"AB_007825_T.1"	-1.76414903071897	3.07420072926833	0.000375696720503544	0.482717669377742
"AB_010587_T.1"	-2.02382668193883	1.92219286952007	0.000379609130538759	0.482717669377742
"AB_046143_T.1"	1.23455996656078	7.94436592872334	0.000407426465443647	0.490860119624419
"AB_027908_T.1"	-3.44438585097431	0.00723599991237018	0.000408718961639391	0.490860119624419
"AB_022196_T.1"	-1.39879651431594	3.93206164325277	0.000443781049384743	0.517085753377202
"AB_021750_T.1"	-2.69173133731988	4.90707817398493	0.000454475740218195	0.517085753377202
"AB_043065_T.1"	-3.76379206250947	-0.841836425210299	0.000524184062740939	0.581105075707808
"AB_020300_T.1"	-1.76765867063586	2.82312911291492	0.000588253125354401	0.635828096867438
"AB_043578_T.1"	1.1011763711342	8.29383168849455	0.000633909899139938	0.668465719251591
"AB_010566_T.1"	-1.95410901013458	5.91861119351414	0.000662357867832321	0.671170458069411
"AB_009406_T.1"	-2.92653789229938	2.56715493576694	0.000671267654445685	0.671170458069411
"AB_036396_T.1"	-4.40291900655726	-1.5313871255307	0.000683046146757351	0.671170458069411
"AB_000852_T.1"	-2.01584136814136	2.09603823813084	0.000883885643906751	0.843640480819005
"AB_046154_T.1"	-3.6395488271259	-1.38016860455957	0.000897593665263658	0.843640480819005
"AB_027439_T.1"	-1.35414084472461	4.71300074593924	0.000919347402546152	0.845701807427296
"AB_010452_T.1"	-2.45922656035567	3.24351749126551	0.000977829443813422	0.880759500068193
"AB_013597_T.1"	-1.28324915432134	5.44176952020416	0.00107640223434445	0.929167253699072
