"logFC"	"logCPM"	"PValue"	"FDR"
"AB_000588_T.1"	7.95768933441298	-0.646158995574397	1.59145648605825e-07	0.00372908164627292
"AB_036475_T.1"	1.44600818753485	5.92743655012867	2.43897047640262e-07	0.00372908164627292
"AB_038616_T.1"	-4.92156287535159	2.20873326164499	2.97604345157584e-07	0.00372908164627292
"AB_035458_T.1"	-2.81825746435025	2.4468015214784	9.52778358290374e-07	0.00895397281662337
"AB_029013_T.1"	-1.36502782793049	5.68884344735349	1.50170394406041e-06	0.0112901105922349
"AB_005940_T.1"	6.01192160324485	0.869890624505351	1.84597767527815e-06	0.0115246453843094
"AB_015092_T.1"	1.62174714788614	5.16857137561723	2.14605936767221e-06	0.0115246453843094
"AB_014935_T.1"	6.13302991437621	5.81775932124663	3.19174587843999e-06	0.0127465169602618
"AB_029334_T.1"	-1.18491557341858	6.4507458248614	3.34276094972325e-06	0.0127465169602618
"AB_045531_T.1"	4.40671642308711	0.959353828545741	3.39084274434353e-06	0.0127465169602618
"AB_018867_T.1"	1.31063086785021	5.27304307106158	1.38659010017541e-05	0.0454944726206962
"AB_044701_T.1"	4.08344701046522	1.78190765318956	1.45229887858358e-05	0.0454944726206962
"AB_040645_T.1"	2.97872008954668	1.53010119798559	1.81355542640277e-05	0.0498690962768223
"AB_041872_T.1"	3.37652714628292	2.24366421809417	2.06832710589843e-05	0.0498690962768223
"AB_045013_T.1"	5.76172101637382	0.982810568221814	2.1753322961648e-05	0.0498690962768223
"AB_030270_T.1"	-2.42112685859858	4.16054630249708	2.21624782556382e-05	0.0498690962768223
"AB_033107_T.1"	4.40884004752217	5.69172032496762	2.33371828087925e-05	0.0498690962768223
"AB_025299_T.1"	6.70298650281318	-1.65925663007916	2.42524231481783e-05	0.0498690962768223
"AB_031912_T.1"	-5.27896539366803	0.0381939917246992	2.52058426022086e-05	0.0498690962768223
"AB_037360_T.1"	3.58624374318531	-0.158198419597991	3.39834555429646e-05	0.0620542016280263
"AB_033790_T.1"	-3.13726599950351	3.08282512565892	3.466622952804e-05	0.0620542016280263
"AB_016376_T.1"	1.51949192304811	6.19733180136735	4.01259151331722e-05	0.068562421625958
"AB_045762_T.1"	3.48720627504595	3.4397902312964	5.14552950502489e-05	0.0832761490337308
"AB_040268_T.1"	7.30428947368852	-1.14445619788578	5.31677150597095e-05	0.0832761490337308
"AB_027705_T.1"	4.13285848482336	1.46176928841255	5.70431008793221e-05	0.085772288206184
"AB_031478_T.1"	3.5858475926282	0.517846090453599	6.18520520236693e-05	0.0894261726008366
"AB_023847_T.1"	-4.27505207325907	5.11770144398719	7.00791405777027e-05	0.0962177786103353
"AB_045635_T.1"	3.60620878328839	4.21666180232139	7.16686920031228e-05	0.0962177786103353
"AB_043065_T.1"	6.88022227741427	-1.50037859722747	8.78918320952402e-05	0.107018238188951
"AB_036607_T.1"	-1.75659289499234	3.800429489454	8.79484736779281e-05	0.107018238188951
"AB_014498_T.1"	2.16235332433249	4.16269510487458	9.08172964648246e-05	0.107018238188951
"AB_030083_T.1"	2.23396819142562	5.75602535492607	9.11011577783627e-05	0.107018238188951
"AB_040445_T.1"	-6.07501143305445	-0.542059406878658	9.71690103147398e-05	0.110687280810345
"AB_016918_T.1"	1.07921764287585	7.80554610154292	0.000110270324843703	0.118585311991215
"AB_032645_T.1"	3.38416816356342	2.95929262414257	0.000110411692152178	0.118585311991215
"AB_014823_T.1"	-1.02783541082762	5.07692729460246	0.00013586783923441	0.140019574364613
"AB_022224_T.1"	4.08804622516677	0.368155754802209	0.000137818207855356	0.140019574364613
"AB_002103_T.1"	-2.33448395861728	1.02251001823631	0.00014941167316517	0.145437555108155
"AB_024194_T.1"	3.80804697055641	1.61136959012256	0.00015088890024788	0.145437555108155
"AB_026831_T.1"	1.69253502007208	2.83920178945457	0.000165563037044594	0.147595674581714
"AB_030539_T.1"	5.3454577491757	-0.0339049814736763	0.000167386959556071	0.147595674581714
"AB_021689_T.1"	-1.24567857925887	4.91663664875903	0.000172020004996699	0.147595674581714
"AB_026939_T.1"	-2.25244894294086	2.40181841274944	0.00017535995912398	0.147595674581714
"AB_003359_T.1"	-1.68005486914877	5.54883773531424	0.000178012754505024	0.147595674581714
"AB_020254_T.1"	1.27215191856424	6.0488476234334	0.000181112481081876	0.147595674581714
"AB_002349_T.1"	1.21523691712552	4.92777740676914	0.000186847031150002	0.147595674581714
"AB_029098_T.1"	6.22822130223383	1.06122433741045	0.000189693237830093	0.147595674581714
"AB_030948_T.1"	-1.90301335389039	1.44477911778757	0.00019007226234622	0.147595674581714
"AB_041457_T.1"	1.96612120151562	1.8327012460018	0.000194285135757836	0.147595674581714
"AB_043152_T.1"	5.78721096279385	3.49617151623531	0.000201215718224409	0.147595674581714
"AB_025627_T.1"	8.84654080940204	2.35311210904152	0.00020767533296794	0.147595674581714
"AB_041364_T.1"	3.86645885962453	-2.072975687672	0.000208896290939739	0.147595674581714
"AB_027457_T.1"	-1.24626960264912	6.07550684724499	0.000209966667851158	0.147595674581714
"AB_025585_T.1"	3.75521675802358	0.934914282580412	0.000212023261616146	0.147595674581714
"AB_022351_T.1"	3.40178525991661	0.560530890471439	0.00024115918959303	0.164825729018029
"AB_032114_T.1"	-5.67485288581499	0.987794982056858	0.000250197454827486	0.167949509364643
"AB_013716_T.1"	1.9744903250503	2.67490684915025	0.000257921479437281	0.170096953219769
"AB_029279_T.1"	2.0155610360533	1.60739987819393	0.000271598518521226	0.17260080926883
"AB_033625_T.1"	3.04282917422931	0.96033027524675	0.000272505009299015	0.17260080926883
"AB_030538_T.1"	3.05756528793893	0.952384106716791	0.000275492765718651	0.17260080926883
"AB_033604_T.1"	-3.78329956064961	1.53253947777742	0.000290716615291393	0.176216418717636
"AB_024550_T.1"	3.47247671033729	1.33146538676439	0.000291474311882168	0.176216418717636
"AB_040295_T.1"	-3.90442048113931	1.54417947120508	0.000295326923444735	0.176216418717636
"AB_043323_T.1"	1.25265263434531	6.44422498861815	0.000312966097438665	0.181770884879751
