"logFC"	"logCPM"	"PValue"	"FDR"
"AB_043005_T.1"	-3.53330058435576	3.64303737602632	1.61560676198582e-12	5.97322132041396e-08
"AB_000610_T.1"	-3.03032749037711	2.70188179934516	2.34496028485015e-09	4.33489358257399e-05
"AB_001483_T.1"	2.04078872790613	5.17856944888564	8.68188255545089e-09	0.000106995520613377
"AB_008960_T.1"	5.15523846280504	2.00517618283136	2.46312922510061e-08	0.00022766703427605
"AB_010244_T.1"	-7.01136670870612	0.561726546492316	7.53542861785191e-08	0.000535288710891978
"AB_022453_T.1"	-6.36939700118455	4.11251769654294	8.68693136793213e-08	0.000535288710891978
"AB_030668_T.1"	10.3951931153663	1.22126819516349	3.78937076939746e-07	0.00200143737265947
"AB_021997_T.1"	-2.97283620419508	3.80121539932782	4.83553316828553e-07	0.00211668254233285
"AB_000071_T.1"	6.13081937200521	1.52636225795905	5.15258651979759e-07	0.00211668254233285
"AB_028624_T.1"	-1.78205657675582	4.63103128803552	1.41931864084757e-06	0.00524750487894164
"AB_028089_T.1"	1.90791555488726	4.03291501415234	2.37963134771005e-06	0.00789622019194228
"AB_022205_T.1"	-5.8080429640198	2.83157995705453	2.59617583905739e-06	0.00789622019194228
"AB_013716_T.1"	-3.51272829380455	0.985365594528938	2.82144889520946e-06	0.00789622019194228
"AB_022256_T.1"	-4.56789937540918	1.3120684589241	2.99002171067813e-06	0.00789622019194228
"AB_015079_T.1"	-1.71475729345535	6.86252491239982	3.87578496743106e-06	0.00955303478772408
"AB_013152_T.1"	-1.8129713523377	3.9718941897268	4.26313055592817e-06	0.00985102893211101
"AB_031334_T.1"	-1.71799756351248	4.49827446960714	4.92104395709625e-06	0.0107024021871625
"AB_000596_T.1"	-2.86011799328472	0.926065270713104	8.0496740817235e-06	0.0149693457785751
"AB_040533_T.1"	-5.7551873038341	-1.76915957641544	8.05880622174914e-06	0.0149693457785751
"AB_020437_T.1"	-1.71184737662334	4.35757043399447	8.09766622231696e-06	0.0149693457785751
"AB_029470_T.1"	3.46514930341045	3.34878603652974	8.56649473999092e-06	0.0150819258822355
"AB_025629_T.1"	-5.2974058498846	0.735247062978477	1.01496050804573e-05	0.0170568726833939
"AB_018867_T.1"	1.44706958978936	5.16472150635241	1.1261108371232e-05	0.0176773609511812
"AB_000811_T.1"	1.96987120587766	4.47472267615885	1.15046415319518e-05	0.0176773609511812
"AB_002147_T.1"	-2.89873449344507	1.61504881638534	1.19532084761314e-05	0.0176773609511812
"AB_039330_T.1"	-1.58158674977083	5.866426614674	2.11536453529082e-05	0.0300804836918355
"AB_013119_T.1"	-1.40811083062259	9.32530226475309	2.47031530721892e-05	0.033212271992911
"AB_033713_T.1"	-6.09657013609085	4.65848605804095	2.51526456724415e-05	0.033212271992911
