"logFC"	"logCPM"	"PValue"	"FDR"
"AB_000588_T.1"	7.95768933441298	-0.646158995574397	1.59145648605825e-07	0.00372908164627292
"AB_036475_T.1"	1.44600818753485	5.92743655012867	2.43897047640262e-07	0.00372908164627292
"AB_038616_T.1"	-4.92156287535159	2.20873326164499	2.97604345157584e-07	0.00372908164627292
"AB_035458_T.1"	-2.81825746435025	2.4468015214784	9.52778358290374e-07	0.00895397281662337
"AB_029013_T.1"	-1.36502782793049	5.68884344735349	1.50170394406041e-06	0.0112901105922349
"AB_005940_T.1"	6.01192160324485	0.869890624505351	1.84597767527815e-06	0.0115246453843094
"AB_015092_T.1"	1.62174714788614	5.16857137561723	2.14605936767221e-06	0.0115246453843094
"AB_014935_T.1"	6.13302991437621	5.81775932124663	3.19174587843999e-06	0.0127465169602618
"AB_029334_T.1"	-1.18491557341858	6.4507458248614	3.34276094972325e-06	0.0127465169602618
"AB_045531_T.1"	4.40671642308711	0.959353828545741	3.39084274434353e-06	0.0127465169602618
"AB_018867_T.1"	1.31063086785021	5.27304307106158	1.38659010017541e-05	0.0454944726206962
"AB_044701_T.1"	4.08344701046522	1.78190765318956	1.45229887858358e-05	0.0454944726206962
"AB_040645_T.1"	2.97872008954668	1.53010119798559	1.81355542640277e-05	0.0498690962768223
"AB_041872_T.1"	3.37652714628292	2.24366421809417	2.06832710589843e-05	0.0498690962768223
"AB_045013_T.1"	5.76172101637382	0.982810568221814	2.1753322961648e-05	0.0498690962768223
"AB_030270_T.1"	-2.42112685859858	4.16054630249708	2.21624782556382e-05	0.0498690962768223
"AB_033107_T.1"	4.40884004752217	5.69172032496762	2.33371828087925e-05	0.0498690962768223
"AB_025299_T.1"	6.70298650281318	-1.65925663007916	2.42524231481783e-05	0.0498690962768223
"AB_031912_T.1"	-5.27896539366803	0.0381939917246992	2.52058426022086e-05	0.0498690962768223
