"logFC"	"logCPM"	"PValue"	"FDR"
"AB_038562_T.1"	8.02058856863904	-0.593533524612032	1.37247715977103e-07	0.00314245391078674
"AB_000588_T.1"	-7.95700618061047	-0.646709367055255	2.24804173677705e-07	0.00314245391078674
"AB_038616_T.1"	4.92188416379991	2.20844442530837	2.82027104352857e-07	0.00314245391078674
"AB_036475_T.1"	-1.4452579447213	5.92652744962246	2.89507016517273e-07	0.00314245391078674
"AB_035458_T.1"	2.8183510779154	2.44652853725746	1.01652820601761e-06	0.00882712432977452
"AB_029013_T.1"	1.36564748866478	5.68852141927554	1.64996948761343e-06	0.0119397292022
"AB_005940_T.1"	-6.01181613991583	0.869059516834603	2.27563432126893e-06	0.0128263961103799
"AB_015092_T.1"	-1.62068935337361	5.16750211354189	2.36333246310377e-06	0.0128263961103799
"AB_014935_T.1"	-6.13155074365159	5.81617007910317	3.15119623299631e-06	0.0152020708938037
"AB_029334_T.1"	1.18548964871075	6.45036006199674	3.71717584171652e-06	0.0161392340695648
"AB_045531_T.1"	-4.40620421353019	0.957595899532478	4.18381546782258e-06	0.0165138999983564
"AB_027319_T.1"	9.66552311625233	0.947262981457437	8.35283467239579e-06	0.03022194798384
"AB_018867_T.1"	-1.31040492696649	5.27254419360825	1.57305653719239e-05	0.0489404300283992
"AB_044701_T.1"	-4.08291170546268	1.78071505296784	1.57806905061861e-05	0.0489404300283992
"AB_037248_T.1"	-8.18746624024851	-0.446485811865446	1.8062107955892e-05	0.051063897882496
"AB_040645_T.1"	-2.97814608686931	1.52865890149327	2.07102263553411e-05	0.051063897882496
"AB_041872_T.1"	-3.37605535483202	2.24259603743689	2.17724255920314e-05	0.051063897882496
"AB_030270_T.1"	2.4214337290332	4.16020229321146	2.33632907753955e-05	0.051063897882496
"AB_033107_T.1"	-4.40792410678126	5.69017343856908	2.36729516628505e-05	0.051063897882496
"AB_045013_T.1"	-5.76151006740235	0.980733128834316	2.41946194573462e-05	0.051063897882496
"AB_001682_T.1"	8.06294767786738	-0.586490738399852	2.46980942358565e-05	0.051063897882496
"AB_025299_T.1"	-6.70265527327461	-1.66146538025301	2.99958416807927e-05	0.0591981570043936
"AB_031912_T.1"	5.27858734055498	0.0387159596994745	3.17531151806933e-05	0.0599415980397974
"AB_033790_T.1"	3.13801404869554	3.08299279826565	3.6108157993875e-05	0.065322666824086
"AB_016376_T.1"	-1.51908782281062	6.19660797481474	4.42168296975332e-05	0.0749433576179684
"AB_037360_T.1"	-3.58535899451866	-0.158152628131061	4.48783292198438e-05	0.0749433576179684
"AB_045762_T.1"	-3.4868165100259	3.43887477632235	5.32502453053726e-05	0.0856303389136543
"AB_027705_T.1"	-4.13240303174318	1.4601499039115	6.13493187768951e-05	0.0944549065143297
"AB_040268_T.1"	-7.30406400996709	-1.14852022970844	6.3088863810299e-05	0.0944549065143297
"AB_023847_T.1"	4.2749157475762	5.11686599028778	7.09349140056319e-05	0.10176168523679
"AB_031478_T.1"	-3.58532310423349	0.515805413715778	7.44988609622717e-05	0.10176168523679
"AB_045635_T.1"	-3.60480980132698	4.21532518706269	7.50005510980996e-05	0.10176168523679
"AB_014498_T.1"	-2.16074038658881	4.16095294236886	9.53612925518941e-05	0.120220144390411
"AB_030083_T.1"	-2.23296141779813	5.75504748871875	9.55697214904016e-05	0.120220144390411
"AB_036607_T.1"	1.75645178784163	3.800405314024	9.69115356226537e-05	0.120220144390411
"AB_043065_T.1"	-6.87887806272424	-1.50422834705004	0.000110430771528458	0.133185645506183
