"FoldChange"	"pValue"	"color"
"AB_021494_T.1"	1.57167873657233	0.0484157224798614	"Col_1"
"AB_021811_T.1"	1.85451995968944	0.0484157224798614	"Col_1"
"AB_030551_T.1"	1.57699427075081	0.0484157224798614	"Col_1"
"AB_031538_T.1"	3.85613537573181	0.0484157224798614	"Col_1"
"AB_045120_T.1"	1.38314939678107	0.0484157224798614	"Col_1"
"AB_010799_T.1"	1.12360766945899	0.0482130981225058	"Col_1"
"AB_020554_T.1"	2.03466106004009	0.0462836191816948	"Col_1"
"AB_012643_T.1"	1.97227495552091	0.0461777938156733	"Col_1"
"AB_038177_T.1"	1.17830609726543	0.0457621883039803	"Col_1"
"AB_031589_T.1"	1.7891780333306	0.0451732816627154	"Col_1"
"AB_045833_T.1"	1.44328347705409	0.0444798515934591	"Col_1"
"AB_006268_T.1"	1.44389805624707	0.0437411849630479	"Col_1"
"AB_039976_T.1"	1.56355146820376	0.0432476845683411	"Col_1"
"AB_040428_T.1"	1.3032091305792	0.0427162230169161	"Col_1"
"AB_024101_T.1"	1.90236207139511	0.0423535901790194	"Col_1"
"AB_031603_T.1"	1.29550780602451	0.0423535901790194	"Col_1"
"AB_032669_T.1"	2.63198754152465	0.0423535901790194	"Col_1"
"AB_042612_T.1"	1.12234693178774	0.0423535901790194	"Col_1"
"AB_012510_T.1"	1.2189507667298	0.0419966805249601	"Col_1"
"AB_006889_T.1"	1.32791849967459	0.0411386101554681	"Col_1"
"AB_015225_T.1"	1.36559958909538	0.0411386101554681	"Col_1"
"AB_015926_T.1"	1.29166126614365	0.0411386101554681	"Col_1"
"AB_032835_T.1"	1.24298062353327	0.0411386101554681	"Col_1"
"AB_039633_T.1"	1.42755244343434	0.0411386101554681	"Col_1"
"AB_042994_T.1"	1.31389562859666	0.0411386101554681	"Col_1"
"AB_001050_T.1"	1.2251445450543	0.0406872270502013	"Col_1"
"AB_043610_T.1"	1.2927625244447	0.0402047582459636	"Col_1"
"AB_038693_T.1"	1.50213589825765	0.0401609190750061	"Col_1"
"AB_030942_T.1"	1.5464424519889	0.0390725113016644	"Col_1"
"AB_021717_T.1"	1.52763033197296	0.0376305532282787	"Col_1"
"AB_024127_T.1"	1.57792678803819	0.0376305532282787	"Col_1"
"AB_034909_T.1"	1.2893408099296	0.0376305532282787	"Col_1"
"AB_035509_T.1"	1.10423790176109	0.0348616542146288	"Col_1"
"AB_027699_T.1"	2.29094038041621	0.0343951580014045	"Col_1"
"AB_035607_T.1"	1.29568920803621	0.0343951580014045	"Col_1"
"AB_041295_T.1"	1.33128317645022	0.0343951580014045	"Col_1"
"AB_043354_T.1"	1.21018202392718	0.0343951580014045	"Col_1"
"AB_044038_T.1"	1.05798930779251	0.0343951580014045	"Col_1"
"AB_045403_T.1"	1.47130346614953	0.0343951580014045	"Col_1"
"AB_023380_T.1"	1.08297648294201	0.0339641588029519	"Col_1"
"AB_024211_T.1"	1.70643687299014	0.0339641588029519	"Col_1"
"AB_044728_T.1"	1.58670052936741	0.0339641588029519	"Col_1"
"AB_001038_T.1"	1.10712916563931	0.0328433261601332	"Col_1"
"AB_042297_T.1"	1.3066114749536	0.0328433261601332	"Col_1"
"AB_007628_T.1"	1.55438702585722	0.0321695097458644	"Col_1"
"AB_030653_T.1"	1.15335367622137	0.0321695097458644	"Col_1"
"AB_018299_T.1"	1.71898463960346	0.0320342675014547	"Col_1"
"AB_030191_T.1"	1.87164895051646	0.0320342675014547	"Col_1"
"AB_003336_T.1"	1.08208066891303	0.0319257246099774	"Col_1"
"AB_043356_T.1"	1.49716955688618	0.0305073950850419	"Col_1"
"AB_000998_T.1"	1.40579598112261	0.0303778693559115	"Col_1"
"AB_001573_T.1"	1.47413034186707	0.0286021777841562	"Col_1"
"AB_018897_T.1"	1.0159777497897	0.0286021777841562	"Col_1"
"AB_023066_T.1"	1.25184617276161	0.0286021777841562	"Col_1"
"AB_023354_T.1"	1.25527635645117	0.0286021777841562	"Col_1"
"AB_025647_T.1"	1.599718299265	0.0286021777841562	"Col_1"
"AB_026365_T.1"	2.34642888134693	0.0286021777841562	"Col_1"
"AB_028512_T.1"	1.32598225802276	0.0286021777841562	"Col_1"
"AB_029585_T.1"	1.07308585334237	0.0286021777841562	"Col_1"
"AB_030562_T.1"	1.20133031903911	0.0286021777841562	"Col_1"
"AB_031887_T.1"	1.59986124849273	0.0286021777841562	"Col_1"
"AB_032473_T.1"	1.98936111327859	0.0286021777841562	"Col_1"
"AB_033402_T.1"	1.4868201014121	0.0286021777841562	"Col_1"
"AB_034407_T.1"	1.128758920624	0.0286021777841562	"Col_1"
"AB_035065_T.1"	1.30322072237111	0.0286021777841562	"Col_1"
"AB_037845_T.1"	1.14801450861661	0.0286021777841562	"Col_1"
"AB_041297_T.1"	1.72570541767377	0.0286021777841562	"Col_1"
"AB_044183_T.1"	1.31536099170713	0.0286021777841562	"Col_1"
