"FoldChange"	"pValue"	"color"
"AB_008927_T.1"	-1.05497553280181	0.0484157224798614	"Col_2"
"AB_009034_T.1"	-1.80974825060533	0.0484157224798614	"Col_2"
"AB_010298_T.1"	-1.07204176854273	0.0484157224798614	"Col_2"
"AB_019617_T.1"	-1.11154819901266	0.0484157224798614	"Col_2"
"AB_029681_T.1"	-1.34637380834077	0.0484157224798614	"Col_2"
"AB_043715_T.1"	-1.3566784470586	0.0484157224798614	"Col_2"
"AB_020896_T.1"	-1.35033643769452	0.0483918604786359	"Col_2"
"AB_002593_T.1"	-1.55598139781277	0.0482130981225058	"Col_2"
"AB_004307_T.1"	-2.46529857785759	0.0460049655573849	"Col_2"
"AB_021919_T.1"	-1.45972941732721	0.0444798515934591	"Col_2"
"AB_034347_T.1"	-1.74191611392279	0.0442715841680544	"Col_2"
"AB_015491_T.1"	-1.09445745884462	0.0437411849630479	"Col_2"
"AB_022412_T.1"	-1.09494829466934	0.0437411849630479	"Col_2"
"AB_025894_T.1"	-1.5549129917572	0.0437411849630479	"Col_2"
"AB_023566_T.1"	-1.86345024538839	0.0432476845683411	"Col_2"
"AB_034015_T.1"	-2.69020799488977	0.0431599315524215	"Col_2"
"AB_001672_T.1"	-1.21732616940659	0.0428927522118267	"Col_2"
"AB_038192_T.1"	-1.30758139508417	0.0428927522118267	"Col_2"
"AB_005147_T.1"	-1.22416668936545	0.0423535901790194	"Col_2"
"AB_012124_T.1"	-1.00333884135346	0.0423535901790194	"Col_2"
"AB_014152_T.1"	-1.98298911593828	0.0423535901790194	"Col_2"
"AB_015946_T.1"	-1.07622901225649	0.0423535901790194	"Col_2"
"AB_028343_T.1"	-1.06337600888913	0.0423535901790194	"Col_2"
"AB_030152_T.1"	-1.0518919312392	0.0423535901790194	"Col_2"
"AB_009280_T.1"	-1.05705666310201	0.0411386101554681	"Col_2"
"AB_012126_T.1"	-2.27610936096739	0.0411386101554681	"Col_2"
"AB_012601_T.1"	-1.58495885127862	0.0411386101554681	"Col_2"
"AB_017052_T.1"	-1.29242271272454	0.0411386101554681	"Col_2"
"AB_023247_T.1"	-1.84470870800911	0.0411386101554681	"Col_2"
"AB_023569_T.1"	-1.05989947253677	0.0411386101554681	"Col_2"
"AB_015618_T.1"	-1.13740148970318	0.0390725113016644	"Col_2"
"AB_021477_T.1"	-1.0141560502585	0.0383516187767538	"Col_2"
"AB_019795_T.1"	-1.9743887721559	0.0376305532282787	"Col_2"
"AB_029263_T.1"	-1.06568858238093	0.0376305532282787	"Col_2"
"AB_040651_T.1"	-1.11083188302908	0.0348616542146288	"Col_2"
"AB_028074_T.1"	-1.56835022036178	0.0343951580014045	"Col_2"
"AB_029021_T.1"	-1.34734156792764	0.0343951580014045	"Col_2"
"AB_004025_T.1"	-1.23346116116092	0.0339641588029519	"Col_2"
"AB_007767_T.1"	-1.66694181357947	0.0339641588029519	"Col_2"
"AB_023421_T.1"	-1.62077020869201	0.0339641588029519	"Col_2"
"AB_039567_T.1"	-2.65768616819812	0.0339641588029519	"Col_2"
"AB_001197_T.1"	-1.03204859290312	0.0328433261601332	"Col_2"
"AB_007240_T.1"	-1.33280168485887	0.0328433261601332	"Col_2"
"AB_008391_T.1"	-1.02294807373961	0.0328433261601332	"Col_2"
"AB_009310_T.1"	-1.97381191875269	0.0328433261601332	"Col_2"
"AB_026249_T.1"	-1.40890726351911	0.0328433261601332	"Col_2"
"AB_036275_T.1"	-1.03668341994293	0.0328433261601332	"Col_2"
"AB_002226_T.1"	-1.18684889987278	0.0321695097458644	"Col_2"
"AB_009275_T.1"	-1.04285519435799	0.0321695097458644	"Col_2"
"AB_042822_T.1"	-1.10883049922389	0.0321695097458644	"Col_2"
"AB_035886_T.1"	-1.82104668278391	0.0319257246099774	"Col_2"
"AB_037018_T.1"	-1.81729272071381	0.0317307585956013	"Col_2"
"AB_002154_T.1"	-1.49194280298675	0.0293202672166272	"Col_2"
"AB_004588_T.1"	-1.09612474834085	0.0286021777841562	"Col_2"
"AB_009580_T.1"	-1.35179024043958	0.0286021777841562	"Col_2"
"AB_010622_T.1"	-1.25943540204835	0.0286021777841562	"Col_2"
"AB_014330_T.1"	-1.64139418775421	0.0286021777841562	"Col_2"
"AB_019417_T.1"	-1.0636789842426	0.0286021777841562	"Col_2"
"AB_019575_T.1"	-1.46274873038143	0.0286021777841562	"Col_2"
"AB_022395_T.1"	-1.02059042648324	0.0286021777841562	"Col_2"
"AB_022585_T.1"	-2.06642814287779	0.0286021777841562	"Col_2"
"AB_024396_T.1"	-1.59259262433245	0.0286021777841562	"Col_2"
"AB_024738_T.1"	-1.41749778391616	0.0286021777841562	"Col_2"
"AB_026612_T.1"	-1.24551586984639	0.0286021777841562	"Col_2"
"AB_026619_T.1"	-1.33261293543228	0.0286021777841562	"Col_2"
"AB_028809_T.1"	-1.67803914902821	0.0286021777841562	"Col_2"
"AB_029211_T.1"	-1.58838075346689	0.0286021777841562	"Col_2"
"AB_044661_T.1"	-1.04867039381098	0.0286021777841562	"Col_2"
"AB_001160_T.1"	-1.521168520406	0.0278184492904068	"Col_2"
"AB_008042_T.1"	-1.39214586352171	0.0278184492904068	"Col_2"
"AB_024461_T.1"	-2.31271722792408	0.0278184492904068	"Col_2"
"AB_027371_T.1"	-1.07603877228753	0.0278184492904068	"Col_2"
"AB_028674_T.1"	-1.38651802989014	0.0272369884041424	"Col_2"
"AB_012240_T.1"	-1.42747385870174	0.0269010987517464	"Col_2"
"AB_020935_T.1"	-1.00972403941172	0.0251644968304911	"Col_2"
"AB_030120_T.1"	-1.2447410133096	0.0251644968304911	"Col_2"
"AB_031281_T.1"	-1.00164612831393	0.0251644968304911	"Col_2"
"AB_033026_T.1"	-1.93089905157538	0.0244359760025348	"Col_2"
"AB_034674_T.1"	-1.25322598429617	0.0235383235446758	"Col_2"
"AB_020330_T.1"	-1.28039245273261	0.0227033972536235	"Col_2"
"AB_030780_T.1"	-1.87614200845388	0.0227033972536235	"Col_2"
"AB_002467_T.1"	-1.32575507096583	0.018567859864331	"Col_2"
"AB_032173_T.1"	-2.54266174023068	0.0182546984197414	"Col_2"
"AB_014542_T.1"	-2.31868803848168	0.0181232107219249	"Col_2"
"AB_022247_T.1"	-1.84453915947062	0.0181232107219249	"Col_2"
"AB_033458_T.1"	-1.09258086283018	0.0181232107219249	"Col_2"
"AB_006786_T.1"	-1.56719248004959	0.0177304842770924	"Col_2"
"AB_019613_T.1"	-1.21070317421981	0.0171352970259041	"Col_2"
"AB_007797_T.1"	-1.09925992492627	0.0168102345060683	"Col_2"
"AB_027908_T.1"	-2.13798769297651	0.0168102345060683	"Col_2"
"AB_036815_T.1"	-1.1185343213115	0.0168102345060683	"Col_2"
"AB_042228_T.1"	-1.67020627254354	0.0168102345060683	"Col_2"
"AB_042964_T.1"	-1.58330079992432	0.0166544843449501	"Col_2"
"AB_035562_T.1"	-2.09684846223333	0.0161696386851699	"Col_2"
"AB_037204_T.1"	-1.20534357451558	0.0161696386851699	"Col_2"
"AB_038487_T.1"	-1.32457554907787	0.0158263879066937	"Col_2"
"AB_033420_T.1"	-1.66879166227222	0.0157832534642235	"Col_2"
"AB_010238_T.1"	-1.446790161939	0.0151003101385773	"Col_2"
"AB_012619_T.1"	-1.03239471642059	0.0151003101385773	"Col_2"
"AB_037908_T.1"	-1.40413725236165	0.0151003101385773	"Col_2"
"AB_044992_T.1"	-1.29201653829111	0.0151003101385773	"Col_2"
"AB_008535_T.1"	-3.3688720681035	0.0148955102204683	"Col_2"
"AB_009011_T.1"	-1.5314408958064	0.0148955102204683	"Col_2"
"AB_009158_T.1"	-1.28451471499403	0.0148955102204683	"Col_2"
"AB_010844_T.1"	-1.27177923927932	0.0148955102204683	"Col_2"
"AB_017019_T.1"	-2.82596522654216	0.0148955102204683	"Col_2"
"AB_018033_T.1"	-1.09630532158033	0.0148955102204683	"Col_2"
"AB_018760_T.1"	-1.25194248058716	0.0148955102204683	"Col_2"
"AB_020381_T.1"	-1.65051595613977	0.0148955102204683	"Col_2"
"AB_020504_T.1"	-1.11244792653295	0.0148955102204683	"Col_2"
"AB_023944_T.1"	-1.31513381856636	0.0148955102204683	"Col_2"
"AB_025795_T.1"	-1.0331595765019	0.0148955102204683	"Col_2"
"AB_026727_T.1"	-1.3337901468343	0.0148955102204683	"Col_2"
"AB_027250_T.1"	-1.32771858881309	0.0148955102204683	"Col_2"
"AB_034969_T.1"	-1.0893286949861	0.0148955102204683	"Col_2"
"AB_035734_T.1"	-1.05926221622363	0.0148955102204683	"Col_2"
"AB_036846_T.1"	-1.31511451127171	0.0148955102204683	"Col_2"
"AB_036899_T.1"	-1.29635723356434	0.0148955102204683	"Col_2"
"AB_037616_T.1"	-1.04543193823327	0.0148955102204683	"Col_2"
"AB_005230_T.1"	-1.6338963848334	0.0146779590185313	"Col_2"
"AB_007575_T.1"	-1.16236782055791	0.0146779590185313	"Col_2"
"AB_029886_T.1"	-1.08225848112818	0.0146779590185313	"Col_2"
"AB_036373_T.1"	-1.41080499497112	0.0146779590185313	"Col_2"
"AB_042912_T.1"	-1.25574427747136	0.0146779590185313	"Col_2"
"AB_001534_T.1"	-1.20220008732494	0.0145356151681571	"Col_2"
"AB_024604_T.1"	-1.18549854201154	0.0145356151681571	"Col_2"
"AB_042536_T.1"	-1.26364897080059	0.0145356151681571	"Col_2"
"AB_001589_T.1"	-1.22104959400209	0.0143374294412856	"Col_2"
"AB_006962_T.1"	-1.11140271610593	0.0143374294412856	"Col_2"
"AB_024914_T.1"	-1.18842809980705	0.0143374294412856	"Col_2"
"AB_044550_T.1"	-1.19020662850187	0.0143374294412856	"Col_2"
"AB_028510_T.1"	-2.26916366078692	0.0136260500672274	"Col_2"
"AB_041069_T.1"	-1.12562487407002	0.0135973954529511	"Col_2"
"AB_000270_T.1"	-1.03451498268525	0.0134988008602653	"Col_2"
"AB_037949_T.1"	-1.9564931961115	0.0116218797386965	"Col_2"
"AB_037785_T.1"	-1.35084403826066	0.0113926620508341	"Col_2"
"AB_031872_T.1"	-1.05609934959816	0.0104343968242463	"Col_2"
"AB_003780_T.1"	-1.21272219568804	0.0096831078382656	"Col_2"
"AB_040571_T.1"	-5.3033062190808	0.0096831078382656	"Col_2"
"AB_019538_T.1"	-1.07598170273213	0.00963965205862939	"Col_2"
"AB_013655_T.1"	-1.09090977973149	0.0093164375772713	"Col_2"
"AB_018731_T.1"	-1.41472034236303	0.0093164375772713	"Col_2"
"AB_027880_T.1"	-1.46314564633255	0.0093164375772713	"Col_2"
"AB_045238_T.1"	-1.62956385456089	0.0093164375772713	"Col_2"
"AB_019700_T.1"	-1.000714900584	0.00923745214376406	"Col_2"
"AB_020045_T.1"	-1.03467760521657	0.00923745214376406	"Col_2"
"AB_022558_T.1"	-2.04448771227132	0.00923745214376406	"Col_2"
"AB_022697_T.1"	-1.13866981969249	0.00923745214376406	"Col_2"
"AB_035176_T.1"	-1.45277081549019	0.00923745214376406	"Col_2"
"AB_036063_T.1"	-1.28998262565423	0.00923745214376406	"Col_2"
"AB_045515_T.1"	-1.12066041227745	0.00923745214376406	"Col_2"
"AB_015635_T.1"	-1.04317896146129	0.00805950990214182	"Col_2"
"AB_028976_T.1"	-1.76633860987453	0.00805950990214182	"Col_2"
"AB_039853_T.1"	-1.19220828249333	0.00805950990214182	"Col_2"
"AB_042200_T.1"	-1.97851813513439	0.00805950990214182	"Col_2"
"AB_006177_T.1"	-1.1188645527588	0.00725687907412389	"Col_2"
"AB_021528_T.1"	-1.41747755811358	0.00725687907412389	"Col_2"
"AB_021558_T.1"	-1.55644306438044	0.00725687907412389	"Col_2"
"AB_024939_T.1"	-1.66387987477895	0.00725687907412389	"Col_2"
"AB_029178_T.1"	-1.36088390600589	0.00725687907412389	"Col_2"
"AB_036638_T.1"	-1.69596410774503	0.00725687907412389	"Col_2"
"AB_034035_T.1"	-1.03793723528452	0.00611853927534758	"Col_2"
"AB_015281_T.1"	-1.40916809935562	0.00579524470247398	"Col_2"
"AB_023637_T.1"	-1.5877475860772	0.00461945734481126	"Col_2"
"AB_041922_T.1"	-1.16417881618858	0.00288091522973605	"Col_2"
"AB_020223_T.1"	-1.61169940618167	0.00203152860110603	"Col_2"
"AB_004249_T.1"	-1.05398068342726	0.00196064928647866	"Col_2"
"AB_002698_T.1"	-1.81453191324221	0.00177749403344481	"Col_2"
