"FoldChange"	"pValue"	"color"
"AB_024857_T.1"	2.60881067009673	0.0481124722141752	"Col_1"
"AB_044422_T.1"	2.97734197738388	0.0459610082259214	"Col_1"
"AB_038554_T.1"	4.32575022901515	0.0459610082259214	"Col_1"
"AB_039161_T.1"	4.52959453848062	0.0459517004336739	"Col_1"
"AB_039505_T.1"	1.90488529824432	0.0430438275267512	"Col_1"
"AB_034171_T.1"	2.90911538362014	0.0398979130991011	"Col_1"
"AB_014151_T.1"	2.50117957285875	0.037845286569526	"Col_1"
"AB_007542_T.1"	4.15295440112327	0.030167532768715	"Col_1"
"AB_040771_T.1"	1.65978354939213	0.0233728617654538	"Col_1"
"AB_025457_T.1"	1.11360020469517	0.0225514814527403	"Col_1"
"AB_007012_T.1"	4.1229957015664	0.0225514814527403	"Col_1"
"AB_028496_T.1"	1.16120810207821	0.0222421560714835	"Col_1"
"AB_013956_T.1"	3.57825675190044	0.0141510764086688	"Col_1"
"AB_039686_T.1"	3.40652916988228	0.0121885978424518	"Col_1"
"AB_036574_T.1"	4.88593946748008	0.0121885978424518	"Col_1"
"AB_017310_T.1"	2.3208530119885	0.00937351781843032	"Col_1"
"AB_031988_T.1"	1.88418417753228	0.00602589043234014	"Col_1"
"AB_039322_T.1"	1.65925491462094	0.00602589043234014	"Col_1"
"AB_035498_T.1"	1.2208910308029	0.00602589043234014	"Col_1"
"AB_011709_T.1"	1.76797497434211	0.00602589043234014	"Col_1"
"AB_004848_T.1"	1.45874405837531	0.00317822647773151	"Col_1"
"AB_022901_T.1"	2.13955684914599	0	"Col_1"
"AB_008465_T.1"	2.56097560728646	0	"Col_1"
"AB_023003_T.1"	3.76807786065616	0	"Col_1"
"AB_015206_T.1"	1.92864661342419	0	"Col_1"
"AB_035078_T.1"	1.74854979251348	0	"Col_1"
"AB_019151_T.1"	1.44453096557296	0	"Col_1"
"AB_031164_T.1"	2.59434676093687	0	"Col_1"
"AB_009310_T.1"	1.98716358045374	0	"Col_1"
"AB_029981_T.1"	1.63544860551151	0	"Col_1"
"AB_018132_T.1"	1.41227242877454	0	"Col_1"
"AB_022396_T.1"	2.07060373538246	0	"Col_1"
"AB_006037_T.1"	4.49029445316263	0	"Col_1"
"AB_018832_T.1"	1.08789963296069	0	"Col_1"
"AB_018129_T.1"	3.06822289588735	0	"Col_1"
"AB_011891_T.1"	1.33080155186264	0	"Col_1"
"AB_017578_T.1"	1.06251358577988	0	"Col_1"
"AB_022817_T.1"	1.6664922595826	0	"Col_1"
