"FoldChange"	"pValue"	"color"
"AB_037675_T.1"	-1.83582991602058	0.0486185238402533	"Col_2"
"AB_002249_T.1"	-1.02933119075883	0.0481289057822091	"Col_2"
"AB_001159_T.1"	-3.10211641274847	0.0481124722141752	"Col_2"
"AB_001980_T.1"	-1.12684370653987	0.0481124722141752	"Col_2"
"AB_027644_T.1"	-2.36265040361432	0.0459578362913983	"Col_2"
"AB_025305_T.1"	-2.8312504105089	0.0459517004336739	"Col_2"
"AB_043838_T.1"	-1.05053816352648	0.030167532768715	"Col_2"
"AB_026529_T.1"	-3.22828405405942	0.0297970428407306	"Col_2"
"AB_029976_T.1"	-2.44113886154805	0.0238185892619556	"Col_2"
"AB_001941_T.1"	-1.24513641697224	0.0233728617654538	"Col_2"
"AB_015775_T.1"	-1.82368673311965	0.0225514814527403	"Col_2"
"AB_036885_T.1"	-1.53365681676866	0.0225514814527403	"Col_2"
"AB_021810_T.1"	-1.40575037624258	0.0225514814527403	"Col_2"
"AB_039307_T.1"	-3.24415816667312	0.0156068164528182	"Col_2"
"AB_010833_T.1"	-1.14608090133722	0.0075198878530494	"Col_2"
"AB_024211_T.1"	-1.70678298803935	0.00602589043234014	"Col_2"
"AB_028271_T.1"	-3.2390266918626	0.00602589043234014	"Col_2"
"AB_017560_T.1"	-1.05876804927354	0.00602589043234014	"Col_2"
"AB_030460_T.1"	-1.00887164387964	0.00317822647773151	"Col_2"
"AB_036398_T.1"	-1.20261162388776	0.00304517647845388	"Col_2"
"AB_031218_T.1"	-1.3494233474148	0.00190720574802053	"Col_2"
"AB_022360_T.1"	-1.9505444564629	0.000569358562356752	"Col_2"
"AB_031641_T.1"	-3.37657765906378	0	"Col_2"
"AB_021440_T.1"	-1.66151174538968	0	"Col_2"
"AB_038039_T.1"	-3.19233434278374	0	"Col_2"
"AB_008078_T.1"	-1.57972325702474	0	"Col_2"
"AB_015482_T.1"	-3.36560808862237	0	"Col_2"
"AB_031325_T.1"	-2.71229560077326	0	"Col_2"
"AB_030191_T.1"	-1.87615242863858	0	"Col_2"
"AB_025837_T.1"	-1.28092280217281	0	"Col_2"
"AB_035542_T.1"	-2.91096850581366	0	"Col_2"
"AB_011532_T.1"	-1.0334502594024	0	"Col_2"
"AB_010602_T.1"	-3.43536088442648	0	"Col_2"
"AB_037487_T.1"	-2.49257624529917	0	"Col_2"
"AB_010128_T.1"	-1.58671763552767	0	"Col_2"
"AB_037064_T.1"	-2.33867913556275	0	"Col_2"
"AB_045344_T.1"	-2.75023579901473	0	"Col_2"
"AB_030137_T.1"	-1.86352419061971	0	"Col_2"
"AB_038461_T.1"	-1.24779760791805	0	"Col_2"
"AB_019768_T.1"	-1.6393440562146	0	"Col_2"
"AB_028384_T.1"	-1.27387441655773	0	"Col_2"
"AB_004908_T.1"	-1.90924001716432	0	"Col_2"
"AB_036881_T.1"	-2.44175882252211	0	"Col_2"
"AB_032502_T.1"	-1.76187462057588	0	"Col_2"
"AB_011099_T.1"	-1.56077302845366	0	"Col_2"
"AB_031829_T.1"	-2.28246270742438	0	"Col_2"
"AB_014865_T.1"	-2.06148480259066	0	"Col_2"
"AB_013007_T.1"	-1.41904019445944	0	"Col_2"
"AB_032623_T.1"	-1.7234601323994	0	"Col_2"
"AB_029559_T.1"	-1.08516821018317	0	"Col_2"
"AB_031123_T.1"	-1.5551535038679	0	"Col_2"
"AB_025054_T.1"	-1.39818386442149	0	"Col_2"
"AB_017901_T.1"	-2.25910557126376	0	"Col_2"
"AB_029946_T.1"	-2.08803883429698	0	"Col_2"
"AB_031976_T.1"	-3.00239853071338	0	"Col_2"
"AB_022836_T.1"	-1.35653783193563	0	"Col_2"
"AB_026620_T.1"	-1.12212969282484	0	"Col_2"
"AB_000214_T.1"	-1.28443826875754	0	"Col_2"
"AB_024366_T.1"	-1.19823374963618	0	"Col_2"
"AB_043522_T.1"	-1.36955028948312	0	"Col_2"
"AB_044792_T.1"	-1.17700037084144	0	"Col_2"
"AB_041085_T.1"	-1.35276274808593	0	"Col_2"
"AB_014128_T.1"	-1.39602256217958	0	"Col_2"
"AB_041495_T.1"	-1.44950385524982	0	"Col_2"
"AB_021959_T.1"	-1.84580080570675	0	"Col_2"
"AB_031538_T.1"	-3.6536193112504	0	"Col_2"
"AB_022982_T.1"	-1.62872435691483	0	"Col_2"
"AB_006612_T.1"	-1.30091112014081	0	"Col_2"
"AB_022645_T.1"	-2.40241439869294	0	"Col_2"
"AB_008426_T.1"	-1.01652224962893	0	"Col_2"
