"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_023350_T.1"	4.740147971761	3.74430499796063e-09	3.16048906791992e-05	8.42662878238684	4.50024570755114	TRUE
"AB_023572_T.1"	12.0733971389496	4.24865444415755e-09	3.16048906791992e-05	8.37174858995034	4.50024570755114	TRUE
"AB_033732_T.1"	11.1717908004222	1.2816281112052e-07	0.000794481266136103	6.89223797534894	3.09991633899737	TRUE
"AB_029697_T.1"	4.68635133354658	3.30676512214668e-07	0.00143249784031881	6.48059665170809	2.84390602411682	TRUE
"AB_029384_T.1"	5.80807133068096	3.4662796587808e-07	0.00143249784031881	6.46013640141272	2.84390602411682	TRUE
"AB_025650_T.1"	8.68736381858304	1.32906111336506e-06	0.00436344596051784	5.87645504871341	2.36017039822235	TRUE
"AB_030668_T.1"	7.60542809442423	1.40779027601802e-06	0.00436344596051784	5.85146203890994	2.36017039822235	TRUE
"AB_000550_T.1"	3.98458887604228	1.54277343537276e-06	0.00441399347348111	5.81169784774892	2.35516831332054	TRUE
"AB_024146_T.1"	3.44068938382628	2.48397407066195e-06	0.00543464303436474	5.60485294192026	2.26482897656332	TRUE
"AB_027701_T.1"	9.37941517113038	2.81316427735993e-06	0.00581293511845141	5.55080490606169	2.23560452442978	TRUE
"AB_036025_T.1"	3.57113726351628	8.20023995331029e-06	0.0137022482851385	5.08617343921703	1.86320816731666	TRUE
"AB_040148_T.1"	3.60327112383668	9.3798770420974e-06	0.0145364644459904	5.02780285461546	1.83754120959185	TRUE
"AB_008258_T.1"	3.48546197949848	1.08498879073622e-05	0.0161420292330573	4.96457474858647	1.79204187052329	TRUE
"AB_031446_T.1"	3.10278334734155	1.57629664937475e-05	0.0212749081056612	4.80236204759333	1.67213230712072	TRUE
"AB_024145_T.1"	2.61024875140158	1.6485530248545e-05	0.0212749081056612	4.78289707943902	1.67213230712072	TRUE
"AB_036607_T.1"	2.288166417249	2.53767033888573e-05	0.0301047903182257	4.59556479646583	1.52136439333492	TRUE
"AB_009910_T.1"	2.59055466882601	2.79296071907357e-05	0.0314792063591583	4.55393517228666	1.50197622542933	TRUE
"AB_013360_T.1"	2.19484882711931	3.60001192901488e-05	0.0382568124822227	4.44369606015028	1.41729121776534	TRUE
"AB_036969_T.1"	3.20677899154789	4.10186882092629e-05	0.0412337591690628	4.38701823262168	1.38474706995346	TRUE
"AB_039768_T.1"	9.05744479752753	4.223797817057e-05	0.0413420884230573	4.37429687859877	1.38360758848036	TRUE
