"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_013716_T.1"	-5.20505847002814	6.59197241150166e-36	2.20699236337076e-31	35.1809846189016	30.6561991695804	TRUE
"AB_040651_T.1"	-1.92549292199582	3.64093931106999e-12	6.09493240673116e-08	11.4387865600353	7.21503110637808	TRUE
"AB_041774_T.1"	-3.16394908921504	3.30804154929014e-09	3.6917743690078e-05	8.48042904430869	4.43276484970713	TRUE
"AB_019246_T.1"	-1.57744477752451	1.1994616604855e-07	0.00066929960655091	6.92101362923487	3.17437943029729	TRUE
"AB_011309_T.1"	-1.13664286507869	5.94115203458278e-07	0.00190848660855831	6.22612933384861	2.71931088305553	TRUE
"AB_008062_T.1"	-4.99451942039968	1.02166739847671e-06	0.00263118650007694	5.99069046478436	2.57984836776998	TRUE
"AB_009199_T.1"	-2.30368252407804	1.64244228513295e-06	0.00318226765131072	5.78450988246144	2.49726329590286	TRUE
"AB_010334_T.1"	-2.66296292639597	1.58923424734434e-06	0.00318226765131072	5.79881208464838	2.49726329590286	TRUE
"AB_038745_T.1"	-1.79304159011195	1.68576756652692e-06	0.00318226765131072	5.7732023060657	2.49726329590286	TRUE
"AB_018965_T.1"	-1.15793860264724	2.68811741270555e-06	0.00473674584091483	5.5705517659097	2.3245199175413	TRUE
"AB_027681_T.1"	-2.85214278645617	5.39513780638432e-06	0.00785344407642378	5.2679974577859	2.10493984448227	TRUE
"AB_040645_T.1"	-2.7609012621816	6.86066083981971e-06	0.00883442018912168	5.16363404970661	2.0538219483562	TRUE
"AB_015960_T.1"	-2.96325057514433	7.33350246968671e-06	0.00909354306241152	5.13468855742411	2.04126687226187	TRUE
"AB_015092_T.1"	-2.31093286369376	8.31498825178685e-06	0.00927952688899413	5.08013836005694	2.03247416545538	TRUE
"AB_026548_T.1"	-1.21972062793084	8.19446885871651e-06	0.00927952688899413	5.08647919086762	2.03247416545538	TRUE
"AB_028496_T.1"	-1.88244340426114	8.85553580265596e-06	0.00956397866686844	5.05278515676672	2.01936140127977	TRUE
"AB_011310_T.1"	-1.36403791898486	1.1748339209715e-05	0.0119192241436745	4.9300235225867	1.92375201314337	TRUE
"AB_026831_T.1"	-2.10393425790951	1.24233022138782e-05	0.0120191640585106	4.90576294984008	1.92012573677594	TRUE
"AB_026979_T.1"	-3.40214606378698	1.46164123819047e-05	0.0132258780147613	4.83515921246318	1.87857548720896	TRUE
"AB_022103_T.1"	-2.20047703887047	1.65733762155907e-05	0.0146020167288941	4.7805890110471	1.83558715834269	TRUE
"AB_029098_T.1"	-9.70266998360643	1.83238784788867e-05	0.0157303449095673	4.73698259705989	1.80326175476517	TRUE
"AB_037280_T.1"	-6.09081766820099	4.00649420190088e-05	0.0327164453364979	4.3972354814227	1.48523388882122	TRUE
"AB_028074_T.1"	-3.06913469256066	4.52351790345281e-05	0.0360588998589524	4.34452368646691	1.44298752754359	TRUE
"AB_026341_T.1"	-1.42562441780877	5.22350515604228e-05	0.0397461255964308	4.2820379722727	1.40070519943766	TRUE
"AB_022144_T.1"	-5.81488022705438	6.65236639973924e-05	0.0473874951198446	4.17702383867641	1.3243362472909	TRUE
"AB_003796_T.1"	-1.11761751775305	6.89936141400334e-05	0.0474478872207235	4.1611911045104	1.32378312125165	TRUE
"AB_043178_T.1"	-6.38059438063899	6.94428456934125e-05	0.0474478872207235	4.15837249054436	1.32378312125165	TRUE
