"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_013716_T.1"	-5.18086530748839	6.35305608477309e-19	2.3629556801705e-14	18.1970173106965	13.6265444239613	TRUE
"AB_029098_T.1"	-9.52942317244985	9.4415484885703e-10	1.75584477241942e-05	9.024956772133	4.75551388106177	TRUE
"AB_040651_T.1"	-1.90717260325317	2.23709760362704e-09	2.7735536089768e-05	8.65031506740452	4.55696343538897	TRUE
"AB_010334_T.1"	-2.64956937156816	1.8453556987361e-07	0.000980516569411295	6.7339199096625	3.00854506294154	TRUE
"AB_015092_T.1"	-2.29607663666955	1.3080391843533e-06	0.00436344596051784	5.88337924584851	2.36017039822235	TRUE
"AB_037280_T.1"	-5.80886913806758	1.92169715737151e-06	0.00487600916153782	5.71631505227898	2.31193548705661	TRUE
"AB_041774_T.1"	-3.13275300397856	1.96644989576457e-06	0.00487600916153782	5.70631711473615	2.31193548705661	TRUE
"AB_008062_T.1"	-4.91659640539924	2.44772098957859e-06	0.00543464303436474	5.6112380879939	2.26482897656332	TRUE
"AB_028496_T.1"	-1.86173113857442	3.9497024649691e-06	0.00773185439379267	5.40343561897836	2.11171633319597	TRUE
"AB_030413_T.1"	-7.25887730255748	5.69152541082788e-06	0.0105845298065166	5.24477132082453	1.97532842975329	TRUE
"AB_022144_T.1"	-5.50434389767448	8.2710624642498e-06	0.0137022482851385	5.08243869930797	1.86320816731666	TRUE
"AB_009199_T.1"	-2.28845647722713	8.4731868193307e-06	0.0137022482851385	5.07195321803428	1.86320816731666	TRUE
"AB_015960_T.1"	-2.94653698828809	1.60353586921307e-05	0.0212749081056612	4.79492132096967	1.67213230712072	TRUE
"AB_025627_T.1"	-10.0771043669432	1.65879533006446e-05	0.0212749081056612	4.78020719595698	1.67213230712072	TRUE
"AB_027681_T.1"	-2.83715707992237	1.75786514518954e-05	0.0217940120700599	4.75501444493145	1.6616628129159	TRUE
"AB_026979_T.1"	-3.38574164922953	2.59007713658984e-05	0.0301047903182257	4.58668730175023	1.52136439333492	TRUE
"AB_040645_T.1"	-2.74193785198873	3.30979244304228e-05	0.0362071823901513	4.48019923996075	1.44120527026779	TRUE
"AB_043178_T.1"	-5.95663519205082	3.79269174886446e-05	0.0391848269186847	4.42105245315992	1.40688206719199	TRUE
"AB_026831_T.1"	-2.08338200692057	5.00000849330047e-05	0.0476846963845687	4.3010292579459	1.32162097823718	TRUE
