"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_001118_T.1"	"AB_001118_T.1"	1.10429760264477	2.27601819921546e-05	0.0442993468104169	4.64282426961122	1.35360267735984	TRUE	1.09972712416091	0.0083367968146382	0.930506540097587	2.07900078304858	0.0312805700686129	FALSE	"Col_2"
"AB_002103_T.1"	"AB_002103_T.1"	-2.34532658854006	8.10194518686124e-05	0.0931986628301954	4.09141069933118	1.03059031865067	TRUE	-2.33502010326889	0.000177619341987124	0.166936909232124	3.75050974316951	0.777447631543171	FALSE	"Col_2"
"AB_011671_T.1"	"AB_011671_T.1"	1.41263441634143	6.98290046958857e-06	0.0221695451741988	5.15596414810885	1.65424321668984	TRUE	1.41664138309412	0.000720598527614277	0.274446902385585	3.14230662959847	0.561541666629276	FALSE	"Col_2"
"AB_014823_T.1"	"AB_014823_T.1"	-1.03316850509878	4.88402142018737e-05	0.0689153511356661	4.31122244000791	1.16168402670026	TRUE	-1.02841185958545	0.000152687485832202	0.165734631496564	3.81619655598046	0.780586733002752	FALSE	"Col_2"
"AB_021803_T.1"	"AB_021803_T.1"	-2.23139086748675	3.88954232216413e-05	0.0617432430790871	4.41010149858496	1.20941056282993	TRUE	-2.20197968228497	0.000451149533518663	0.228944237286052	3.34567948734957	0.640270283546486	FALSE	"Col_2"
"AB_023831_T.1"	"AB_023831_T.1"	1.30111997764735	6.97648381369757e-05	0.0857387355916936	4.15636340904837	1.066822925416	TRUE	1.30447445396689	0.000795269401186365	0.27936466399378	3.09948572715565	0.553828527366513	FALSE	"Col_2"
"AB_025313_T.1"	"AB_025313_T.1"	-1.27759651267381	6.17930528021076e-07	0.00392365287609116	6.20906034852455	2.40630942144156	TRUE	-1.27302634130459	0.000453480224943582	0.228944237286052	3.34344164660859	0.640270283546486	FALSE	"Col_2"
"AB_028111_T.1"	"AB_028111_T.1"	1.50039558246008	3.79167655765943e-05	0.0617432430790871	4.42116871648555	1.20941056282993	TRUE	1.49849849162914	0.00126522566231006	0.368109736442426	2.89783200796195	0.434022695383279	FALSE	"Col_2"
"AB_030948_T.1"	"AB_030948_T.1"	-1.91312173687541	3.57088171586829e-05	0.0617432430790871	4.44722453541251	1.20941056282993	TRUE	-1.90380515086301	0.000208233383491954	0.166936909232124	3.6814496441621	0.777447631543171	FALSE	"Col_2"
"AB_031478_T.1"	"AB_031478_T.1"	3.62467517696731	4.3753947390629e-05	0.0654370365981133	4.35898275972432	1.1841763764857	TRUE	3.58532310423349	7.44988609622717e-05	0.10176168523679	4.12785036727294	0.992415709449412	FALSE	"Col_2"
