"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_000074_T.1"	"AB_000074_T.1"	-1.04176116535234	6.4720904953551e-06	0.0141665677341105	5.18895541887437	1.8487353575644	TRUE	-1.03836420750854	0.00210302721865557	1	2.67715510637434	0	FALSE	"Col_2"
"AB_000936_T.1"	"AB_000936_T.1"	2.14317261157323	1.7739462961012e-05	0.0307513590429143	4.75105953200144	1.51213568600903	TRUE	2.14325417515248	0.000290510168163606	0.438097687804008	3.53683866224073	0.358429038939173	FALSE	"Col_2"
"AB_001427_T.1"	"AB_001427_T.1"	-1.45330324294492	2.06668015130538e-06	0.00651380007688705	5.68472673153508	2.18616557503691	TRUE	-1.44876168416221	6.61204090537604e-05	0.202555074525523	4.17966446833045	0.693456872150466	FALSE	"Col_2"
"AB_003677_T.1"	"AB_003677_T.1"	-1.51278589428469	2.08572769389683e-05	0.0325811157971381	4.68074239234168	1.4870340466008	TRUE	-1.5089661124248	0.00204978591072733	1	2.6882914963321	0	FALSE	"Col_2"
"AB_007825_T.1"	"AB_007825_T.1"	1.76183454895918	1.21577751129554e-05	0.0234172257314536	4.91514589418943	1.63046455763634	TRUE	1.76414903071897	0.000375696720503544	0.482717669377742	3.42516259592259	0.31630680399298	FALSE	"Col_2"
"AB_010587_T.1"	"AB_010587_T.1"	2.02124842604718	3.09559780306883e-06	0.00894369798603302	5.50925547022898	2.0484828746202	TRUE	2.02382668193883	0.000379609130538759	0.482717669377742	3.42066335026237	0.31630680399298	FALSE	"Col_2"
"AB_012029_T.1"	"AB_012029_T.1"	1.8708122135214	1.38632819306754e-05	0.0252968412913956	4.85813394464077	1.5969337039372	TRUE	1.87525997356187	0.000221028847198622	0.415486182984019	3.65555104142078	0.381443414126734	FALSE	"Col_2"
"AB_014152_T.1"	"AB_014152_T.1"	3.29186927638549	1.46294622577307e-06	0.00507203456475523	5.83477163715509	2.2948177954987	TRUE	3.29366366444143	1.3915965968178e-05	0.085950969804882	4.85648664200052	1.06574921870313	FALSE	"Col_2"
"AB_014844_T.1"	"AB_014844_T.1"	3.26875795240468	2.04597809139488e-05	0.0325811157971381	4.68909902108195	1.4870340466008	TRUE	3.23973644313635	0.000155371745702078	0.335874871271466	3.80862795465557	0.473822487007909	FALSE	"Col_2"
"AB_016050_T.1"	"AB_016050_T.1"	1.61248500174796	2.96303379621886e-08	0.000342427939049693	7.52826339495004	3.4654308080133	TRUE	1.61414702326262	0.000352926213560473	0.482717669377742	3.45231608326127	0.31630680399298	FALSE	"Col_2"
"AB_016551_T.1"	"AB_016551_T.1"	1.35107120513122	1.08617897322811e-05	0.0221516617657756	4.96409860874224	1.65459368846412	TRUE	1.35318150330756	0.00496445465738398	1	2.30412845155868	0	FALSE	"Col_2"
"AB_020300_T.1"	"AB_020300_T.1"	1.76289055552903	2.1614238919359e-05	0.0325811157971381	4.6652600522396	1.4870340466008	TRUE	1.76765867063586	0.000588253125354401	0.635828096867438	3.23043575676467	0.196660284780987	FALSE	"Col_2"
"AB_021908_T.1"	"AB_021908_T.1"	-1.39943031749485	6.53778724389294e-06	0.0141665677341105	5.18456921656488	1.8487353575644	TRUE	-1.39594722437083	3.74815944632887e-05	0.154282385343795	4.42618194254736	0.811683655172607	FALSE	"Col_2"
"AB_022196_T.1"	"AB_022196_T.1"	1.39407011939853	4.4018374308257e-06	0.0109008359804805	5.35636600090104	1.96254019492288	TRUE	1.39879651431594	0.000443781049384743	0.517085753377202	3.35283124722198	0.286437427640618	FALSE	"Col_2"
"AB_024237_T.1"	"AB_024237_T.1"	1.61186764297572	3.48776995080197e-06	0.00930161416879263	5.45745216834731	2.03144167899775	TRUE	1.61168729520843	0.00198657836829598	1	2.70189429783884	0	FALSE	"Col_2"
"AB_025706_T.1"	"AB_025706_T.1"	2.49168157567429	4.10883261568873e-07	0.00158281363095476	6.38628155052772	2.80057021831064	TRUE	2.49214397731473	4.81923929156469e-05	0.173633175642333	4.31702150897042	0.760367291706407	FALSE	"Col_2"
"AB_045446_T.1"	"AB_045446_T.1"	-1.24972292628598	8.00361498387814e-08	0.00055497066298211	7.09671381139002	3.25572997406964	TRUE	-1.24674046198288	0.000295580932397907	0.438097687804008	3.5293235852348	0.358429038939173	FALSE	"Col_2"
