"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_000550_T.1"	"AB_000550_T.1"	-3.40316536815446	8.61197314822225e-07	0.00261960565035924	6.06489733295876	2.58176408149061	TRUE	3.40528810165376	6.6321062137317e-06	0.0139401757485047	5.1783485271399	1.85573175090626	TRUE	"Col_1"
"AB_008062_T.1"	"AB_008062_T.1"	4.97390619895812	5.44093148861621e-06	0.00910267838045492	5.26432674262989	2.0408308016675	TRUE	-4.89947312698529	9.38702684589284e-06	0.017994104660615	5.0274719400966	1.74486975782619	TRUE	"Col_1"
"AB_008258_T.1"	"AB_008258_T.1"	-3.83814066139127	1.00938744771939e-07	0.000562901733344849	6.99594210025629	3.24956741401355	TRUE	3.81927260826337	9.31715490996577e-07	0.00266492131551736	6.03071668373356	2.57431560942957	TRUE	"Col_1"
"AB_009199_T.1"	"AB_009199_T.1"	2.27492647568793	2.25251554609161e-06	0.00471057313576408	5.64733220298663	2.32692624901618	TRUE	-2.26057417933776	1.09587745156971e-05	0.0180422261685467	4.96023800888336	1.74370987737793	TRUE	"Col_1"
"AB_010334_T.1"	"AB_010334_T.1"	2.59888403089689	2.07388816406114e-06	0.00462615319796572	5.6832146669637	2.334779989393	TRUE	-2.58583238202579	2.17466645298058e-07	0.00123418891177635	6.66260734502587	2.9086183597009	TRUE	"Col_1"
"AB_013360_T.1"	"AB_013360_T.1"	-2.24342596332786	6.59897450225771e-05	0.0480003667055528	4.18052354970276	1.31875544475796	TRUE	2.2562068323924	2.30012386582163e-05	0.0267267205321393	4.63824877581095	1.57305432752003	TRUE	"Col_1"
"AB_013716_T.1"	"AB_013716_T.1"	4.90698329805543	6.01029645989438e-30	2.01104519548066e-25	29.2211041057475	24.6965781691212	TRUE	-4.88626005196806	1.86205517181158e-16	6.923679745347e-12	15.7300074552245	11.1596630286137	TRUE	"Col_1"
"AB_015092_T.1"	"AB_015092_T.1"	2.30128524308251	9.19362969139068e-06	0.0118314942105358	5.03651299310523	1.92696040444967	TRUE	-2.28700630482929	1.26591365373894e-06	0.00336217624192677	5.89759591594867	2.47337952501608	TRUE	"Col_1"
"AB_015960_T.1"	"AB_015960_T.1"	2.94438866299225	1.01246339126592e-05	0.0120989375256277	4.99462067108479	1.91725276580063	TRUE	-2.92759264288757	2.06700983334729e-05	0.0248180419096544	4.68465745730677	1.60523248639	TRUE	"Col_1"
"AB_016386_T.1"	"AB_016386_T.1"	-3.01164894693809	4.91795952948026e-05	0.0391797442515261	4.30821504944759	1.40693840321912	TRUE	3.02822990781096	5.36933341764029e-05	0.0461854639415681	4.27007962696516	1.33549468945043	TRUE	"Col_1"
"AB_021957_T.1"	"AB_021957_T.1"	-2.57952574791868	1.15521313467983e-08	9.6633578715968e-05	7.93733788185326	4.01487193655485	TRUE	2.58553833072253	2.06911572277462e-05	0.0248180419096544	4.68421521916655	1.60523248639	TRUE	"Col_1"
"AB_021959_T.1"	"AB_021959_T.1"	-3.02547239017175	1.25158157630007e-07	0.000584776768481647	6.902540838439	3.23300988899246	TRUE	3.02199613504333	1.09814270251757e-05	0.0180422261685467	4.95934122009634	1.74370987737793	TRUE	"Col_1"
"AB_023350_T.1"	"AB_023350_T.1"	-4.75329377353257	4.48380185546126e-05	0.0365921975813985	4.34835358764289	1.43661150773625	TRUE	4.76083759229906	1.5603638177331e-08	0.00011603801566954	7.80677412881721	3.9353997065424	TRUE	"Col_1"
"AB_023572_T.1"	"AB_023572_T.1"	-12.061376201342	2.78863231108676e-07	0.00103675152365514	6.55460874489246	2.98432531770541	TRUE	12.0183175204155	3.21772516055939e-09	2.99111686612699e-05	8.49245105357133	4.52416661828846	TRUE	"Col_1"
"AB_024145_T.1"	"AB_024145_T.1"	-2.65043809066995	1.00108817956491e-06	0.00277291891406817	5.99952766656485	2.55706282991281	TRUE	2.66100788471026	1.11602399450441e-05	0.0180422261685467	4.95232646797117	1.74370987737793	TRUE	"Col_1"
"AB_024146_T.1"	"AB_024146_T.1"	-3.46868157111208	3.24449370603088e-06	0.00603115330021074	5.48885306398903	2.21959963246596	TRUE	3.47934781101457	1.87088190169055e-06	0.00434781260940999	5.72795362621613	2.36172918226122	TRUE	"Col_1"
"AB_025650_T.1"	"AB_025650_T.1"	-8.67779199360806	1.72339213136464e-05	0.0160671828030999	4.7636158942805	1.79406026513614	TRUE	8.66390511027182	2.32346028626911e-07	0.00123418891177635	6.63386474629748	2.9086183597009	TRUE	"Col_1"
"AB_026831_T.1"	"AB_026831_T.1"	2.23844521592599	8.45825582700854e-06	0.0113205295988682	5.07271918339131	1.94613325543697	TRUE	-2.21760578164828	3.65759473935122e-05	0.0377778736648045	4.43680441592184	1.42276249007829	TRUE	"Col_1"
"AB_026979_T.1"	"AB_026979_T.1"	3.36775689999015	1.72868673314882e-05	0.0160671828030999	4.76228370099522	1.79406026513614	TRUE	-3.3533094111579	2.76887043965537e-05	0.031198457441729	4.55769736518586	1.50586687845292	TRUE	"Col_1"
"AB_027681_T.1"	"AB_027681_T.1"	2.90861844943585	3.8483832285153e-06	0.00677720541190115	5.41472168670118	2.16894935102764	TRUE	-2.89411658097027	1.25725124296851e-05	0.018749512965067	4.90057792634605	1.72701000896725	TRUE	"Col_1"
"AB_028496_T.1"	"AB_028496_T.1"	1.82832377021146	1.34627272186277e-05	0.0145310597656543	4.87086695378024	1.83770271098814	TRUE	-1.80801367379177	6.74833024428056e-06	0.0139401757485047	5.17080367241378	1.85573175090626	TRUE	"Col_1"
"AB_029098_T.1"	"AB_029098_T.1"	9.67416977746007	1.90547182055697e-05	0.0172316451664422	4.71999746949329	1.76367325693391	TRUE	-9.50229449040025	9.78591073061878e-10	1.65668524014262e-05	9.0093987502945	4.78075999698458	TRUE	"Col_1"
"AB_029384_T.1"	"AB_029384_T.1"	-5.93871145776909	6.36789720840049e-06	0.00968499275423092	5.19600395566372	2.01390069985955	TRUE	5.77144721797647	3.66329794726394e-07	0.00136212407573115	6.43612775739596	2.86578333078513	TRUE	"Col_1"
"AB_029697_T.1"	"AB_029697_T.1"	-4.67583118971164	9.97970584009661e-08	0.000562901733344849	7.00088225970518	3.24956741401355	TRUE	4.68387178512028	2.93284384464733e-07	0.00136212407573115	6.53271105983342	2.86578333078513	TRUE	"Col_1"
"AB_031446_T.1"	"AB_031446_T.1"	-2.98838483584949	3.47596869460421e-05	0.0293671866765994	4.45892414356453	1.53213765611086	TRUE	3.00078488890407	3.25808746945689e-05	0.0349909230748797	4.48703726042268	1.45604460049969	TRUE	"Col_1"
"AB_033732_T.1"	"AB_033732_T.1"	-11.2217287237109	1.54350685676463e-05	0.0160671828030999	4.81149143689881	1.79406026513614	TRUE	11.2405562264383	3.34272128788175e-07	0.00136212407573115	6.47589983285436	2.86578333078513	TRUE	"Col_1"
"AB_036025_T.1"	"AB_036025_T.1"	-3.65240932454052	1.2252246120689e-05	0.0136653385066085	4.91178428775646	1.86437960584975	TRUE	3.65692767860952	1.31104896617202e-05	0.018749512965067	4.88238108760726	1.72701000896725	TRUE	"Col_1"
"AB_036607_T.1"	"AB_036607_T.1"	-2.31246880571924	7.07701482843761e-06	0.0102955180938923	5.1501498944185	1.98735179380971	TRUE	2.33166825949395	1.57907007848347e-05	0.0217461343437966	4.80159859575274	1.6626179333009	TRUE	"Col_1"
"AB_036969_T.1"	"AB_036969_T.1"	-3.19659530437601	1.71526286151557e-05	0.0160671828030999	4.76566931552914	1.79406026513614	TRUE	3.20944983691703	3.29366190899279e-05	0.0349909230748797	4.48232098276025	1.45604460049969	TRUE	"Col_1"
"AB_040148_T.1"	"AB_040148_T.1"	-3.6217655184978	6.17764160948009e-06	0.00968499275423092	5.20917729052145	2.01390069985955	TRUE	3.60846053549152	1.90083892230115e-05	0.0243720322923875	4.72105468382877	1.61310825511689	TRUE	"Col_1"
"AB_040651_T.1"	"AB_040651_T.1"	1.92926124745692	2.46789225503545e-12	4.12878374267431e-08	11.6076738049569	7.38417786399447	TRUE	-1.91140394598708	1.3366473174375e-09	1.65668524014262e-05	8.87398316887575	4.78075999698458	TRUE	"Col_1"
"AB_041774_T.1"	"AB_041774_T.1"	3.30667588127624	4.20227119925906e-10	4.68693314424027e-06	9.37651592324347	5.32911124133676	TRUE	-3.27385848721747	7.15003665209819e-07	0.00221549844029139	6.14569173193833	2.65452855137513	TRUE	"Col_1"
