"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_000071_T.1"	"AB_000071_T.1"	-6.20633541241776	0.000149318080294575	0.0461961024196711	3.82588760220965	1.33539466446626	TRUE	6.13376893159912	6.19676484559491e-07	0.00264329201253696	6.20783498411468	2.57785485638092	TRUE	"Col_1"
"AB_000596_T.1"	"AB_000596_T.1"	2.88397630882302	2.88812042077565e-09	1.83401422960095e-05	8.53938470272703	4.7365972990841	TRUE	-2.85864528457805	1.21031916932397e-05	0.0234669884030378	4.91710008819766	1.6295426412861	TRUE	"Col_1"
"AB_000610_T.1"	"AB_000610_T.1"	3.05444589742072	5.21203661094845e-16	8.28219557497607e-12	15.2829925423307	11.0818545183241	TRUE	-3.02719090141973	2.97677293790988e-09	6.3488613219742e-05	8.5262542911758	4.19730415910601	TRUE	"Col_1"
"AB_000811_T.1"	"AB_000811_T.1"	-1.94987573402278	1.95811869324199e-05	0.0119561974286782	4.70816098655857	1.92240692221442	TRUE	1.97204813485285	1.39800186102745e-05	0.0248471530766613	4.85449225045485	1.60472336443269	TRUE	"Col_1"
"AB_001483_T.1"	"AB_001483_T.1"	-2.02097963611451	3.88517905531176e-10	3.0839580046301e-06	9.4105889611766	5.51089154452562	TRUE	2.04519228163188	1.30462793336789e-08	0.000185500697085802	7.88451332704175	3.73165445402765	TRUE	"Col_1"
"AB_002147_T.1"	"AB_002147_T.1"	2.9263217742739	5.74234288091979e-07	0.000792717951356889	6.24091087891623	3.10088130695487	TRUE	-2.89565326355269	1.51868023030392e-05	0.0259123295615376	4.81853366052429	1.58649354146257	TRUE	"Col_1"
"AB_008960_T.1"	"AB_008960_T.1"	-5.1698687908342	3.8676847988832e-09	2.04671433415567e-05	8.41254892644104	4.68894276884574	TRUE	5.1529650972756	3.24959142934037e-08	0.000346536430024857	7.48817123937104	3.46025110296524	TRUE	"Col_1"
"AB_010244_T.1"	"AB_010244_T.1"	7.27405726994532	1.06542955579862e-07	0.000241631813044015	6.97247525973609	3.61684588743538	TRUE	-7.00433791191174	1.0944164917706e-07	0.000666906141042382	6.96081737118773	3.17593528346823	TRUE	"Col_1"
"AB_013119_T.1"	"AB_013119_T.1"	1.42959543915287	2.22626749815118e-06	0.00243745583909648	5.6524226540214	2.61306324394141	TRUE	-1.40409088215787	2.44613205902706e-05	0.0386452626332809	4.61152010046467	1.41290373688989	TRUE	"Col_1"
"AB_013152_T.1"	"AB_013152_T.1"	1.83213071742695	6.166986947469e-09	2.4476000321136e-05	8.20992697076426	4.61125954977725	TRUE	-1.81151927130079	4.3721242343897e-06	0.0116560832088829	5.35930750602166	1.93344736094382	TRUE	"Col_1"
"AB_013716_T.1"	"AB_013716_T.1"	3.54954478678285	1.25352896312188e-07	0.000265338654053886	6.90186562709971	3.57619947817644	TRUE	-3.50667959517231	4.06034002284041e-06	0.0115465242676187	5.39143759601394	1.93754872733585	TRUE	"Col_1"
"AB_015079_T.1"	"AB_015079_T.1"	1.7309619526906	3.0075277768292e-06	0.00289369740733648	5.52179035292646	2.5385468848254	TRUE	-1.71527140769391	4.95213381802403e-06	0.0124257776553902	5.30520762819549	1.90567642184	TRUE	"Col_1"
"AB_018867_T.1"	"AB_018867_T.1"	-1.43101318439938	4.78700372881247e-07	0.00075482097873993	6.31993623422642	3.12215603799256	TRUE	1.44887159155411	1.62023250853504e-05	0.0265817838015657	4.79042265834123	1.57541587857828	TRUE	"Col_1"
"AB_020437_T.1"	"AB_020437_T.1"	1.73007908341217	4.59605947620286e-07	0.00075482097873993	6.33761435987505	3.12215603799256	TRUE	-1.71020143024813	1.01702917111835e-05	0.0216911981616121	4.99266659017063	1.66371645810085	TRUE	"Col_1"
"AB_021997_T.1"	"AB_021997_T.1"	2.99937480321952	3.59017032842766e-07	0.000633286100543926	6.44488494670261	3.19840004382697	TRUE	-2.96525905585063	5.47821171136898e-07	0.00259642887511283	6.26136118798154	2.5856235696871	TRUE	"Col_1"
"AB_022256_T.1"	"AB_022256_T.1"	4.63528485337793	9.55848404654611e-07	0.00116727471908417	6.01961098036251	2.93282692035438	TRUE	-4.56106444649754	3.80787379275028e-06	0.0115465242676187	5.41931745420049	1.93754872733585	TRUE	"Col_1"
"AB_022453_T.1"	"AB_022453_T.1"	6.39895316682696	2.28949329645245e-05	0.0137157927652192	4.64026062373182	1.86277908535366	TRUE	-6.36205697809558	9.40314605507531e-08	0.000666906141042382	7.02672681812729	3.17593528346823	TRUE	"Col_1"
"AB_025629_T.1"	"AB_025629_T.1"	5.38802778414367	4.64946941246457e-06	0.00408084845475868	5.33259660504262	2.3892495327651	TRUE	-5.2908500323625	1.3621855759899e-05	0.0248471530766613	4.86576372271819	1.60472336443269	TRUE	"Col_1"
"AB_028089_T.1"	"AB_028089_T.1"	-1.88892792928912	3.89087598816894e-08	0.000123539203500352	7.40995261101384	3.90819520303489	TRUE	1.91186493956097	2.31287727437572e-06	0.00822150775131422	5.63584741110118	2.08504852941504	TRUE	"Col_1"
"AB_028624_T.1"	"AB_028624_T.1"	1.79834849731829	9.37796994542234e-08	0.000229046095182388	7.02789116342465	3.64007710775254	TRUE	-1.7814491231915	1.64962119562173e-06	0.00639693106549461	5.78261577186995	2.19402832929441	TRUE	"Col_1"
"AB_029470_T.1"	"AB_029470_T.1"	-3.45914420390132	8.74547975613387e-06	0.00645762157527922	5.05821636117369	2.18992740877433	TRUE	3.46688230160934	9.0836476997369e-06	0.0203932671726304	5.04173971780625	1.69051319102531	TRUE	"Col_1"
"AB_031334_T.1"	"AB_031334_T.1"	1.736819465107	2.56855183973575e-07	0.000479729938020293	6.59031166471325	3.31900317811258	TRUE	-1.71510611669927	6.48490936932049e-06	0.0153677941143186	5.18809608907551	1.81338846644505	TRUE	"Col_1"
"AB_039330_T.1"	"AB_039330_T.1"	1.60199097037016	1.47069901842068e-05	0.00972836761122394	4.83247619743811	2.01196002683475	TRUE	-1.57820527451028	2.774532424485e-05	0.0408105017582179	4.5568101954515	1.38922806561669	TRUE	"Col_1"
"AB_040533_T.1"	"AB_040533_T.1"	6.07014261594713	6.85019889330501e-05	0.0272955496427693	4.16429681872497	1.56390815600472	TRUE	-5.75257671484647	1.18682644683617e-05	0.0234669884030378	4.9256127845771	1.6295426412861	TRUE	"Col_1"
"AB_043005_T.1"	"AB_043005_T.1"	3.54974438644142	5.21696675693747e-16	8.28219557497607e-12	15.2825819306391	11.0818545183241	TRUE	-3.5308311668002	2.77403668741277e-12	1.18329308938279e-07	11.5568877995585	6.92690767182473	TRUE	"Col_1"
