"rownames"	"log2FoldChange_D2"	"pvalue_D2"	"padj_D2"	"sig_D2"	"sigadj_D2"	"TDE_D2"	"logFC_ER"	"PValue_ER"	"FDR_ER"	"sig_ER"	"sigadj_ER"	"TDE_ER"	"color"
"AB_000214_T.1"	"AB_000214_T.1"	1.96262992476024	5.26161748337688e-07	0.000759370985066815	6.27888072806657	3.11954600090982	TRUE	-1.93879953276532	0.000222451188416861	0.163399649637079	3.65276526974733	0.786748879020533	FALSE	"Col_2"
"AB_001045_T.1"	"AB_001045_T.1"	-1.63896579196714	1.57909462246285e-06	0.0018569567910303	5.80159184543044	2.73119820161048	TRUE	1.66075137442569	0.000158786525442638	0.135954946613748	3.79918635439127	0.86660498632604	FALSE	"Col_2"
"AB_001073_T.1"	"AB_001073_T.1"	1.39134817652874	0.000149859801241729	0.0461961024196711	3.82431484774004	1.33539466446626	TRUE	-1.37582358620778	0.00031922541362326	0.179701878462983	3.49590254164146	0.745447383092228	FALSE	"Col_2"
"AB_001259_T.1"	"AB_001259_T.1"	1.50255929460628	2.45745585263277e-05	0.0144493853290635	4.60951427537993	1.84015062722396	TRUE	-1.48262916241321	0.00660837116976281	0.80040897178858	2.17990557215668	0.0966880519992999	FALSE	"Col_2"
"AB_002059_T.1"	"AB_002059_T.1"	2.08148929488957	1.1395406447342e-05	0.00777725674217857	4.94327017994479	2.10917356391347	TRUE	-2.04354697406132	0.00167993055951667	0.442989764600429	2.77470866960867	0.353606308153695	FALSE	"Col_2"
"AB_002175_T.1"	"AB_002175_T.1"	1.35665259600899	4.70790072941425e-05	0.0229970086245588	4.32717270324622	1.63832865191013	TRUE	-1.33839069846182	0.00986845502442479	0.941719949713342	2.00575083384375	0.0260782292419196	FALSE	"Col_2"
"AB_002228_T.1"	"AB_002228_T.1"	1.41298404084459	0.000115554292152951	0.0403182893422895	3.93721391843479	1.39449790277693	TRUE	-1.39036963874737	0.000371691405783495	0.193352056159765	3.42981748050759	0.713651205157548	FALSE	"Col_2"
"AB_002327_T.1"	"AB_002327_T.1"	1.55814994089904	5.53383389765803e-09	2.4476000321136e-05	8.25697388068715	4.61125954977725	TRUE	-1.53745734686151	0.00109423481164231	0.370820824065824	2.96088947283065	0.4308358853071	FALSE	"Col_2"
"AB_002607_T.1"	"AB_002607_T.1"	2.00002998783765	1.8865417751504e-10	1.99665293009335e-06	9.72433357343864	5.69969742017936	TRUE	-1.97482579231698	0.000111675815542536	0.110782409018196	3.95204086729284	0.955529195138659	FALSE	"Col_2"
"AB_003275_T.1"	"AB_003275_T.1"	1.41489582176876	1.91908192954346e-05	0.0119476020284185	4.71690648394661	1.92271925206559	TRUE	-1.39853777732701	0.000283955752713705	0.175542269387765	3.54674932843673	0.755618291440219	FALSE	"Col_2"
"AB_004287_T.1"	"AB_004287_T.1"	1.28000565725469	6.0375250386138e-05	0.0252233496711877	4.21914105514573	1.59819723944757	TRUE	-1.26163765030498	0.0101844869270876	0.951766412751027	1.99206084495025	0.0214696252509271	FALSE	"Col_2"
"AB_004808_T.1"	"AB_004808_T.1"	1.41269207244161	0.000102114772207092	0.0372671969235331	3.99091142712012	1.42867327175979	TRUE	-1.39083990486111	0.0070798903340771	0.826568898092804	2.14997346938283	0.0827209402602081	FALSE	"Col_2"
"AB_005841_T.1"	"AB_005841_T.1"	-1.37107355844117	6.8774021965341e-05	0.0272955496427693	4.16257557699172	1.56390815600472	TRUE	1.38899267181564	0.00642787905073638	0.795130056468895	2.1919323036716	0.0995618295986446	FALSE	"Col_2"
"AB_007113_T.1"	"AB_007113_T.1"	-2.04073759497558	0.000142299702331462	0.045637958067942	3.84679600839034	1.34067379500894	TRUE	2.05378690930031	0.00148764605365903	0.423845313721009	2.82750038547548	0.372792614291166	FALSE	"Col_2"
"AB_009458_T.1"	"AB_009458_T.1"	1.75856945762432	6.47814134602566e-06	0.00514218664694152	5.18854958038739	2.2888521637364	TRUE	-1.73394512394557	0.00147269330346582	0.423845313721009	2.8318876879713	0.372792614291166	FALSE	"Col_2"
"AB_009859_T.1"	"AB_009859_T.1"	1.34015853350551	1.01412630767244e-05	0.00731807372611536	4.9939079510096	2.13560321951684	TRUE	-1.32271429007958	9.97774442049442e-05	0.106402666500152	4.00096762468933	0.973047488283534	FALSE	"Col_2"
