"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_000588_T.1"	-7.25772567525762	4.14944596710636e-07	0.0044129159610018	6.38200988629781	2.35527434312174	TRUE
"AB_036475_T.1"	-1.43751098638209	2.55680018598006e-07	0.0044129159610018	6.59230321077579	2.35527434312174	TRUE
"AB_045531_T.1"	-4.45017683488867	2.70420743978578e-06	0.0121886355618116	5.56795999671753	1.91404490809302	TRUE
"AB_011671_T.1"	-1.41272431805897	5.65929452502203e-06	0.0198396001732189	5.24723770361488	1.70246708441543	TRUE
"AB_015092_T.1"	-1.61419529598896	6.44729786476169e-06	0.0203418694931096	5.19062226494725	1.69160913630848	TRUE
"AB_044701_T.1"	-4.10871617834011	9.13668841986189e-06	0.0240226380279219	5.03921118518366	1.61937930259251	TRUE
"AB_001118_T.1"	-1.10512932036964	1.23988065824853e-05	0.0279424818917139	4.90662011480422	1.55373502184369	TRUE
"AB_018867_T.1"	-1.30223988226059	2.16636337525869e-05	0.0359043034034387	4.66426869515591	1.44485349481002	TRUE
"AB_040645_T.1"	-2.97681858427093	2.03732526459279e-05	0.0359043034034387	4.69093962915355	1.44485349481002	TRUE
"AB_041872_T.1"	-3.38836362345463	2.10831141891522e-05	0.0359043034034387	4.67606523903481	1.44485349481002	TRUE
"AB_037360_T.1"	-3.63019564077498	2.90726274120414e-05	0.0420955037486769	4.53651571749039	1.37576428899615	TRUE
"AB_028111_T.1"	-1.50048419478276	3.3710200532842e-05	0.0443162723754874	4.47223866397124	1.35343677704407	TRUE
