"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_015079_T.1"	-2.09435928882887	5.2818359508824e-11	1.82302567844706e-06	10.2772150917192	5.73920721399488	TRUE
"AB_023740_T.1"	-2.91119402403436	1.98882530891407e-10	3.43221527685846e-06	9.70140336202716	5.46442547996681	TRUE
"AB_016050_T.1"	-1.61229257549387	6.82673194863302e-09	7.85415510690229e-05	8.16578714936965	4.10490052636499	TRUE
"AB_029211_T.1"	-3.26559288615956	7.34079842217895e-08	0.000506735315083013	7.13425670146149	3.29521882807318	TRUE
"AB_002157_T.1"	-4.25444297526021	2.42520376530656e-07	0.00119579868513651	6.61525176616254	2.92234192845247	TRUE
"AB_025706_T.1"	-2.49164817073673	3.8636581232029e-07	0.00166379795620294	6.413001309217	2.77889941352229	TRUE
"AB_028063_T.1"	-3.71711217888735	4.33845620913414e-07	0.00166379795620294	6.36266478180728	2.77889941352229	TRUE
"AB_024237_T.1"	-1.61168460868017	1.41176801149277e-06	0.00406059774305607	5.8502366627786	2.3914100311019	TRUE
"AB_010587_T.1"	-2.02117662456829	2.31986292677331e-06	0.00603725117928268	5.63453767541283	2.21916075498848	TRUE
"AB_014152_T.1"	-3.29185417701224	2.62375105575084e-06	0.00603725117928268	5.58107737365712	2.21916075498848	TRUE
"AB_022196_T.1"	-1.39417214645131	2.49808508023815e-06	0.00603725117928268	5.60239277442917	2.21916075498848	TRUE
"AB_016551_T.1"	-1.35113239484351	4.03290932664145e-06	0.00869974158806434	5.39438154228248	2.06049364721408	TRUE
"AB_007825_T.1"	-1.76182410567836	1.15008424649968e-05	0.0220528654266314	4.93927034534219	1.65653497272117	TRUE
"AB_012029_T.1"	-1.87080232420011	1.48482776233357e-05	0.0256244151084716	4.82832392089652	1.59134603883618	TRUE
"AB_014844_T.1"	-3.26865785342947	1.77992506706045e-05	0.0292543398521865	4.74959828063895	1.53380969764854	TRUE
"AB_000936_T.1"	-2.14320714696083	1.95504929598803e-05	0.0294983628411017	4.70884228752353	1.53020208669322	TRUE
"AB_020300_T.1"	-1.76288661008284	2.05116821146296e-05	0.0294983628411017	4.68799872270593	1.53020208669322	TRUE
"AB_029680_T.1"	-1.07423795015734	2.02811006648634e-05	0.0294983628411017	4.69290847933351	1.53020208669322	TRUE
