"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_000610_T.1"	-3.0550268267614	3.43335728477215e-16	1.13814137424863e-11	15.4642810003228	10.9438037886944	TRUE
"AB_043005_T.1"	-3.55003914198777	6.56140536289999e-16	1.13814137424863e-11	15.1830031307487	10.9438037886944	TRUE
"AB_002607_T.1"	-2.00092115519159	5.34612780616863e-11	6.1822621950534e-07	10.2719606630785	6.20885258007987	TRUE
"AB_002327_T.1"	-1.55846669242391	1.14743126987882e-09	7.96133712292721e-06	8.9402733188681	5.09901398548584	TRUE
"AB_000596_T.1"	-2.88425324570319	2.32715190825532e-09	1.34555923335323e-05	8.63317526657844	4.8710971792438	TRUE
"AB_013152_T.1"	-1.83256793658828	3.88870413031436e-09	1.92724176698379e-05	8.41019509862676	4.71506380092273	TRUE
"AB_021533_T.1"	-21.8896399759511	2.183002231963e-08	7.57327134312605e-05	7.66094582025572	4.12071648253743	TRUE
"AB_032550_T.1"	-1.11559171117531	2.87617922576204e-08	8.93683433552436e-05	7.54118405489059	4.04881629262303	TRUE
"AB_028624_T.1"	-1.79884423734259	7.4698091105251e-08	0.000185101869758812	7.12669049635125	3.73258919431121	TRUE
"AB_010244_T.1"	-7.27786725207577	1.71440178287257e-07	0.000371725166571345	6.7658873903264	3.42977803526404	TRUE
"AB_013716_T.1"	-3.55046018570697	1.70521232793636e-07	0.000371725166571345	6.76822153625515	3.42977803526404	TRUE
"AB_031334_T.1"	-1.73720136872181	2.05239257071588e-07	0.000418832959195738	6.68773956608006	3.37795914974005	TRUE
"AB_041144_T.1"	-2.14134877230159	2.94355577780396e-07	0.000529813300189066	6.53112773027377	3.2758771435733	TRUE
"AB_020437_T.1"	-1.73057473387995	3.8242987863758e-07	0.000631774159509282	6.41744818433393	3.19943814134956	TRUE
"AB_000214_T.1"	-1.96306770275195	4.37824357923953e-07	0.000690409210231718	6.35870008055316	3.16089342365708	TRUE
"AB_021997_T.1"	-3.00004005889965	5.13370319997939e-07	0.000774341006146457	6.28956924324876	3.11106774154807	TRUE
"AB_038019_T.1"	-1.6208130852833	6.54524766318463e-07	0.000946115549713339	6.18407391569543	3.02405581968875	TRUE
"AB_002147_T.1"	-2.92712371813737	7.69543911698606e-07	0.001026808360948	6.11376659342278	2.98851060367532	TRUE
"AB_030950_T.1"	-2.11170227490053	7.51851648001326e-07	0.001026808360948	6.12386784399659	2.98851060367532	TRUE
"AB_010580_T.1"	-1.34888786563591	1.04478123972572e-06	0.00129448395602016	5.9809746342665	2.88790332789044	TRUE
"AB_013119_T.1"	-1.4300723616221	1.63769118784735e-06	0.00177546195902501	5.78576798783678	2.75068862843841	TRUE
"AB_022256_T.1"	-4.63917620274582	1.61963155344719e-06	0.00177546195902501	5.79058377095369	2.75068862843841	TRUE
"AB_040890_T.1"	-1.32613155905979	1.69326924505215e-06	0.00177751235365663	5.77127397966818	2.75018737225431	TRUE
"AB_042882_T.1"	-1.41792593591795	2.34752742059455e-06	0.00232686917929332	5.62938932619993	2.63322803283193	TRUE
"AB_042809_T.1"	-2.03925114175527	2.7421211619313e-06	0.00264249075971446	5.56191335961374	2.57798652266275	TRUE
"AB_015079_T.1"	-1.73142672518297	2.88633966824306e-06	0.00270629448028887	5.53965256189001	2.56762494823872	TRUE
"AB_024101_T.1"	-2.7857304354383	4.59728092921362e-06	0.00408945820503279	5.33749895670663	2.38833422601485	TRUE
"AB_009458_T.1"	-1.75903304678921	5.09958563054478e-06	0.00442287061737149	5.2924651112901	2.35429576489978	TRUE
"AB_014931_T.1"	-1.05606933642435	5.89215184356378e-06	0.0049856227257784	5.22972606970922	2.30228058871067	TRUE
"AB_023406_T.1"	-1.80675125374347	6.67350366854949e-06	0.00551231403022188	5.17564609645643	2.25866604913605	TRUE
"AB_002059_T.1"	-2.08293516040514	7.69948546602343e-06	0.00592048799458083	5.11353829648118	2.22764249519952	TRUE
"AB_009859_T.1"	-1.34056341823959	7.58355917026146e-06	0.00592048799458083	5.12012692032812	2.22764249519952	TRUE
"AB_012401_T.1"	-1.09432951904507	8.19161258330105e-06	0.00592048799458083	5.08663059554222	2.22764249519952	TRUE
"AB_025629_T.1"	-5.39018820909105	8.1192955060128e-06	0.00592048799458083	5.09048165193179	2.22764249519952	TRUE
"AB_025657_T.1"	-3.20213371722199	7.58124856179349e-06	0.00592048799458083	5.12025926417751	2.22764249519952	TRUE
"AB_024723_T.1"	-1.54026651139049	1.36174880679864e-05	0.00908495953951124	4.86590299659531	2.04167700251182	TRUE
"AB_039330_T.1"	-1.60245906776475	1.4023037138674e-05	0.00917900385688449	4.85315791577597	2.03720444765848	TRUE
"AB_001259_T.1"	-1.50266879281503	1.51628351377193e-05	0.00974127919625476	4.8192195869924	2.01138400909709	TRUE
"AB_003275_T.1"	-1.4153277093089	1.59551679094102e-05	0.010063939729332	4.79709862100688	1.99723197278284	TRUE
"AB_025735_T.1"	-1.09498325194147	1.88637845163085e-05	0.0114810949550838	4.72437117322824	1.94001669118245	TRUE
"AB_022453_T.1"	-6.39947184454209	2.28675633918556e-05	0.0134461272744111	4.64078010832054	1.8714027822444	TRUE
"AB_027823_T.1"	-1.11309990669177	2.34513299770227e-05	0.0135595589927146	4.62983252244556	1.86775443511092	TRUE
"AB_002175_T.1"	-1.35669561904448	3.00984779459257e-05	0.0159119806556296	4.52145546574831	1.79827575785989	TRUE
"AB_041519_T.1"	-1.11498201861064	2.93550988403547e-05	0.0159119806556296	4.53231645298864	1.79827575785989	TRUE
"AB_004287_T.1"	-1.28012854697808	4.01651441012361e-05	0.0194969871008364	4.39615067057137	1.71003249564144	TRUE
"AB_016713_T.1"	-2.37604520930989	3.99348654654309e-05	0.0194969871008364	4.39864777430198	1.71003249564144	TRUE
"AB_017245_T.1"	-1.06472347048284	3.8252635604232e-05	0.0194969871008364	4.41733863661648	1.71003249564144	TRUE
"AB_018137_T.1"	-1.19965183241323	3.98702632195222e-05	0.0194969871008364	4.39935089715906	1.71003249564144	TRUE
