"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_013716_T.1"	-4.90698329805543	6.01029645989438e-30	2.01104519548066e-25	29.2211041057475	24.6965781691212	TRUE
"AB_040651_T.1"	-1.92926124745692	2.46789225503545e-12	4.12878374267431e-08	11.6076738049569	7.38417786399447	TRUE
"AB_041774_T.1"	-3.30667588127624	4.20227119925906e-10	4.68693314424027e-06	9.37651592324347	5.32911124133676	TRUE
"AB_019246_T.1"	-1.55990519083036	1.39815126953173e-07	0.000584776768481647	6.85444583862689	3.23300988899246	TRUE
"AB_011309_T.1"	-1.12971955729298	6.83053872466469e-07	0.0022854982572728	6.16554504215705	2.64101910553068	TRUE
"AB_038745_T.1"	-1.8074875279707	1.07734446751005e-06	0.00277291891406817	5.96764541423235	2.55706282991281	TRUE
"AB_018965_T.1"	-1.16059425985667	1.93051668444392e-06	0.00461393487582097	5.71432644064412	2.33592853969598	TRUE
"AB_010334_T.1"	-2.59888403089689	2.07388816406114e-06	0.00462615319796572	5.6832146669637	2.334779989393	TRUE
"AB_009199_T.1"	-2.27492647568793	2.25251554609161e-06	0.00471057313576408	5.64733220298663	2.32692624901618	TRUE
"AB_027681_T.1"	-2.90861844943585	3.8483832285153e-06	0.00677720541190115	5.41472168670118	2.16894935102764	TRUE
"AB_008062_T.1"	-4.97390619895812	5.44093148861621e-06	0.00910267838045492	5.26432674262989	2.0408308016675	TRUE
"AB_026831_T.1"	-2.23844521592599	8.45825582700854e-06	0.0113205295988682	5.07271918339131	1.94613325543697	TRUE
"AB_015092_T.1"	-2.30128524308251	9.19362969139068e-06	0.0118314942105358	5.03651299310523	1.92696040444967	TRUE
"AB_015960_T.1"	-2.94438866299225	1.01246339126592e-05	0.0120989375256277	4.99462067108479	1.91725276580063	TRUE
"AB_011310_T.1"	-1.36101875558696	1.14765859267037e-05	0.0132416056933623	4.94018728734845	1.87805934862103	TRUE
"AB_028496_T.1"	-1.82832377021146	1.34627272186277e-05	0.0145310597656543	4.87086695378024	1.83770271098814	TRUE
"AB_026548_T.1"	-1.25904697844245	1.60734704471041e-05	0.0160671828030999	4.79389034393953	1.79406026513614	TRUE
"AB_026979_T.1"	-3.36775689999015	1.72868673314882e-05	0.0160671828030999	4.76228370099522	1.79406026513614	TRUE
"AB_029098_T.1"	-9.67416977746007	1.90547182055697e-05	0.0172316451664422	4.71999746949329	1.76367325693391	TRUE
"AB_025874_T.1"	-2.00106349042677	2.48293145526792e-05	0.0218628648666486	4.60503526957544	1.66029292956588	TRUE
"AB_040645_T.1"	-2.67964664388938	3.51072165888815e-05	0.0293671866765994	4.45460360140927	1.53213765611086	TRUE
"AB_003796_T.1"	-1.12020592259999	5.93912249786827e-05	0.0441606752841494	4.22627771705341	1.35496429420237	TRUE
"AB_013344_T.1"	-2.33284094404522	5.86663654281697e-05	0.0441606752841494	4.23161081690357	1.35496429420237	TRUE
"AB_029339_T.1"	-1.32649408747061	6.78619594940317e-05	0.0483119396738361	4.16837360438499	1.31594552569433	TRUE
