"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_000588_T.1"	-7.95768933441298	1.59145648605825e-07	0.00372908164627292	6.79820523145274	2.42839810788631	TRUE
"AB_036475_T.1"	-1.44600818753485	2.43897047640262e-07	0.00372908164627292	6.61279345676418	2.42839810788631	TRUE
"AB_005940_T.1"	-6.01192160324485	1.84597767527815e-06	0.0115246453843094	5.73377355551061	1.93837242906257	TRUE
"AB_015092_T.1"	-1.62174714788614	2.14605936767221e-06	0.0115246453843094	5.66835826806633	1.93837242906257	TRUE
"AB_014935_T.1"	-6.13302991437621	3.19174587843999e-06	0.0127465169602618	5.49597169375759	1.89460847182538	TRUE
"AB_045531_T.1"	-4.40671642308711	3.39084274434353e-06	0.0127465169602618	5.46969235084341	1.89460847182538	TRUE
"AB_018867_T.1"	-1.31063086785021	1.38659010017541e-05	0.0454944726206962	4.8580519048545	1.34204136501653	TRUE
"AB_044701_T.1"	-4.08344701046522	1.45229887858358e-05	0.0454944726206962	4.83794399798693	1.34204136501653	TRUE
"AB_040645_T.1"	-2.97872008954668	1.81355542640277e-05	0.0498690962768223	4.7414691668478	1.302168501955	TRUE
"AB_041872_T.1"	-3.37652714628292	2.06832710589843e-05	0.0498690962768223	4.68438077648106	1.302168501955	TRUE
"AB_045013_T.1"	-5.76172101637382	2.1753322961648e-05	0.0498690962768223	4.6624743923334	1.302168501955	TRUE
"AB_033107_T.1"	-4.40884004752217	2.33371828087925e-05	0.0498690962768223	4.63195157178854	1.302168501955	TRUE
"AB_025299_T.1"	-6.70298650281318	2.42524231481783e-05	0.0498690962768223	4.61524486294591	1.302168501955	TRUE
