"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_013716_T.1"	-4.88626005196806	1.86205517181158e-16	6.923679745347e-12	15.7300074552245	11.1596630286137	TRUE
"AB_029098_T.1"	-9.50229449040025	9.78591073061878e-10	1.65668524014262e-05	9.0093987502945	4.78075999698458	TRUE
"AB_040651_T.1"	-1.91140394598708	1.3366473174375e-09	1.65668524014262e-05	8.87398316887575	4.78075999698458	TRUE
"AB_010334_T.1"	-2.58583238202579	2.17466645298058e-07	0.00123418891177635	6.66260734502587	2.9086183597009	TRUE
"AB_030413_T.1"	-9.71934812598591	6.20152733988707e-07	0.00209628537344565	6.20750133734108	2.67854959588848	TRUE
"AB_041774_T.1"	-3.27385848721747	7.15003665209819e-07	0.00221549844029139	6.14569173193833	2.65452855137513	TRUE
"AB_015092_T.1"	-2.28700630482929	1.26591365373894e-06	0.00336217624192677	5.89759591594867	2.47337952501608	TRUE
"AB_028496_T.1"	-1.80801367379177	6.74833024428056e-06	0.0139401757485047	5.17080367241378	1.85573175090626	TRUE
"AB_008062_T.1"	-4.89947312698529	9.38702684589284e-06	0.017994104660615	5.0274719400966	1.74486975782619	TRUE
"AB_009199_T.1"	-2.26057417933776	1.09587745156971e-05	0.0180422261685467	4.96023800888336	1.74370987737793	TRUE
"AB_027681_T.1"	-2.89411658097027	1.25725124296851e-05	0.018749512965067	4.90057792634605	1.72701000896725	TRUE
"AB_022144_T.1"	-5.42014097975315	1.31072046180342e-05	0.018749512965067	4.88248992069822	1.72701000896725	TRUE
"AB_025627_T.1"	-10.0720578997054	1.64583752576295e-05	0.0218561345430157	4.78361303980865	1.66042664454004	TRUE
"AB_015960_T.1"	-2.92759264288757	2.06700983334729e-05	0.0248180419096544	4.68465745730677	1.60523248639	TRUE
"AB_026979_T.1"	-3.3533094111579	2.76887043965537e-05	0.031198457441729	4.55769736518586	1.50586687845292	TRUE
"AB_026831_T.1"	-2.21760578164828	3.65759473935122e-05	0.0377778736648045	4.43680441592184	1.42276249007829	TRUE
"AB_037280_T.1"	-7.12138296970285	4.15147297859666e-05	0.0410471325207347	4.38179778449842	1.38671717652065	TRUE
"AB_043178_T.1"	-5.90472411693887	4.9910690520361e-05	0.0452641269663069	4.30180642157632	1.34424585168522	TRUE
"AB_018011_T.1"	-1.70886518851231	5.46529439106311e-05	0.0461854639415681	4.26238643957507	1.33549468945043	TRUE
