"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_021957_T.1"	2.57952574791868	1.15521313467983e-08	9.6633578715968e-05	7.93733788185326	4.01487193655485	TRUE
"AB_008258_T.1"	3.83814066139127	1.00938744771939e-07	0.000562901733344849	6.99594210025629	3.24956741401355	TRUE
"AB_029697_T.1"	4.67583118971164	9.97970584009661e-08	0.000562901733344849	7.00088225970518	3.24956741401355	TRUE
"AB_021959_T.1"	3.02547239017175	1.25158157630007e-07	0.000584776768481647	6.902540838439	3.23300988899246	TRUE
"AB_023572_T.1"	12.061376201342	2.78863231108676e-07	0.00103675152365514	6.55460874489246	2.98432531770541	TRUE
"AB_000550_T.1"	3.40316536815446	8.61197314822225e-07	0.00261960565035924	6.06489733295876	2.58176408149061	TRUE
"AB_024145_T.1"	2.65043809066995	1.00108817956491e-06	0.00277291891406817	5.99952766656485	2.55706282991281	TRUE
"AB_014598_T.1"	1.79773238522908	2.7390562230037e-06	0.00539110713068846	5.56239905314594	2.26832203789784	TRUE
"AB_024146_T.1"	3.46868157111208	3.24449370603088e-06	0.00603115330021074	5.48885306398903	2.21959963246596	TRUE
"AB_029384_T.1"	5.93871145776909	6.36789720840049e-06	0.00968499275423092	5.19600395566372	2.01390069985955	TRUE
"AB_040148_T.1"	3.6217655184978	6.17764160948009e-06	0.00968499275423092	5.20917729052145	2.01390069985955	TRUE
"AB_036607_T.1"	2.31246880571924	7.07701482843761e-06	0.0102955180938923	5.1501498944185	1.98735179380971	TRUE
"AB_020308_T.1"	2.26943664237093	9.81696577339815e-06	0.0120989375256277	5.00802272315946	1.91725276580063	TRUE
"AB_036025_T.1"	3.65240932454052	1.2252246120689e-05	0.0136653385066085	4.91178428775646	1.86437960584975	TRUE
"AB_025650_T.1"	8.67779199360806	1.72339213136464e-05	0.0160671828030999	4.7636158942805	1.79406026513614	TRUE
"AB_033732_T.1"	11.2217287237109	1.54350685676463e-05	0.0160671828030999	4.81149143689881	1.79406026513614	TRUE
"AB_036969_T.1"	3.19659530437601	1.71526286151557e-05	0.0160671828030999	4.76566931552914	1.79406026513614	TRUE
"AB_031446_T.1"	2.98838483584949	3.47596869460421e-05	0.0293671866765994	4.45892414356453	1.53213765611086	TRUE
"AB_023350_T.1"	4.75329377353257	4.48380185546126e-05	0.0365921975813985	4.34835358764289	1.43661150773625	TRUE
"AB_016386_T.1"	3.01164894693809	4.91795952948026e-05	0.0391797442515261	4.30821504944759	1.40693840321912	TRUE
"AB_013360_T.1"	2.24342596332786	6.59897450225771e-05	0.0480003667055528	4.18052354970276	1.31875544475796	TRUE
