"log2FoldChange"	"pvalue"	"padj"	"sig"	"sigadj"	"TDE"
"AB_001483_T.1"	2.02048084152294	2.61883778847384e-10	2.27131801394336e-06	9.58189140106023	5.64372205466992	TRUE
"AB_008960_T.1"	5.16944622562608	7.29141400565164e-09	3.16192168355084e-05	8.13718824187364	4.5000488911473	TRUE
"AB_040057_T.1"	1.49837088848418	1.6563252545347e-08	6.38458174781307e-05	7.78085437625923	4.19486754798027	TRUE
"AB_028089_T.1"	1.88842594785731	3.09126057842332e-08	8.93683433222183e-05	7.50986438445418	4.04881629278352	TRUE
"AB_043324_T.1"	2.1079419042394	3.560736736137e-08	9.50223683462038e-05	7.44846013479796	4.02217414938651	TRUE
"AB_000071_T.1"	6.18988990621793	3.05438314307976e-07	0.000529813299998615	6.51507648578371	3.27587714372941	TRUE
"AB_018867_T.1"	1.43053114359302	2.94884541976291e-07	0.000529813299998615	6.53034799282749	3.27587714372941	TRUE
"AB_001045_T.1"	1.63849466157873	1.24824406163782e-06	0.00149324424090825	5.90370049136864	2.82586915154931	TRUE
"AB_027935_T.1"	1.47346007771987	1.74205638265284e-06	0.00177751235373507	5.75893779291117	2.75018737223514	TRUE
"AB_022751_T.1"	1.04017471826817	3.00498232456567e-06	0.00274339070536401	5.52215807819241	2.56171233709094	TRUE
"AB_028487_T.1"	1.6998492669145	1.03336396355e-05	0.00716989252469531	4.98574668765611	2.14448735427385	TRUE
"AB_029470_T.1"	3.45900573786334	1.2932118286114e-05	0.00879688328591894	4.88833033168408	2.05567117006373	TRUE
"AB_000811_T.1"	1.94935855424808	2.21039368091779e-05	0.0132212030307586	4.65553036965256	1.87872902549721	TRUE
"AB_039076_T.1"	1.16520813738388	3.02718414349625e-05	0.0159119806524503	4.51896116012308	1.79827575794667	TRUE
"AB_031247_T.1"	1.17728668018645	3.22695451997019e-05	0.0167088815234039	4.4912071554096	1.77705262039214	TRUE
"AB_029882_T.1"	1.44549520879405	4.4021519437609e-05	0.0206377642206693	4.35633497150596	1.68533735351865	TRUE
"AB_028260_T.1"	2.06880562375005	4.65738288005425e-05	0.0215431902499789	4.3318580575666	1.66668998324002	TRUE
"AB_005841_T.1"	1.37058836959113	5.08040668478612e-05	0.0228895413907273	4.29410152120248	1.64036290865668	TRUE
"AB_016706_T.1"	3.0431700188587	7.02046871795447e-05	0.0275545217399607	4.15363389145628	1.55980712256261	TRUE
"AB_043753_T.1"	1.73470113773133	9.09077041457885e-05	0.0339115061529645	4.0413993101089	1.46965292094456	TRUE
"AB_021233_T.1"	1.81842817635833	0.000118667174621118	0.0411680162195582	3.9256693977467	1.38544006002842	TRUE
"AB_007113_T.1"	2.0402504803413	0.000149093875853484	0.0489436243698574	3.82654019516311	1.31030387344873	TRUE
