"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_023572_T.1"	12.0183175204155	3.21772516055939e-09	2.99111686612699e-05	8.49245105357133	4.52416661828846	TRUE
"AB_023350_T.1"	4.76083759229906	1.5603638177331e-08	0.00011603801566954	7.80677412881721	3.9353997065424	TRUE
"AB_025650_T.1"	8.66390511027182	2.32346028626911e-07	0.00123418891177635	6.63386474629748	2.9086183597009	TRUE
"AB_029697_T.1"	4.68387178512028	2.93284384464733e-07	0.00136212407573115	6.53271105983342	2.86578333078513	TRUE
"AB_033732_T.1"	11.2405562264383	3.34272128788175e-07	0.00136212407573115	6.47589983285436	2.86578333078513	TRUE
"AB_029384_T.1"	5.77144721797647	3.66329794726394e-07	0.00136212407573115	6.43612775739596	2.86578333078513	TRUE
"AB_008258_T.1"	3.81927260826337	9.31715490996577e-07	0.00266492131551736	6.03071668373356	2.57431560942957	TRUE
"AB_030668_T.1"	7.59342151314374	1.4518260530679e-06	0.00359888320874826	5.83808541443354	2.44383224687839	TRUE
"AB_024146_T.1"	3.47934781101457	1.87088190169055e-06	0.00434781260940999	5.72795362621613	2.36172918226122	TRUE
"AB_000550_T.1"	3.40528810165376	6.6321062137317e-06	0.0139401757485047	5.1783485271399	1.85573175090626	TRUE
"AB_032114_T.1"	8.05959829997693	9.67867286696342e-06	0.017994104660615	5.01418418877303	1.74486975782619	TRUE
"AB_021959_T.1"	3.02199613504333	1.09814270251757e-05	0.0180422261685467	4.95934122009634	1.74370987737793	TRUE
"AB_024145_T.1"	2.66100788471026	1.11602399450441e-05	0.0180422261685467	4.95232646797117	1.74370987737793	TRUE
"AB_036025_T.1"	3.65692767860952	1.31104896617202e-05	0.018749512965067	4.88238108760726	1.72701000896725	TRUE
"AB_036607_T.1"	2.33166825949395	1.57907007848347e-05	0.0217461343437966	4.80159859575274	1.6626179333009	TRUE
"AB_040148_T.1"	3.60846053549152	1.90083892230115e-05	0.0243720322923875	4.72105468382877	1.61310825511689	TRUE
"AB_021957_T.1"	2.58553833072253	2.06911572277462e-05	0.0248180419096544	4.68421521916655	1.60523248639	TRUE
"AB_013360_T.1"	2.2562068323924	2.30012386582163e-05	0.0267267205321393	4.63824877581095	1.57305432752003	TRUE
"AB_031446_T.1"	3.00078488890407	3.25808746945689e-05	0.0349909230748797	4.48703726042268	1.45604460049969	TRUE
"AB_036969_T.1"	3.20944983691703	3.29366190899279e-05	0.0349909230748797	4.48232098276025	1.45604460049969	TRUE
"AB_039768_T.1"	9.0446189217337	4.19490368121969e-05	0.0410471325207347	4.37727800651467	1.38671717652065	TRUE
"AB_009910_T.1"	2.52827357855258	4.66925716811346e-05	0.0439880343721102	4.3307522058257	1.35666544426135	TRUE
"AB_040445_T.1"	7.78490586944452	4.73205866897348e-05	0.0439880343721102	4.32494987954422	1.35666544426135	TRUE
"AB_016386_T.1"	3.02822990781096	5.36933341764029e-05	0.0461854639415681	4.27007962696516	1.33549468945043	TRUE
"AB_022370_T.1"	5.46531531324374	5.46090979574757e-05	0.0461854639415681	4.26273499715657	1.33549468945043	TRUE
