"logFC"	"PValue"	"FDR"	"sig"	"sigadj"	"TDE"
"AB_043005_T.1"	3.53330058435576	1.61560676198582e-12	5.97322132041396e-08	11.7916643377953	7.22379139343076	TRUE
"AB_000610_T.1"	3.03032749037711	2.34496028485015e-09	4.33489358257399e-05	8.6298645082651	4.36302155956451	TRUE
"AB_010244_T.1"	7.01136670870612	7.53542861785191e-08	0.000535288710891978	7.12289203982264	3.27141191568442	TRUE
"AB_022453_T.1"	6.36939700118455	8.68693136793213e-08	0.000535288710891978	7.06113360966534	3.27141191568442	TRUE
"AB_021997_T.1"	2.97283620419508	4.83553316828553e-07	0.00211668254233285	6.31555563341586	2.6743442720946	TRUE
"AB_028624_T.1"	1.78205657675582	1.41931864084757e-06	0.00524750487894164	5.84792009331852	2.28004714895396	TRUE
"AB_022205_T.1"	5.8080429640198	2.59617583905739e-06	0.00789622019194228	5.58566589609889	2.10258074954661	TRUE
"AB_013716_T.1"	3.51272829380455	2.82144889520946e-06	0.00789622019194228	5.54952781168121	2.10258074954661	TRUE
"AB_022256_T.1"	4.56789937540918	2.99002171067813e-06	0.00789622019194228	5.52432565823293	2.10258074954661	TRUE
"AB_015079_T.1"	1.71475729345535	3.87578496743106e-06	0.00955303478772408	5.41164032606108	2.01985864075219	TRUE
"AB_013152_T.1"	1.8129713523377	4.26313055592817e-06	0.00985102893211101	5.37027136712979	2.00651840542115	TRUE
"AB_031334_T.1"	1.71799756351248	4.92104395709625e-06	0.0107024021871625	5.30794275562451	1.97051873263822	TRUE
"AB_000596_T.1"	2.86011799328472	8.0496740817235e-06	0.0149693457785751	5.09422170315691	1.82479717968122	TRUE
"AB_040533_T.1"	5.7551873038341	8.05880622174914e-06	0.0149693457785751	5.09372928694243	1.82479717968122	TRUE
"AB_020437_T.1"	1.71184737662334	8.09766622231696e-06	0.0149693457785751	5.09164012838181	1.82479717968122	TRUE
"AB_025629_T.1"	5.2974058498846	1.01496050804573e-05	0.0170568726833939	4.99355085575224	1.76810059220988	TRUE
"AB_002147_T.1"	2.89873449344507	1.19532084761314e-05	0.0176773609511812	4.92251550589147	1.75258257019894	TRUE
"AB_039330_T.1"	1.58158674977083	2.11536453529082e-05	0.0300804836918355	4.67461478099654	1.5217151846028	TRUE
"AB_013119_T.1"	1.40811083062259	2.47031530721892e-05	0.033212271992911	4.60724761052748	1.47870141406636	TRUE
"AB_033713_T.1"	6.09657013609085	2.51526456724415e-05	0.033212271992911	4.59941632708871	1.47870141406636	TRUE
